Date,Open,High,Low,Close,Adj Close,Volume
2003-03-14,198.89,202.68,197.9,202.54,202.54,4881900
2003-03-17,201.27,207.48,200.55,204.93,204.93,3337400
2003-03-18,205.1,209.86,204.66,207.08,207.08,3683200
2003-03-19,206.71,209.43,206.45,207.61,207.61,1448800
2003-03-20,209.4,211.94,208.29,211.19,211.19,2883300
2003-03-21,211.19,214.01,210.51,211.12,211.12,3020200
2003-03-24,211.86,212.91,207.97,208.29,208.29,1936400
2003-03-25,207.2,209.92,206.58,209.46,209.46,1377300
2003-03-26,210.2,212.1,210.16,212.1,212.1,1026600
2003-03-27,211.75,215.67,211.75,215.28,215.28,887500
2003-03-28,216.02,218.4,214.85,217.12,217.12,2484100
2003-03-31,216.01,217.12,211.38,211.38,211.38,2233300
2003-04-01,213.07,213.07,209.89,212.28,212.28,1431200
2003-04-02,214.43,214.43,210.99,212.49,212.49,884700
2003-04-03,212.49,214.77,211.09,212.62,212.62,1064700
2003-04-04,212.74,215.98,212.74,214.42,214.42,1548900
2003-04-08,215.49,218.9,215.49,217.15,217.15,2293000
2003-04-09,217.87,220.41,217.84,219.23,219.23,1577400
2003-04-10,219.23,224.98,219.23,223.97,223.97,4194700
2003-04-11,225.29,227.65,225.29,227.28,227.28,3555700
2003-04-16,228,232.02,224.48,224.72,224.72,4402600
2003-04-17,223.98,224.23,221.2,221.77,221.77,2764500
2003-04-18,222.51,223.81,222,222.85,222.85,776700
2003-04-21,224.33,224.33,219.5,219.5,219.5,2358900
2003-04-22,219.87,220.22,209.81,210.51,210.51,2091700
2003-04-23,210.51,212.14,209.05,212.14,212.14,2018500
2003-04-24,212.37,212.37,209.57,209.96,209.96,1471500
2003-04-25,209.59,211.69,209.07,209.07,209.07,1279800
2003-04-28,209.24,209.91,207,207.73,207.73,938600
2003-04-29,209,210.04,208.23,208.23,208.23,996600
2003-04-30,208.23,208.6,202.58,203.23,203.23,2713500
2003-05-02,203.23,204.1,200.39,204.1,204.1,589300
2003-05-06,203.68,203.68,197.41,198.74,198.74,2118800
2003-05-07,199.46,202.37,199.46,201.08,201.08,2082700
2003-05-08,202.05,203.72,199.62,202.99,202.99,1200100
