Date,Open,High,Low,Close,Adj Close,Volume
2010-08-02,243.59,248.16,242.36,245.74,245.74,16704655
2010-08-03,246.73,250.2,246.68,249.51,249.51,39712304
2010-08-04,250.14,251.57,249.73,250.96,250.96,23637986
2010-08-05,251.32,251.8,249.15,251.8,251.8,11815791
2010-08-06,253.82,254.45,251.03,254.45,254.45,12809644
2010-08-09,255.09,256.41,253.57,253.57,253.57,8478044
2010-08-10,252.96,252.96,248.84,248.84,248.84,6360201
2010-08-11,248.42,249.85,246.09,247.64,247.64,7051552
2010-08-16,247.95,253.6,247.95,253.13,253.13,5402639
2010-08-17,253.42,253.44,249.32,249.5,249.5,4717752
2010-08-18,249.5,252.86,249.5,252.86,252.86,6788102
2010-08-19,253.35,254.43,252.19,252.57,252.57,6639850
2010-08-20,252.57,253.55,250.62,250.62,250.62,5733401
2010-08-23,251.11,251.5,250.11,250.11,250.11,4499681
2010-08-24,250.59,251.84,250.49,251.46,251.46,2420033
2010-08-25,251.1,252.09,249.28,249.28,249.28,5860101
2010-08-26,249.3,253.77,248.23,253.77,253.77,7226831
2010-08-27,253.77,255.23,251.13,253.39,253.39,6989650
2010-08-30,253.75,254.96,249.8,249.8,249.8,8396310
2010-08-31,250.51,252.91,249.74,252.91,252.91,10063450
2010-09-01,252.46,253.3,251.42,252.17,252.17,4084201
2010-09-02,252.77,253.44,251.2,251.2,251.2,6077261
2010-09-03,251.57,252.36,250.68,251.03,251.03,4468301
2010-09-06,251.03,251.09,247.83,247.83,247.83,6159000
2010-09-07,247.68,248.09,245.73,247.43,247.43,3717218
2010-09-08,247.43,247.43,245.01,245.09,245.09,41270
2010-09-09,245.12,245.68,244.32,245.16,245.16,3113701
2010-09-10,245.16,245.59,243.22,243.22,243.22,2877082
2010-09-13,242.98,243.59,242,242.11,242.11,7397441
2010-09-14,242.28,242.6,240.37,241.06,241.06,35898
2010-09-15,241.2,241.85,239.94,240.67,240.67,53328
2010-09-16,240.67,245.56,240.52,243.85,243.85,157687
2010-09-17,243.13,244.41,242.4,243.43,243.43,54778
2010-09-20,243.24,245.51,243.06,244.53,244.53,35224
2010-09-21,245.37,246.46,239.89,241,241,58634
2010-09-22,241.24,244.4,240.11,240.11,240.11,35393
2010-09-23,239.22,242.06,239.22,240.4,240.4,44986
2010-09-24,240.04,240.28,238.85,239.77,239.77,43370
2010-09-27,239.77,240.66,239.14,239.51,239.51,84465
2010-09-28,240.23,242.69,240.22,241.93,241.93,128496
2010-09-29,242.9,243.27,241.08,241.6,241.6,66482
2010-09-30,241.6,242.9,241.03,242.57,242.57,102608
2010-10-01,242.45,245.77,241.8,245.56,245.56,12587504
2010-10-04,246.29,246.29,241.19,241.25,241.25,78660
2010-10-05,241.61,242.69,240.31,241.92,241.92,79452
2010-10-06,242.4,243.88,239.77,243.88,243.88,81074
2010-10-07,244.36,244.48,241.22,241.56,241.56,76694
2010-10-08,241.56,241.85,239.2,240.16,240.16,85702
2010-10-11,240.97,242.55,239.82,240.53,240.53,44355
2010-10-12,243.57,243.57,242.28,243.51,243.51,60926
2010-10-13,244.15,245.04,243.88,244.26,244.26,104136
2010-10-14,244,245.16,243.63,243.63,243.63,34432
2010-10-15,243.25,246.32,243.25,244.87,244.87,49466
2010-10-18,244.87,246.48,242.26,242.37,242.37,61359
2010-10-19,242.14,242.9,242.14,242.14,242.14,27553
2010-10-20,241.89,242.39,239.81,240.18,240.18,24123
2010-10-21,239.8,242.29,239.8,241.78,241.78,34268
2010-10-22,241.78,243.18,241.47,241.51,241.51,43753
2010-10-26,242.29,242.29,238.14,239.82,239.82,58104
2010-10-27,240.2,242.25,239.56,241.65,241.65,35407
2010-10-28,241.65,242.59,241.65,242,242,57330
2010-10-29,241.75,241.75,239.79,240.46,240.46,56761
2010-11-01,240.71,241.24,239.01,239.52,239.52,12738
2010-11-02,239.52,242.05,238.52,240.07,240.07,27934
2010-11-03,240.07,240.07,237.85,237.86,237.86,93424
2010-11-04,237.86,239.55,235.49,235.49,235.49,22764
2010-11-05,235.49,236.43,235.18,236.34,236.34,60308
2010-11-08,236.34,236.87,235.18,236.38,236.38,53615
2010-11-09,234.52,235.08,232.77,233.17,233.17,6624959
2010-11-10,233.17,234.06,232.23,234.06,234.06,54899
2010-11-11,234.06,234.1,232.59,233.22,233.22,68895
2010-11-12,233.22,233.25,229.81,230.8,230.8,56699
2010-11-15,230.8,232.34,230.42,232.34,232.34,6277690
2010-11-16,232.34,232.34,230.55,230.55,230.55,3711050
2010-11-17,230.09,231.34,228.33,231.34,231.34,10770
2010-11-18,231.49,232.41,230.81,231.97,231.97,24743
2010-11-19,232,233.63,231.09,232.95,232.95,33011
2010-11-22,232.89,233.64,232.81,233.01,233.01,15772
2010-11-23,233.01,233.64,230.99,231.39,231.39,16523
2010-11-24,231.09,231.6,230.82,231.45,231.45,655200
2010-11-25,231.34,232.22,230.9,232.02,232.02,8395
2010-11-26,232.18,233.1,230.47,233.1,233.1,12696
2010-11-29,233.33,233.66,232.68,233.52,233.52,15615
2010-11-30,233.37,233.48,232.67,233.33,233.33,6760
2010-12-01,233.33,234.33,233.17,234.02,234.02,11083
2010-12-02,234.33,235.75,233.67,234.99,234.99,46748
2010-12-03,235.14,235.96,235.14,235.76,235.76,63266
2010-12-07,236.42,236.51,233.97,235.18,235.18,57950
2010-12-08,235.34,236.41,235.18,235.95,235.95,22573
2010-12-09,236.41,236.91,236.08,236.32,236.32,25206
2010-12-13,236.58,239.77,236.27,237.18,237.18,3414800
2010-12-16,239.52,239.9,238.47,239.01,239.01,62761
2010-12-17,239.27,241.53,239.27,240.48,240.48,21679
2010-12-20,240.48,242.56,240.1,242.24,242.24,40757
2010-12-21,242.4,243.71,241.9,242.93,242.93,59063
2010-12-22,244.72,247.72,244.72,246.91,246.91,34447
2010-12-23,251.93,251.93,248.78,250.03,250.03,92944
2010-12-24,250.01,260.11,249.72,256.84,256.84,490364
2010-12-27,257.18,265.4,257.18,261.38,261.38,357529
2010-12-28,261.18,261.7,257.31,258.79,258.79,162547
2010-12-29,259.64,263.51,258.77,260.71,260.71,296987
2010-12-30,260.27,260.84,258.07,259.2,259.2,339402
2011-01-07,259.1,260.89,258.95,259.71,259.71,6443200
2011-01-10,259.56,259.7,256.28,256.98,256.98,3905300
2011-01-11,256.78,258.28,255.94,255.94,255.94,69690
2011-01-12,254.67,258.45,254.67,258.45,258.45,53735
2011-01-13,258.46,260.24,256.54,256.54,256.54,54541
2011-01-14,256,258.28,255.55,257.73,257.73,112714
2011-01-17,256.35,257.8,256.21,256.94,256.94,44338
2011-01-18,256.94,257.32,255.45,256.36,256.36,62531
2011-01-19,256.36,257.59,251.46,251.46,251.46,202256
2011-01-20,255.92,258.07,253.37,255.51,255.51,75022
2011-01-21,256.2,261.47,254.68,254.83,254.83,106505
2011-01-24,255.27,256.74,247.42,248.69,248.69,123361
2011-01-25,249.08,250.01,246.43,247.12,247.12,90841
2011-01-26,247.27,250.73,247.01,249.97,249.97,102830
2011-01-27,250.53,251.14,247.59,248.72,248.72,72561
2011-01-28,249.04,249.22,247.14,249.22,249.22,106861
2011-01-31,247.35,248.56,246.37,247.71,247.71,62085
2011-02-01,247.74,249.09,247.51,248.68,248.68,172067
2011-02-02,248.71,250.49,248.03,248.52,248.52,37009
2011-02-03,248.37,249.66,247.92,249.36,249.36,18606
2011-02-04,249.21,251.1,248.74,249.54,249.54,76851
2011-02-07,249.14,253.1,248.91,252.98,252.98,54679
2011-02-08,252.98,253.47,251.93,252.56,252.56,37675
2011-02-09,251.99,252.83,251.52,252.44,252.44,40433
2011-02-10,252.65,252.9,244.88,244.88,244.88,37558
2011-02-11,244.73,246.53,244.73,245.22,245.22,66626
2011-02-14,245.37,247.05,245.37,246.77,246.77,109845
2011-02-15,246.48,248.5,244.22,248.5,248.5,173752
2011-02-16,248.47,249.88,247.65,249.87,249.87,99814
2011-02-17,249.75,250.86,249.6,250.68,250.68,138583
2011-02-21,250.83,251.29,248.53,250.22,250.22,61694
2011-02-22,249.92,250.27,249.3,250.08,250.08,78963
2011-02-23,254.79,255.63,252.08,254.38,254.38,80615
2011-02-24,254.53,255.52,250.9,252.28,252.28,70040
2011-02-25,253.21,253.71,251.1,253.69,253.69,54790
2011-02-28,253.58,254.27,251.56,251.56,251.56,40871
2011-03-01,251.28,257.18,250.6,256.63,256.63,53825
2011-03-02,257.33,257.33,253.95,253.99,253.99,44331
2011-03-03,254.5,259.67,254.5,258.41,258.41,104864
2011-03-04,258.66,259.97,257.83,259.91,259.91,118653
2011-03-07,259.51,263.01,259.37,260.56,260.56,118648
2011-03-08,260.79,262.66,260.22,261.11,261.11,46510
2011-03-09,261.83,263.04,260.8,261.02,261.02,72237
2011-03-10,261.16,262.09,258.76,261.86,261.86,84627
2011-03-11,261.44,262.11,259.86,260.36,260.36,79013
2011-03-14,260.73,262.11,259.86,262.11,262.11,83824
2011-03-15,262.11,262.11,257.38,258.45,258.45,54078
2011-03-16,259.06,259.73,257.28,257.61,257.61,42499
2011-03-17,257.61,259.16,256.83,258.23,258.23,38407
2011-03-18,258.51,259.78,257.78,258.87,258.87,47069
2011-03-21,259.27,260.54,258.71,260.54,260.54,19815
2011-03-22,260.54,261.97,260.12,260.12,260.12,99069
2011-03-23,258.74,260.04,258.47,258.62,258.62,25529
2011-03-24,258.92,260.33,258.87,259.65,259.65,61206
2011-03-25,259.95,260.68,259.4,259.91,259.91,50625
