Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,0.7,0.72,0.7,0.71,0.71,361800
2016-03-02,0.69,0.7,0.69,0.7,0.7,2024300
2016-03-03,0.71,0.71,0.7,0.7,0.7,2085000
2016-03-04,0.7,0.71,0.7,0.71,0.71,1165800
2016-03-07,0.71,0.71,0.71,0.71,0.71,2637100
2016-03-08,0.71,0.73,0.71,0.72,0.72,1382300
2016-03-09,0.7,0.71,0.7,0.71,0.71,327600
2016-03-10,0.68,0.69,0.68,0.68,0.68,949000
2016-03-11,0.68,0.68,0.67,0.67,0.67,1603800
2016-03-14,0.66,0.67,0.66,0.66,0.66,1662600
2016-03-15,0.65,0.65,0.64,0.64,0.64,2387900
2016-03-16,0.62,0.64,0.62,0.64,0.64,1491000
2016-03-17,0.63,0.63,0.62,0.63,0.63,1827000
2016-03-18,0.63,0.64,0.63,0.63,0.63,3392200
2016-03-21,0.63,0.64,0.6,0.61,0.61,422300
2016-03-22,0.61,0.63,0.61,0.63,0.63,2667500
2016-03-23,0.64,0.64,0.63,0.64,0.64,1325500
2016-03-24,0.61,0.61,0.6,0.61,0.61,1377600
2016-03-25,0.61,0.62,0.6,0.61,0.61,432100
2016-03-28,0.61,0.61,0.6,0.6,0.6,850300
2016-03-29,0.59,0.59,0.56,0.57,0.57,2580600
2016-03-30,0.56,0.57,0.54,0.55,0.55,5374000
2016-03-31,0.54,0.54,0.5,0.52,0.52,6936800
2016-04-01,0.53,0.54,0.5,0.51,0.51,5235600
2016-04-04,0.49,0.49,0.46,0.47,0.47,4537900
2016-04-05,0.47,0.5,0.46,0.49,0.49,6829800
2016-04-07,0.48,0.51,0.47,0.51,0.51,13614900
2016-04-08,0.51,0.54,0.5,0.51,0.51,8132700
2016-04-11,0.51,0.52,0.47,0.48,0.48,2410900
2016-04-12,0.48,0.48,0.47,0.47,0.47,2284000
2016-04-18,0.48,0.48,0.46,0.47,0.47,1192300
2016-04-19,0.46,0.47,0.46,0.47,0.47,3527500
2016-04-20,0.47,0.47,0.44,0.47,0.47,3362200
2016-04-21,0.46,0.48,0.46,0.48,0.48,2002700
2016-04-22,0.48,0.48,0.47,0.48,0.48,2260900
2016-04-25,0.47,0.49,0.45,0.47,0.47,5439900
2016-04-26,0.48,0.5,0.48,0.49,0.49,3040400
2016-04-27,0.49,0.51,0.49,0.49,0.49,3049800
2016-04-28,0.47,0.49,0.47,0.49,0.49,2841200
2016-04-29,0.49,0.49,0.48,0.49,0.49,170200
2016-05-03,0.49,0.49,0.47,0.49,0.49,1771900
2016-05-04,0.48,0.49,0.48,0.49,0.49,3226400
2016-05-09,0.48,0.54,0.47,0.53,0.53,5009500
2016-05-10,0.52,0.53,0.49,0.51,0.51,5072700
2016-05-11,0.49,0.49,0.47,0.48,0.48,4492200
2016-05-12,0.46,0.48,0.46,0.48,0.48,404200
2016-05-13,0.44,0.45,0.42,0.43,0.43,5419700
2016-05-16,0.41,0.42,0.39,0.41,0.41,6682200
2016-05-17,0.41,0.45,0.41,0.45,0.45,5543300
2016-05-18,0.43,0.44,0.42,0.44,0.44,5802900
2016-05-19,0.43,0.45,0.42,0.44,0.44,2184800
2016-05-23,0.44,0.46,0.44,0.44,0.44,1895400
2016-05-24,0.43,0.44,0.43,0.43,0.43,1217600
2016-05-25,0.43,0.44,0.43,0.43,0.43,2783700
2016-05-26,0.44,0.44,0.43,0.43,0.43,1461800
2016-05-27,0.44,0.46,0.44,0.45,0.45,1222900
2016-05-30,0.44,0.44,0.43,0.43,0.43,617600
2016-05-31,0.41,0.41,0.37,0.37,0.37,5531600
2016-06-01,0.36,0.38,0.36,0.37,0.37,2442400
2016-06-02,0.38,0.39,0.38,0.39,0.39,2727600
2016-06-03,0.38,0.38,0.35,0.37,0.37,3986200
2016-06-06,0.37,0.42,0.37,0.41,0.41,9539900
2016-06-07,0.39,0.4,0.39,0.4,0.4,5591700
2016-06-08,0.4,0.42,0.4,0.41,0.41,4161600
2016-06-09,0.41,0.44,0.41,0.43,0.43,6248400
2016-06-10,0.43,0.44,0.41,0.44,0.44,4261500
2016-06-13,0.43,0.45,0.38,0.42,0.42,14716400
2016-06-14,0.49,0.49,0.35,0.36,0.36,93838800
2016-06-15,0.34,0.37,0.31,0.35,0.35,86446800
2016-06-16,0.37,0.39,0.35,0.37,0.37,27622800
2016-06-17,0.37,0.37,0.34,0.35,0.35,26756900
2016-06-20,0.34,0.36,0.34,0.35,0.35,7309800
2016-06-21,0.35,0.39,0.35,0.39,0.39,14040300
2016-06-22,0.4,0.4,0.37,0.37,0.37,3979900
2016-06-23,0.33,0.34,0.33,0.34,0.34,9786100
2016-06-24,0.36,0.38,0.35,0.35,0.35,12704200
2016-06-27,0.36,0.36,0.35,0.35,0.35,2403300
2016-06-28,0.34,0.36,0.34,0.35,0.35,6895000
2016-06-29,0.34,0.36,0.34,0.36,0.36,2443300
2016-06-30,0.36,0.36,0.32,0.33,0.33,2595100
2016-07-04,0.32,0.34,0.32,0.33,0.33,3404100
2016-07-05,0.33,0.35,0.33,0.35,0.35,848500
2016-07-06,0.33,0.33,0.32,0.33,0.33,4375000
2016-07-07,0.33,0.34,0.33,0.33,0.33,651000
2016-07-08,0.34,0.34,0.33,0.34,0.34,2705000
2016-07-11,0.32,0.32,0.31,0.31,0.31,3395200
2016-07-12,0.31,0.34,0.3,0.34,0.34,6111200
2016-07-13,0.34,0.35,0.33,0.34,0.34,3917900
2016-07-14,0.33,0.33,0.33,0.33,0.33,1123400
2016-07-15,0.33,0.33,0.33,0.33,0.33,1081000
2016-07-20,0.33,0.34,0.33,0.33,0.33,4536100
