Date,Open,High,Low,Close,Adj Close,Volume
2018-06-08,0.19,0.19,0.19,0.19,0.19,743400
2018-06-12,0.18,0.19,0.17,0.17,0.17,424800
2018-06-14,0.16,0.16,0.15,0.15,0.15,212400
2018-06-15,0.16,0.16,0.15,0.15,0.15,106200
2018-06-19,0.14,0.14,0.14,0.14,0.14,106200
2018-06-20,0.13,0.13,0.13,0.13,0.13,424800
2018-06-21,0.13,0.13,0.13,0.13,0.13,212400
2018-06-22,0.13,0.13,0.13,0.13,0.13,318600
2018-06-28,0.11,0.11,0.11,0.11,0.11,111200
2018-06-29,0.09,0.09,0.09,0.09,0.09,101200
2018-07-04,0.1,0.1,0.1,0.1,0.1,30000
2018-07-06,0.09,0.09,0.09,0.09,0.09,450000
2018-07-09,0.09,0.09,0.09,0.09,0.09,465000
2018-07-10,0.07,0.07,0.07,0.07,0.07,22700
2018-07-11,0.07,0.08,0.07,0.08,0.08,6200
2018-07-12,0.08,0.08,0.07,0.08,0.08,501000
2018-07-13,0.08,0.08,0.08,0.08,0.08,110000
2018-07-16,0.07,0.07,0.07,0.07,0.07,74900
2018-07-17,0.07,0.07,0.07,0.07,0.07,10000
2018-07-18,0.07,0.07,0.07,0.07,0.07,100500
2018-07-20,0.08,0.08,0.07,0.07,0.07,170000
2018-07-23,0.07,0.07,0.07,0.07,0.07,50000
2018-07-24,0.06,0.06,0.06,0.06,0.06,100
2018-07-25,0.07,0.07,0.06,0.06,0.06,335100
2018-07-26,0.06,0.06,0.06,0.06,0.06,64000
2018-07-31,0.06,0.06,0.06,0.06,0.06,106200
2018-08-01,0.06,0.06,0.06,0.06,0.06,2774700
2018-08-02,0.06,0.06,0.06,0.06,0.06,210000
2018-08-03,0.05,0.05,0.05,0.05,0.05,5100
2018-08-06,0.05,0.05,0.05,0.05,0.05,110000
2018-08-07,0.05,0.06,0.04,0.06,0.06,1074900
2018-08-08,0.05,0.06,0.05,0.06,0.06,2012500
2018-08-09,0.05,0.05,0.04,0.04,0.04,1494000
2018-08-10,0.04,0.04,0.03,0.03,0.03,913500
2018-08-14,0.03,0.03,0.03,0.03,0.03,1000
2018-08-16,0.03,0.04,0.03,0.04,0.04,60000
2018-08-17,0.03,0.04,0.03,0.04,0.04,15900
2018-08-20,0.03,0.04,0.03,0.04,0.04,248800
2018-08-21,0.04,0.04,0.04,0.04,0.04,260800
2018-08-22,0.04,0.04,0.04,0.04,0.04,441400
2018-08-23,0.04,0.04,0.04,0.04,0.04,257000
2018-08-24,0.04,0.04,0.04,0.04,0.04,16500
2018-08-28,0.04,0.04,0.04,0.04,0.04,59500
