Date,Open,High,Low,Close,Adj Close,Volume
2016-06-14,6.26,6.26,6.26,6.26,6.26,1
2016-06-16,5.91,5.91,5.91,5.91,5.91,1
2016-07-27,6.65,6.65,6.65,6.65,6.65,1400
2016-08-08,6.95,6.95,6.95,6.95,6.95,1
2016-08-09,7.19,7.19,7.19,7.19,7.19,1
2016-08-11,7.4,7.4,7.4,7.4,7.4,1000
2016-08-15,7.56,7.56,7.56,7.56,7.56,1000
2016-08-22,7.76,7.76,7.76,7.76,7.76,200
2016-08-30,7.46,7.46,7.46,7.46,7.46,1000
2016-09-02,7.25,7.25,7.25,7.25,7.25,100
2016-09-05,6.96,6.96,6.96,6.96,6.96,102
2016-09-06,6.97,6.97,6.97,6.97,6.97,101
2016-09-07,7.4,7.4,7.4,7.4,7.4,1100
2016-09-08,7.19,7.19,7.19,7.19,7.19,500
2016-09-12,6.99,6.99,6.99,6.99,6.99,200
2016-09-16,7.12,7.13,7.12,7.13,7.13,1002
2016-09-19,7.24,7.24,7.24,7.24,7.24,1500
2016-09-20,7.24,7.24,7.24,7.24,7.24,2700
2016-09-21,7.14,7.14,7.14,7.14,7.14,3100
2016-09-22,7.2,7.2,7.2,7.2,7.2,1800
2016-09-23,7.2,7.2,7.2,7.2,7.2,2901
2016-09-26,6.88,6.88,6.88,6.88,6.88,1800
2016-09-27,7.09,7.09,7.09,7.09,7.09,1200
2016-09-30,6.94,6.94,6.94,6.94,6.94,700
2016-10-03,7.08,7.16,6,6,6,20
2016-10-04,7.05,7.05,7.05,7.05,7.05,2005
2016-10-06,7,7,7,7,7,3
2016-10-07,7.01,7.01,7,7,7,3
2016-10-10,6.8,6.8,6.8,6.8,6.8,508
2016-10-11,6.5,6.5,6.5,6.5,6.5,203
2016-10-12,6.2,6.2,5.5,5.74,5.74,3028
2016-10-13,5.9,6.21,5.9,6.21,6.21,230
2016-10-14,6.4,6.65,6.4,6.65,6.65,4807
2016-10-18,6.8,6.8,6.8,6.8,6.8,400
2016-10-19,6.1,6.98,6.1,6.98,6.98,604
2016-10-20,6.95,6.95,6.95,6.95,6.95,200
2016-10-21,7.05,7.05,7.05,7.05,7.05,400
2016-10-25,6.77,6.77,6.7,6.7,6.7,2120
2016-10-26,6.9,6.9,6.9,6.9,6.9,400
2016-10-27,6.9,6.9,6.9,6.9,6.9,600
2016-10-28,7.05,7.05,7.05,7.05,7.05,200
2016-11-01,7.15,7.15,7.15,7.15,7.15,6700
2016-11-02,7.16,7.16,7.16,7.16,7.16,102
2016-11-03,7.18,7.18,7.17,7.17,7.17,3604
2016-11-04,7.14,7.14,7.14,7.14,7.14,1390
2016-11-07,7.13,7.13,7.13,7.13,7.13,6
2016-11-08,7.05,7.05,7.05,7.05,7.05,1200
2016-11-10,7.25,7.25,7.1,7.1,7.1,1734
2016-11-11,7.06,7.06,6.97,7.03,7.03,608
2016-11-14,6.91,6.92,6.74,6.74,6.74,5225
2016-11-15,6.67,6.69,6.67,6.68,6.68,30
2016-11-16,6.8,6.8,6.77,6.77,6.77,6
2016-11-17,6.77,6.77,6.77,6.77,6.77,300
2016-11-18,6.61,6.61,6.61,6.61,6.61,309
2016-11-21,6.65,6.65,6.65,6.65,6.65,201
2016-11-22,6.65,6.65,6.65,6.65,6.65,211
2016-11-23,6.84,6.84,6.46,6.46,6.46,1336
2016-11-24,6.5,6.5,6.5,6.5,6.5,4105
2016-11-25,6.5,6.64,6.5,6.64,6.64,5316
2016-11-28,6.55,6.55,6.55,6.55,6.55,601
2016-11-29,6.59,6.59,6.55,6.55,6.55,51
2016-12-01,6.41,6.41,6.35,6.35,6.35,2305
2016-12-02,6.4,6.4,6.35,6.35,6.35,1104
2016-12-06,6.39,6.4,6.36,6.36,6.36,15
2016-12-07,6.47,6.47,6.47,6.47,6.47,1355
2016-12-08,6.51,6.51,6.35,6.35,6.35,634
2016-12-09,6.39,6.39,6.35,6.35,6.35,2111
2016-12-13,6.3,6.3,6.25,6.25,6.25,207
2016-12-14,6.26,6.26,6.26,6.26,6.26,1315
2016-12-15,6.27,6.3,6.21,6.21,6.21,4141
2016-12-16,6.22,6.22,6.22,6.22,6.22,202
2016-12-19,6.22,6.22,6.22,6.22,6.22,1
2016-12-20,6.22,6.22,6.2,6.22,6.22,418
2016-12-21,6.18,6.18,6.11,6.11,6.11,2334
2016-12-22,6.1,6.1,6.02,6.02,6.02,420
2016-12-23,6.07,6.08,6.05,6.08,6.08,742
2016-12-26,6.11,6.11,6.08,6.08,6.08,6075
2016-12-27,6,6.08,6,6.08,6.08,309
2016-12-28,6.13,6.13,6.13,6.13,6.13,200
2016-12-29,6.15,6.16,6.15,6.16,6.16,512
2016-12-30,6.15,6.15,6.08,6.08,6.08,313
2017-01-04,6.13,6.16,6.12,6.16,6.16,115
2017-01-05,6.17,6.19,6.13,6.19,6.19,855
2017-01-06,6.18,6.43,6.18,6.43,6.43,13327
2017-01-09,6.43,6.63,6.43,6.55,6.55,5278
2017-01-10,6.59,6.6,6.46,6.52,6.52,1394
2017-01-11,6.52,6.57,6.5,6.52,6.52,2444
2017-01-12,6.5,6.5,6.42,6.42,6.42,1253
2017-01-13,6.43,6.47,6.4,6.47,6.47,244
2017-01-16,6.41,6.5,6.41,6.5,6.5,2124
2017-01-17,6.52,6.55,6.46,6.46,6.46,3141
2017-01-18,6.5,6.5,6.46,6.46,6.46,2823
2017-01-19,6.45,6.53,6.44,6.52,6.52,1339
2017-01-20,6.48,6.53,6.48,6.53,6.53,723
2017-01-23,6.53,6.53,6.45,6.53,6.53,327
2017-01-24,6.56,6.77,6.56,6.77,6.77,8966
2017-01-25,6.72,6.72,6.5,6.62,6.62,9564
