Date,Open,High,Low,Close,Adj Close,Volume
2013-01-07,0.57,0.58,0.56,0.56,0.56,6959300
2013-01-08,0.54,0.55,0.52,0.53,0.53,4785500
2013-01-09,0.55,0.55,0.53,0.53,0.53,3635300
2013-01-10,0.51,0.51,0.46,0.48,0.48,25598300
2013-01-11,0.46,0.5,0.45,0.5,0.5,23104100
2013-01-14,0.51,0.52,0.47,0.48,0.48,23778900
2013-01-15,0.5,0.5,0.46,0.46,0.46,13098300
2013-01-16,0.46,0.48,0.44,0.46,0.46,15901400
2013-01-17,0.46,0.48,0.45,0.48,0.48,10019300
2013-01-18,0.51,0.57,0.5,0.55,0.55,30604400
2013-01-21,0.59,0.59,0.54,0.54,0.54,15654900
2013-01-22,0.54,0.56,0.54,0.54,0.54,12875000
2013-01-23,0.56,0.56,0.52,0.53,0.53,8357300
2013-01-24,0.55,0.55,0.53,0.54,0.54,5768600
2013-01-25,0.55,0.55,0.52,0.54,0.54,6056500
2013-01-28,0.53,0.55,0.53,0.53,0.53,6657000
2013-01-29,0.54,0.59,0.54,0.59,0.59,35566000
2013-01-30,0.6,0.61,0.58,0.6,0.6,15677900
2013-01-31,0.61,0.61,0.58,0.59,0.59,14527400
2013-02-01,0.57,0.58,0.52,0.55,0.55,64967400
2013-02-04,0.52,0.54,0.5,0.5,0.5,32433800
2013-02-05,0.5,0.52,0.48,0.5,0.5,39011600
2013-02-06,0.5,0.51,0.47,0.49,0.49,28296000
2013-02-07,0.49,0.53,0.48,0.53,0.53,57904400
2013-02-08,0.54,0.54,0.49,0.49,0.49,38559600
2013-02-11,0.48,0.49,0.46,0.46,0.46,27218200
2013-02-12,0.45,0.46,0.44,0.44,0.44,26121500
2013-02-13,0.46,0.48,0.46,0.46,0.46,19942500
2013-02-14,0.48,0.49,0.46,0.47,0.47,26654500
2013-02-15,0.48,0.48,0.45,0.45,0.45,15257500
2013-02-18,0.46,0.47,0.45,0.45,0.45,6946400
2013-02-19,0.47,0.5,0.47,0.49,0.49,24899400
2013-02-20,0.49,0.52,0.47,0.5,0.5,36924100
