Date,Open,High,Low,Close,Adj Close,Volume
2014-03-11,0.61,0.61,0.61,0.61,0.61,2000
2014-03-12,0.61,0.61,0.61,0.61,0.61,20000
2014-03-13,0.63,0.63,0.63,0.63,0.63,22000
2014-03-14,0.61,0.62,0.6,0.62,0.62,20100
2014-03-17,0.63,0.63,0.63,0.63,0.63,20100
2014-04-08,0.71,0.71,0.71,0.71,0.71,400
2014-04-21,0.89,0.89,0.89,0.89,0.89,15000
2014-04-22,0.89,0.89,0.89,0.89,0.89,15000
2014-04-30,0.9,0.9,0.9,0.9,0.9,1000000
2014-05-07,0.79,0.79,0.79,0.79,0.79,5400
2014-05-08,0.76,0.76,0.76,0.76,0.76,5000
2014-05-09,0.7,0.7,0.7,0.7,0.7,11100
2014-05-20,0.76,0.76,0.76,0.76,0.76,1011100
2014-05-21,0.76,0.76,0.76,0.76,0.76,26700
2014-05-23,0.66,0.7,0.66,0.7,0.7,127000
2014-05-26,0.7,0.71,0.7,0.7,0.7,15000
2014-05-27,0.67,0.67,0.64,0.64,0.64,1900
2014-05-28,0.67,0.67,0.65,0.65,0.65,2000
2014-05-29,0.67,0.68,0.66,0.66,0.66,80000
2014-05-30,0.67,0.68,0.67,0.68,0.68,7200
2014-06-02,0.67,0.71,0.67,0.71,0.71,9100
2014-06-03,0.74,0.77,0.74,0.77,0.77,52000
2014-06-04,0.77,0.77,0.77,0.77,0.77,20000
2014-06-05,0.75,0.76,0.75,0.75,0.75,46700
2014-06-06,0.78,0.78,0.76,0.76,0.76,40500
2014-06-09,0.79,0.79,0.78,0.78,0.78,2000
2014-06-10,0.7,0.7,0.66,0.66,0.66,241700
2014-06-11,0.6,0.61,0.56,0.6,0.6,11000
2014-06-12,0.61,0.62,0.6,0.6,0.6,3000
2014-06-13,0.58,0.58,0.55,0.56,0.56,52700
2014-06-16,0.6,0.62,0.6,0.62,0.62,479500
2014-06-17,0.61,0.61,0.55,0.55,0.55,93200
2014-06-18,0.5,0.5,0.47,0.47,0.47,539700
2014-06-19,0.47,0.51,0.47,0.48,0.48,159600
2014-06-20,0.48,0.48,0.45,0.45,0.45,460700
2014-06-23,0.47,0.47,0.45,0.45,0.45,67300
2014-06-24,0.44,0.44,0.43,0.43,0.43,366500
2014-06-25,0.45,0.47,0.44,0.47,0.47,74400
2014-06-26,0.48,0.52,0.48,0.52,0.52,203200
2014-06-27,0.53,0.53,0.5,0.53,0.53,748200
2014-06-30,0.52,0.54,0.5,0.51,0.51,1401000
2014-07-02,0.5,0.5,0.48,0.48,0.48,29300
2014-07-03,0.47,0.47,0.43,0.43,0.43,181100
2014-07-04,0.46,0.46,0.44,0.44,0.44,757100
2014-07-07,0.46,0.49,0.46,0.49,0.49,137400
2014-07-08,0.48,0.5,0.48,0.5,0.5,50700
2014-07-09,0.52,0.53,0.49,0.53,0.53,217400
2014-07-10,0.55,0.56,0.55,0.55,0.55,45400
2014-07-14,0.57,0.57,0.52,0.52,0.52,235300
2014-07-15,0.52,0.52,0.49,0.49,0.49,573400
2014-07-16,0.5,0.5,0.5,0.5,0.5,301000
2014-07-17,0.51,0.52,0.51,0.52,0.52,527500
2014-07-18,0.51,0.51,0.37,0.42,0.42,1627600
2014-07-21,0.38,0.39,0.37,0.37,0.37,276500
2014-07-22,0.37,0.37,0.3,0.31,0.31,934200
2014-07-23,0.3,0.32,0.3,0.3,0.3,203800
2014-07-24,0.32,0.33,0.29,0.29,0.29,98500
2014-07-25,0.29,0.3,0.26,0.27,0.27,185800
2014-07-28,0.28,0.28,0.25,0.28,0.28,259500
2014-07-29,0.28,0.29,0.22,0.22,0.22,982600
2014-07-30,0.26,0.29,0.25,0.28,0.28,456500
2014-07-31,0.3,0.31,0.29,0.29,0.29,1170700
2014-08-01,0.29,0.32,0.29,0.31,0.31,460000
2014-08-04,0.32,0.34,0.31,0.34,0.34,150000
2014-08-05,0.34,0.38,0.34,0.37,0.37,241200
2014-08-06,0.37,0.38,0.36,0.38,0.38,2245000
2014-08-07,0.35,0.35,0.31,0.33,0.33,364000
2014-08-08,0.32,0.32,0.31,0.32,0.32,340500
2014-08-13,0.33,0.35,0.33,0.34,0.34,296600
2014-08-14,0.34,0.34,0.32,0.32,0.32,97800
2014-08-15,0.35,0.35,0.33,0.33,0.33,102700
2014-08-18,0.32,0.32,0.28,0.28,0.28,12000
2014-08-19,0.28,0.28,0.28,0.28,0.28,8000
2014-08-20,0.33,0.35,0.32,0.32,0.32,13000
2014-08-21,0.32,0.32,0.3,0.3,0.3,58000
2014-08-22,0.3,0.3,0.29,0.3,0.3,560600
2014-08-25,0.3,0.3,0.3,0.3,0.3,10000
