Date,Open,High,Low,Close,Adj Close,Volume
2015-08-11,0.48,0.48,0.48,0.48,0.48,200000
2015-08-13,0.49,0.49,0.49,0.49,0.49,200000
2015-09-07,0.43,0.43,0.42,0.42,0.42,258000
2015-09-09,0.4,0.4,0.4,0.4,0.4,154000
2015-09-10,0.42,0.42,0.42,0.42,0.42,4000
2015-09-16,0.43,0.43,0.41,0.41,0.41,406500
2015-09-17,0.43,0.43,0.43,0.43,0.43,200000
2015-09-18,0.42,0.42,0.42,0.42,0.42,200000
2015-09-29,0.45,0.45,0.45,0.45,0.45,6500
2015-09-30,0.44,0.46,0.44,0.45,0.45,126000
2015-10-01,0.45,0.45,0.45,0.45,0.45,63000
2015-10-05,0.44,0.49,0.44,0.48,0.48,130000
2015-10-06,0.46,0.47,0.45,0.45,0.45,228000
2015-10-07,0.45,0.46,0.45,0.45,0.45,104000
2015-10-08,0.4,0.4,0.39,0.39,0.39,52000
2015-10-09,0.37,0.38,0.37,0.38,0.38,13000
2015-10-12,0.38,0.38,0.38,0.38,0.38,26000
2015-10-13,0.38,0.38,0.38,0.38,0.38,65000
2015-10-14,0.37,0.39,0.37,0.39,0.39,1078000
2015-10-16,0.38,0.39,0.38,0.39,0.39,117000
2015-10-19,0.39,0.4,0.39,0.4,0.4,26000
2015-10-22,0.36,0.36,0.36,0.36,0.36,13000
2015-10-26,0.35,0.35,0.35,0.35,0.35,26000
2015-10-27,0.33,0.33,0.33,0.33,0.33,13000
2015-10-28,0.34,0.34,0.33,0.33,0.33,13000
2015-10-29,0.33,0.36,0.33,0.36,0.36,613000
2015-10-30,0.36,0.36,0.36,0.36,0.36,39000
2015-11-02,0.35,0.36,0.35,0.35,0.35,78000
2015-11-03,0.34,0.34,0.34,0.34,0.34,1029600
2015-11-04,0.34,0.35,0.34,0.35,0.35,733200
2015-11-05,0.35,0.36,0.35,0.36,0.36,779400
2015-11-06,0.36,0.36,0.36,0.36,0.36,1999600
2015-11-09,0.35,0.35,0.35,0.35,0.35,1999600
2015-11-11,0.34,0.36,0.34,0.36,0.36,1108600
2015-11-12,0.45,0.47,0.42,0.47,0.47,4476800
2015-11-13,0.44,0.47,0.42,0.47,0.47,3495400
2015-11-16,0.46,0.46,0.43,0.43,0.43,6579200
2015-11-17,0.44,0.44,0.43,0.43,0.43,1663200
2015-11-18,0.44,0.44,0.44,0.44,0.44,1108800
2015-11-19,0.44,0.44,0.44,0.44,0.44,554400
2015-11-20,0.43,0.43,0.43,0.43,0.43,554400
2015-11-23,0.45,0.45,0.43,0.43,0.43,950000
2015-11-24,0.44,0.44,0.44,0.44,0.44,549800
2015-11-25,0.47,0.48,0.46,0.47,0.47,2579400
2015-11-26,0.52,0.55,0.52,0.52,0.52,366700
2015-11-27,0.55,0.55,0.49,0.49,0.49,2050400
2015-11-30,0.5,0.52,0.5,0.51,0.51,3367800
2015-12-01,0.51,0.51,0.48,0.48,0.48,1007000
2015-12-02,0.48,0.49,0.48,0.49,0.49,2162400
2015-12-03,0.52,0.52,0.46,0.46,0.46,1283100
2015-12-04,0.49,0.5,0.48,0.48,0.48,1946800
2015-12-08,0.5,0.5,0.49,0.49,0.49,1483400
2015-12-09,0.5,0.5,0.49,0.49,0.49,883200
2015-12-11,0.5,0.58,0.5,0.57,0.57,11828800
2015-12-14,0.61,0.63,0.58,0.59,0.59,6724900
2015-12-15,0.54,0.54,0.37,0.37,0.37,4155100
2015-12-16,0.41,0.48,0.41,0.48,0.48,22335800
2015-12-17,0.52,0.52,0.48,0.49,0.49,11207100
2015-12-18,0.53,0.56,0.52,0.56,0.56,1072500
2015-12-21,0.78,1.06,0.78,1.03,1.03,6102500
2015-12-22,0.97,1.14,0.92,1.04,1.04,26240800
2015-12-23,1.09,1.13,1.09,1.11,1.11,833000
2015-12-24,1.09,1.12,1.06,1.1,1.1,3528700
2015-12-25,1.12,1.12,1.12,1.12,1.12,12000
2015-12-28,1.08,1.08,1.07,1.08,1.08,855200
2016-01-04,1.21,1.33,1.2,1.29,1.29,4680000
2016-01-05,1.3,1.54,1.3,1.52,1.52,2504900
2016-01-06,1.61,1.61,1.37,1.41,1.41,3166100
2016-01-07,1.52,1.52,1.4,1.44,1.44,3519400
2016-01-08,1.41,1.41,1.29,1.29,1.29,3532000
2016-01-11,1.32,1.32,1.27,1.27,1.27,893600
2016-01-12,1.26,1.26,1.15,1.15,1.15,888400
2016-01-18,1.28,1.28,1.27,1.27,1.27,790200
2016-01-20,1.02,1.02,0.97,1.01,1.01,422700
2016-01-21,0.97,1.06,0.97,1.06,1.06,717200
2016-01-22,0.98,0.99,0.96,0.96,0.96,571800
2016-01-25,0.97,1.04,0.97,1.04,1.04,5779000
2016-01-26,1.02,1.02,1.02,1.02,1.02,520000
2016-01-27,0.93,0.95,0.93,0.95,0.95,1829600
2016-01-28,0.97,0.97,0.93,0.93,0.93,1985800
2016-01-29,0.83,0.85,0.83,0.85,0.85,3406200
2016-02-01,0.72,0.79,0.69,0.79,0.79,6168400
2016-02-02,0.75,0.77,0.74,0.76,0.76,1098400
2016-02-03,0.76,0.76,0.74,0.74,0.74,360000
2016-02-04,0.73,0.81,0.73,0.81,0.81,1150000
2016-02-05,0.75,0.78,0.75,0.78,0.78,1855000
2016-02-08,0.85,0.85,0.82,0.83,0.83,8846400
2016-02-09,0.85,0.85,0.82,0.82,0.82,6533200
2016-02-15,0.77,0.77,0.76,0.77,0.77,1800200
2016-02-17,0.79,0.84,0.79,0.84,0.84,935000
2016-02-19,0.73,0.73,0.69,0.69,0.69,868200
2016-02-23,0.71,0.72,0.67,0.67,0.67,4134000
2016-02-24,0.7,0.7,0.64,0.64,0.64,2203200
2016-02-25,0.65,0.65,0.65,0.65,0.65,10387200
2016-02-26,0.64,0.65,0.64,0.65,0.65,4867600
2016-02-29,0.63,0.64,0.62,0.64,0.64,8548600
2016-03-01,0.65,0.67,0.65,0.67,0.67,3540800
2016-03-02,0.64,0.64,0.62,0.62,0.62,3987600
