Date,Open,High,Low,Close,Adj Close,Volume
2018-08-24,0.31,0.31,0.31,0.31,0.31,1321600
2018-08-27,0.32,0.32,0.32,0.32,0.32,542200
2018-08-30,0.34,0.34,0.34,0.34,0.34,567400
2018-08-31,0.32,0.33,0.31,0.31,0.31,557400
2018-09-03,0.32,0.32,0.31,0.31,0.31,886600
2018-09-05,0.29,0.3,0.29,0.3,0.3,639600
2018-09-06,0.27,0.27,0.27,0.27,0.27,146800
2018-09-07,0.28,0.28,0.27,0.27,0.27,211200
2018-09-10,0.27,0.28,0.27,0.28,0.28,1860900
2018-09-11,0.3,0.3,0.29,0.29,0.29,315300
2018-09-12,0.29,0.29,0.29,0.29,0.29,400000
2018-09-13,0.3,0.31,0.3,0.31,0.31,945400
2018-09-14,0.31,0.31,0.29,0.29,0.29,1000000
2018-09-17,0.29,0.3,0.29,0.3,0.3,32600
2018-09-18,0.3,0.31,0.3,0.3,0.3,800000
2018-09-19,0.31,0.31,0.28,0.28,0.28,1200100
2018-09-20,0.3,0.3,0.29,0.29,0.29,393400
2018-09-21,0.29,0.29,0.29,0.29,0.29,400000
2018-09-25,0.26,0.26,0.26,0.26,0.26,585600
2018-09-26,0.27,0.27,0.27,0.27,0.27,1211200
2018-09-27,0.27,0.27,0.26,0.26,0.26,2174400
2018-09-28,0.27,0.27,0.27,0.27,0.27,716800
2018-10-01,0.26,0.26,0.25,0.25,0.25,898200
2018-10-02,0.25,0.25,0.24,0.24,0.24,1349000
2018-10-03,0.25,0.25,0.24,0.24,0.24,514600
2018-10-04,0.24,0.24,0.24,0.24,0.24,900000
2018-10-05,0.25,0.25,0.25,0.25,0.25,307000
2018-10-08,0.24,0.24,0.24,0.24,0.24,1183600
2018-10-09,0.22,0.22,0.21,0.21,0.21,1044000
2018-10-10,0.22,0.22,0.22,0.22,0.22,151200
2018-10-11,0.21,0.21,0.2,0.2,0.2,286600
2018-10-12,0.22,0.22,0.2,0.2,0.2,32600
2018-10-16,0.21,0.21,0.21,0.21,0.21,1000000
2018-10-17,0.21,0.21,0.21,0.21,0.21,300000
2018-10-18,0.2,0.2,0.2,0.2,0.2,300000
2018-10-25,0.15,0.16,0.14,0.16,0.16,2202000
2018-10-26,0.16,0.17,0.16,0.17,0.17,661000
2018-10-29,0.16,0.16,0.16,0.16,0.16,200000
2018-10-30,0.17,0.17,0.16,0.16,0.16,540000
2018-10-31,0.16,0.16,0.16,0.16,0.16,60000
2018-11-01,0.18,0.18,0.18,0.18,0.18,240000
2018-11-02,0.14,0.14,0.13,0.14,0.14,363100
2018-11-05,0.12,0.12,0.12,0.12,0.12,120000
2018-11-06,0.12,0.12,0.1,0.1,0.1,123200
2018-11-08,0.1,0.1,0.09,0.09,0.09,360000
2018-11-13,0.08,0.08,0.08,0.08,0.08,100
2018-11-15,0.08,0.08,0.08,0.08,0.08,100
2018-11-29,0.07,0.07,0.07,0.07,0.07,1000
2018-12-03,0.06,0.06,0.05,0.05,0.05,123200
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
