Date,Open,High,Low,Close,Adj Close,Volume
2010-12-16,86.5,86.5,86.5,86.5,86.5,1
2010-12-17,85,85,84.1,84.1,84.1,2
2010-12-27,85.2,85.2,85.2,85.2,85.2,3
2010-12-30,84.2,84.4,84.2,84.4,84.4,6
2011-01-13,84.5,84.5,84.5,84.5,84.5,1
2011-01-24,81.5,81.5,79,79,79,6
2011-01-25,79.8,79.8,78.8,79.8,79.8,6
2011-01-31,78.2,78.2,78.2,78.2,78.2,1
2011-02-07,83,83,83,83,83,1
2011-02-08,83.8,83.8,83.8,83.8,83.8,3
2011-02-09,83.8,84.3,83,83,83,6
2011-02-10,82.1,82.3,80.8,80.8,80.8,5
2011-02-11,80.5,81,79.8,79.8,79.8,6
2011-02-14,82.1,82.1,82.1,82.1,82.1,1
2011-02-15,82,82,82,82,82,1
2011-02-17,84,84.3,84,84,84,6
2011-02-22,83.5,83.5,83.5,83.5,83.5,1
2011-02-24,82,82,82,82,82,1
2011-02-28,82,82,80.2,80.2,80.2,2
2011-03-01,81,81,80.5,80.5,80.5,3
2011-03-09,84.6,85,84.6,85,85,7
2011-03-11,85,85,84,84,84,2
2011-03-14,86,87,86,87,87,11
2011-03-15,85.6,85.6,85.6,85.6,85.6,1
2011-03-16,87.5,87.5,87.5,87.5,87.5,5
2011-03-17,85.5,85.5,85.5,85.5,85.5,1
2011-03-18,86,86,86,86,86,1
2011-03-23,89.2,89.8,89.2,89.8,89.8,5
2011-03-24,90,90,89.5,89.5,89.5,5
2011-03-25,89.25,89.25,89.25,89.25,89.25,1
