Date,Open,High,Low,Close,Adj Close,Volume
2017-09-29,0.83,0.91,0.83,0.83,0.83,884454200
2017-10-02,0.76,0.81,0.59,0.69,0.69,2033372800
2017-10-03,0.7,0.75,0.67,0.71,0.71,813713700
2017-10-04,0.72,0.76,0.71,0.72,0.72,423367700
2017-10-05,0.72,0.73,0.69,0.69,0.69,101900500
2017-10-06,0.7,0.7,0.67,0.68,0.68,71303300
2017-10-09,0.67,0.68,0.6,0.62,0.62,67784200
2017-10-10,0.61,0.64,0.6,0.64,0.64,33398300
2017-10-11,0.64,0.65,0.61,0.63,0.63,24580400
2017-10-12,0.62,0.62,0.6,0.61,0.61,18903600
2017-10-16,0.64,0.67,0.64,0.65,0.65,63294900
2017-10-17,0.65,0.67,0.62,0.63,0.63,36658700
2017-10-18,0.63,0.64,0.61,0.61,0.61,13819900
2017-10-19,0.61,0.63,0.6,0.62,0.62,18122600
2017-10-20,0.62,0.62,0.6,0.61,0.61,6742300
2017-10-24,0.61,0.61,0.6,0.6,0.6,17020800
2017-10-25,0.61,0.61,0.6,0.6,0.6,4031300
2017-10-27,0.6,0.61,0.54,0.58,0.58,48474400
2017-10-30,0.58,0.59,0.56,0.57,0.57,8249800
2017-10-31,0.56,0.57,0.55,0.56,0.56,14202800
2017-11-01,0.56,0.56,0.54,0.56,0.56,8199900
2017-11-02,0.56,0.56,0.54,0.55,0.55,7307300
2017-11-03,0.55,0.55,0.54,0.54,0.54,8575900
2017-11-06,0.54,0.55,0.51,0.51,0.51,16638100
2017-11-07,0.51,0.51,0.47,0.49,0.49,33394600
2017-11-08,0.48,0.49,0.47,0.47,0.47,11956900
2017-11-09,0.47,0.48,0.39,0.41,0.41,58355000
2017-11-10,0.41,0.45,0.37,0.44,0.44,48630600
2017-11-13,0.44,0.44,0.42,0.43,0.43,6806300
2017-11-14,0.42,0.44,0.42,0.42,0.42,10803900
2017-11-15,0.42,0.47,0.39,0.46,0.46,47472800
2017-11-16,0.47,0.49,0.45,0.47,0.47,23647800
2017-11-17,0.47,0.48,0.46,0.48,0.48,11261000
2017-11-20,0.48,0.6,0.48,0.57,0.57,266722100
2017-11-21,0.61,0.63,0.58,0.61,0.61,148196600
2017-11-22,0.6,0.61,0.57,0.58,0.58,49259900
2017-11-23,0.58,0.59,0.55,0.58,0.58,37567400
2017-11-24,0.58,0.58,0.55,0.55,0.55,19342300
2017-11-27,0.58,0.61,0.57,0.57,0.57,77679300
2017-11-28,0.58,0.58,0.56,0.56,0.56,20304600
2017-11-29,0.57,0.61,0.56,0.59,0.59,96548000
2017-11-30,0.59,0.59,0.56,0.58,0.58,21462800
2017-12-01,0.58,0.61,0.57,0.59,0.59,44124900
2017-12-04,0.59,0.6,0.58,0.59,0.59,25056400
2017-12-06,0.59,0.6,0.57,0.58,0.58,13396300
2017-12-07,0.58,0.59,0.55,0.56,0.56,22880300
2017-12-08,0.56,0.57,0.54,0.56,0.56,17813900
2017-12-12,0.56,0.56,0.54,0.55,0.55,8103300
2017-12-13,0.54,0.56,0.53,0.55,0.55,10805100
2017-12-14,0.56,0.56,0.54,0.54,0.54,3889100
2017-12-15,0.54,0.55,0.52,0.53,0.53,8161400
2017-12-18,0.53,0.56,0.51,0.56,0.56,31008500
2017-12-19,0.56,0.59,0.55,0.56,0.56,43198000
2017-12-20,0.56,0.57,0.55,0.56,0.56,4040100
2017-12-21,0.55,0.56,0.54,0.55,0.55,5236300
2017-12-22,0.55,0.56,0.54,0.55,0.55,6162000
2017-12-25,0.56,0.56,0.54,0.54,0.54,4934800
2017-12-26,0.55,0.55,0.54,0.54,0.54,5402600
2017-12-27,0.54,0.55,0.53,0.54,0.54,8236900
2017-12-28,0.54,0.54,0.53,0.53,0.53,3582000
2017-12-29,0.54,0.55,0.53,0.54,0.54,6509700
2018-01-03,0.54,0.55,0.53,0.53,0.53,2723000
2018-01-04,0.54,0.56,0.53,0.54,0.54,38941200
2018-01-05,0.55,0.58,0.54,0.57,0.57,29581900
2018-01-08,0.57,0.58,0.55,0.56,0.56,14453300
2018-01-09,0.56,0.56,0.55,0.56,0.56,3495600
2018-01-10,0.56,0.57,0.55,0.55,0.55,10846000
2018-01-11,0.55,0.57,0.55,0.56,0.56,9416900
2018-01-12,0.56,0.56,0.54,0.55,0.55,9324800
2018-01-15,0.54,0.56,0.53,0.56,0.56,31830900
