Date,Open,High,Low,Close,Adj Close,Volume
1989-11-10,129.205,133.969,128.015,129.205,129.205,239664
1989-11-13,129.205,137.541,128.61,137.541,137.541,350342
1989-11-14,137.541,144.091,135.16,142.305,142.305,403247
1989-11-15,142.305,143.495,139.923,140.518,140.518,172988
1989-11-16,140.518,141.709,134.564,138.137,138.137,157872
1989-11-17,138.137,138.137,134.564,135.16,135.16,54247
1989-11-20,135.16,136.35,131.587,133.969,133.969,93212
1989-11-21,133.969,133.969,132.182,133.969,133.969,110342
1989-11-22,133.969,135.755,133.373,133.373,133.373,39972
1989-11-23,133.373,133.373,125.633,130.396,130.396,94723
1989-11-24,128.015,128.015,123.847,125.633,125.633,31910
1989-11-27,125.633,129.205,125.633,128.015,128.015,50384
1989-11-28,128.015,129.205,128.015,128.61,128.61,27039
1989-11-29,128.61,130.992,128.61,130.396,130.396,61301
1989-11-30,130.396,131.587,128.61,129.205,129.205,42491
1989-12-01,129.205,133.969,129.205,133.969,133.969,166941
1989-12-04,134.564,138.137,134.564,136.946,136.946,129489
1989-12-06,138.137,144.091,138.137,142.9,142.9,193645
1989-12-07,142.9,145.282,139.923,141.709,141.709,133519
1989-12-08,141.709,142.305,139.923,139.923,139.923,37452
1989-12-12,139.923,141.114,133.969,135.755,135.755,26368
1989-12-13,137.541,139.327,137.541,138.137,138.137,10916
1989-12-14,138.137,138.732,136.946,136.946,136.946,18642
1989-12-15,136.946,136.946,133.969,133.969,133.969,18306
1989-12-18,132.778,132.778,130.992,130.992,130.992,52232
1989-12-19,130.992,131.587,129.205,131.587,131.587,15955
1989-12-20,132.778,135.16,132.778,132.778,132.778,17970
1989-12-21,132.778,133.373,130.992,130.992,130.992,32414
1989-12-22,132.778,135.16,132.778,135.16,135.16,82295
1989-12-25,135.16,135.755,133.373,133.373,133.373,14443
1989-12-26,133.373,138.137,132.182,138.137,138.137,45682
1989-12-27,138.137,142.9,138.137,142.9,142.9,189615
1989-12-28,142.9,143.495,135.755,139.923,139.923,21833
1989-12-29,139.923,139.923,138.137,138.137,138.137,17130
1990-01-02,138.137,139.923,135.16,135.16,135.16,41987
1990-01-03,135.16,138.732,135.16,137.541,137.541,19650
1990-01-04,136.946,136.946,135.755,136.946,136.946,11420
1990-01-05,136.946,138.137,136.35,138.137,138.137,22001
1990-01-08,138.137,138.732,135.755,138.732,138.732,22001
1990-01-09,138.732,139.923,136.946,138.137,138.137,27207
1990-01-10,138.137,138.137,133.373,138.137,138.137,27711
1990-01-11,133.969,133.969,130.992,132.182,132.182,12092
1990-01-12,132.182,138.137,128.61,138.137,138.137,15955
1990-01-15,136.946,136.946,135.755,136.946,136.946,19314
1990-01-16,136.946,139.327,135.755,135.755,135.755,6550
1990-01-17,133.969,133.969,129.801,130.396,130.396,16123
1990-01-18,130.396,133.373,125.633,133.373,133.373,13603
1990-01-19,133.373,133.373,130.396,133.373,133.373,10916
1990-01-22,133.373,133.373,130.992,132.182,132.182,14611
1990-01-23,132.182,132.182,129.801,132.182,132.182,8565
1990-01-24,132.182,133.969,128.015,128.015,128.015,15619
1990-01-25,128.015,128.015,125.037,126.824,126.824,20657
1990-01-26,127.419,130.992,127.419,130.992,130.992,6382
1990-01-29,130.992,130.992,125.633,126.824,126.824,22841
1990-01-30,126.824,130.992,126.824,130.992,130.992,26032
1990-01-31,130.992,130.992,126.824,130.992,130.992,13603
1990-02-01,130.992,130.992,125.037,125.037,125.037,24520
1990-02-02,125.037,129.205,125.037,129.205,129.205,20657
1990-02-06,122.06,122.06,119.083,120.274,120.274,3023
1990-02-07,119.083,119.083,116.106,116.106,116.106,26703
1990-02-08,116.106,126.824,116.106,126.824,126.824,17298
1990-02-12,125.037,125.037,125.037,125.037,125.037,17298
1990-02-14,123.251,123.251,120.274,123.251,123.251,5038
1990-02-15,123.251,125.037,123.251,125.037,125.037,3862
1990-02-16,125.037,126.228,122.656,125.037,125.037,27543
1990-02-19,125.037,128.61,125.037,128.61,128.61,31070
1990-02-20,128.61,132.778,128.61,131.587,131.587,41483
1990-02-21,131.587,133.373,129.801,133.373,133.373,44338
1990-02-22,133.373,133.969,130.396,132.778,132.778,55759
1990-02-23,132.778,139.327,130.992,138.137,138.137,97242
1990-02-26,138.137,138.137,135.16,136.946,136.946,59118
1990-02-27,136.946,139.327,136.946,138.137,138.137,51224
1990-02-28,138.137,139.923,136.35,139.327,139.327,48537
1990-03-01,139.923,141.114,139.923,139.923,139.923,42827
1990-03-02,139.923,143.495,136.946,136.946,136.946,12932
1990-03-05,136.946,138.137,136.946,137.541,137.541,13268
1990-03-07,135.755,135.755,133.969,133.969,133.969,5038
1990-03-08,133.969,133.969,132.778,132.778,132.778,8061
1990-03-09,133.373,133.969,133.373,133.373,133.373,14443
1990-03-12,133.969,135.16,133.969,133.969,133.969,21833
1990-03-13,133.969,134.564,132.182,133.969,133.969,9909
1990-03-14,133.969,133.969,132.182,133.969,133.969,9069
1990-03-15,133.969,133.969,133.373,133.969,133.969,12932
1990-03-16,133.373,133.373,130.992,132.778,132.778,29223
1990-03-19,132.778,136.35,132.778,136.35,136.35,22505
1990-03-20,136.35,139.327,134.564,135.755,135.755,39132
1990-03-21,135.755,136.946,135.755,136.35,136.35,32918
1990-03-22,136.35,137.541,136.35,137.541,137.541,15619
1990-03-23,137.541,138.137,136.946,137.541,137.541,24184
1990-03-26,137.541,138.137,136.946,136.946,136.946,30230
1990-03-27,137.541,139.923,137.541,139.327,139.327,31406
1990-03-28,139.327,141.114,136.946,139.923,139.923,57102
1990-03-29,139.923,141.709,139.923,141.709,141.709,31238
1990-03-30,141.709,141.709,139.923,141.114,141.114,37116
1990-04-02,142.305,143.495,142.305,142.305,142.305,24016
1990-04-03,140.518,140.518,139.327,139.327,139.327,15115
1990-04-04,138.137,138.137,138.137,138.137,138.137,839
1990-04-05,138.137,138.732,138.137,138.732,138.732,671
1990-04-09,138.732,140.518,138.732,138.732,138.732,10412
1990-04-10,139.327,141.114,139.327,140.518,140.518,11084
1990-04-11,140.518,142.305,139.327,142.305,142.305,29055
1990-04-16,142.305,142.9,142.305,142.9,142.9,13435
1990-04-17,142.9,144.686,142.305,142.305,142.305,35941
1990-04-18,142.305,142.9,142.305,142.9,142.9,51560
1990-04-19,142.9,143.495,142.9,143.495,143.495,12428
1990-04-20,143.495,148.854,143.495,148.854,148.854,35437
1990-04-23,149.45,154.808,149.45,153.022,153.022,28719
1990-04-24,153.022,157.785,151.831,157.19,157.19,41483
1990-04-25,157.19,161.953,156.595,156.595,156.595,34765
1990-04-26,157.19,163.144,157.19,161.358,161.358,45346
1990-04-27,161.358,163.74,155.999,157.19,157.19,12260
1990-04-30,157.19,161.953,156.595,157.785,157.785,6382
1990-05-02,157.785,157.785,157.19,157.19,157.19,29391
1990-05-03,157.19,157.785,157.19,157.785,157.785,16123
1990-05-04,157.785,158.381,157.785,158.381,158.381,10580
