Date,Open,High,Low,Close,Adj Close,Volume
2018-09-18,0.72,0.78,0.72,0.78,0.78,7847300
2018-09-19,0.82,0.82,0.79,0.79,0.79,8157900
2018-09-20,0.8,0.82,0.78,0.8,0.8,6672400
2018-09-21,0.8,0.82,0.79,0.79,0.79,9794900
2018-09-24,0.75,0.77,0.74,0.74,0.74,2061600
2018-09-25,0.75,0.78,0.74,0.74,0.74,3707100
2018-09-26,0.76,0.8,0.76,0.8,0.8,10467600
2018-09-27,0.8,0.82,0.78,0.82,0.82,6422500
2018-09-28,0.83,0.98,0.82,0.94,0.94,23419100
2018-10-01,0.97,1.03,0.95,1.01,1.01,13692100
2018-10-02,1.01,1.02,0.97,1.01,1.01,2970700
2018-10-03,1.01,1.01,0.93,0.93,0.93,2761300
2018-10-04,0.88,0.99,0.87,0.99,0.99,12989800
2018-10-05,1,1.07,0.92,0.93,0.93,18772700
2018-10-08,0.95,0.98,0.88,0.88,0.88,9255100
2018-10-09,0.91,0.93,0.8,0.83,0.83,11335600
2018-10-10,0.87,0.9,0.86,0.9,0.9,9766100
2018-10-11,0.81,0.89,0.81,0.88,0.88,18186700
2018-10-12,0.9,0.92,0.89,0.89,0.89,10524400
2018-10-16,0.9,0.95,0.88,0.94,0.94,15817300
2018-10-17,0.95,0.95,0.89,0.89,0.89,8144700
2018-10-18,0.89,0.89,0.82,0.82,0.82,6878100
2018-10-19,0.81,0.82,0.75,0.78,0.78,16972600
2018-10-22,0.78,0.79,0.71,0.75,0.75,20685200
2018-10-24,0.72,0.75,0.7,0.72,0.72,15696600
2018-10-25,0.7,0.77,0.68,0.76,0.76,27108300
2018-10-26,0.74,0.77,0.73,0.74,0.74,15743300
2018-10-29,0.74,0.79,0.74,0.77,0.77,9769500
2018-10-30,0.79,0.86,0.76,0.82,0.82,20542300
2018-10-31,0.85,0.91,0.84,0.9,0.9,23548500
2018-11-01,0.88,0.91,0.85,0.87,0.87,10765300
2018-11-02,0.88,0.93,0.88,0.9,0.9,29126600
2018-11-05,0.86,0.86,0.84,0.84,0.84,10369600
2018-11-06,0.86,0.88,0.83,0.83,0.83,11757200
2018-11-07,0.84,0.92,0.84,0.89,0.89,21195800
2018-11-08,0.94,0.96,0.9,0.9,0.9,12243300
2018-11-09,0.9,0.9,0.83,0.83,0.83,9690100
2018-11-12,0.82,0.82,0.77,0.77,0.77,8313500
2018-11-13,0.73,0.84,0.72,0.81,0.81,25978400
2018-11-14,0.79,0.84,0.79,0.8,0.8,16795900
2018-11-15,0.81,0.82,0.73,0.73,0.73,11080000
2018-11-16,0.74,0.76,0.72,0.75,0.75,8578000
2018-11-19,0.76,0.78,0.76,0.76,0.76,5537400
2018-11-20,0.74,0.74,0.63,0.63,0.63,9611500
2018-11-21,0.63,0.7,0.62,0.7,0.7,20342500
2018-11-22,0.68,0.69,0.62,0.62,0.62,4984200
2018-11-23,0.64,0.7,0.63,0.69,0.69,22981500
2018-11-26,0.69,0.74,0.68,0.73,0.73,20904600
2018-11-27,0.74,0.79,0.74,0.77,0.77,25127400
2018-11-28,0.79,0.8,0.77,0.77,0.77,5295600
2018-11-29,0.79,0.81,0.74,0.74,0.74,8058400
2018-11-30,0.75,0.77,0.7,0.75,0.75,11330800
2018-12-03,0.79,0.81,0.79,0.79,0.79,19058300
2018-12-04,0.79,0.8,0.77,0.79,0.79,22397500
2018-12-06,0.74,0.78,0.74,0.76,0.76,5695500
2018-12-07,0.77,0.78,0.76,0.76,0.76,4988700
2018-12-11,0.74,0.75,0.72,0.72,0.72,17653100
2018-12-12,0.73,0.74,0.67,0.67,0.67,16337200
2018-12-13,0.69,0.7,0.61,0.63,0.63,4160700
2018-12-14,0.62,0.64,0.61,0.61,0.61,4386400
2018-12-17,0.63,0.64,0.6,0.61,0.61,7765300
2018-12-18,0.58,0.59,0.56,0.56,0.56,7215000
2018-12-19,0.57,0.65,0.54,0.64,0.64,10670400
2018-12-20,0.62,0.62,0.56,0.58,0.58,13928600
2018-12-21,0.55,0.61,0.55,0.56,0.56,18768000
2018-12-24,0.55,0.56,0.45,0.45,0.45,15272900
2018-12-25,0.41,0.42,0.38,0.38,0.38,8763500
2018-12-26,0.39,0.4,0.34,0.39,0.39,15488400
2018-12-27,0.43,0.43,0.37,0.37,0.37,7538600
2018-12-28,0.37,0.4,0.37,0.4,0.4,11267500
2019-01-02,0.4,0.42,0.4,0.41,0.41,4467200
2019-01-03,0.41,0.43,0.38,0.38,0.38,4723200
2019-01-04,0.39,0.48,0.36,0.47,0.47,30173600
2019-01-07,0.49,0.57,0.49,0.55,0.55,11974500
2019-01-08,0.54,0.54,0.51,0.54,0.54,12919400
