Date,Open,High,Low,Close,Adj Close,Volume
2017-04-05,17.28,17.28,17.28,17.28,17.28,200
2017-04-11,16.95,16.95,16.95,16.95,16.95,200
2017-04-12,16.6,16.6,16.6,16.6,16.6,300
2017-04-17,16.96,16.96,16.96,16.96,16.96,420
2017-04-19,16.41,16.41,16.41,16.41,16.41,520
2017-04-20,16.32,16.32,16.32,16.32,16.32,400
2017-06-02,17.39,17.39,17.39,17.39,17.39,2
2017-06-14,18.38,18.38,18.38,18.38,18.38,7
2017-06-15,18.1,18.1,18.1,18.1,18.1,20
2017-07-11,16.59,16.59,16.59,16.59,16.59,20
2017-07-17,16.2,16.2,16.2,16.2,16.2,400
2017-08-03,16.16,16.3,16.16,16.3,16.3,2
2017-08-11,16.04,16.04,16.04,16.04,16.04,400
2017-08-16,16.82,17.07,16.82,17.07,17.07,2
2017-08-29,17.9,17.9,17.9,17.9,17.9,1
2017-08-31,18.55,18.55,18.55,18.55,18.55,1
2017-09-05,19.18,19.18,19.18,19.18,19.18,1
2017-09-06,18.82,18.82,18.82,18.82,18.82,9
2017-09-15,20.75,20.75,20.75,20.75,20.75,2
2017-09-18,20.71,20.71,20.71,20.71,20.71,30
2017-09-20,20.1,20.1,20.1,20.1,20.1,208
2017-09-21,20.71,20.71,20.71,20.71,20.71,1
2017-09-25,21.04,21.04,21.04,21.04,21.04,2
2017-09-27,21.96,21.96,21.96,21.96,21.96,600
2017-09-28,22.1,22.1,22.1,22.1,22.1,400
2017-09-29,21.87,21.87,21.87,21.87,21.87,424
2017-10-02,22,22,22,22,22,20
2017-10-09,20.31,20.31,20.31,20.31,20.31,200
2017-10-10,21.2,21.2,21.2,21.2,21.2,301
2017-10-11,22.01,22.36,22.01,22.36,22.36,1402
2017-10-16,22.1,22.1,22.1,22.1,22.1,100
2017-10-20,20.8,20.8,20.6,20.6,20.6,402
2017-10-24,21.4,21.4,21.4,21.4,21.4,201
2017-10-25,22.12,22.3,22.12,22.3,22.3,603
2017-10-27,22.22,22.22,22.22,22.22,22.22,203
2017-10-30,21.5,21.5,21.5,21.5,21.5,100
2017-10-31,21.9,21.9,21.9,21.9,21.9,2
2017-11-03,21.1,21.1,21,21,21,103
2017-11-06,21.32,21.32,21.32,21.32,21.32,1
2017-11-08,21.79,21.79,21.79,21.79,21.79,400
2017-11-09,21.8,21.8,21.8,21.8,21.8,200
2017-11-10,21.29,21.29,21.29,21.29,21.29,200
2017-11-13,21.31,21.31,21.31,21.31,21.31,201
2017-11-14,23.28,23.28,23.28,23.28,23.28,2500
2017-11-15,23.53,23.53,23.53,23.53,23.53,3100
2017-11-16,24.92,24.92,24.92,24.92,24.92,700
2017-11-17,26.16,26.16,26.16,26.16,26.16,1301
2017-11-20,26,26,26,26,26,101
2017-11-21,27.03,27.03,27.03,27.03,27.03,400
2017-11-22,26.2,26.2,26.04,26.04,26.04,406
2017-11-23,25.94,25.95,25.94,25.95,25.95,145
2017-11-24,25.69,25.69,25.06,25.06,25.06,4710
2017-11-27,25.28,25.51,25.28,25.4,25.4,911
2017-11-28,25.18,25.43,25.18,25.43,25.43,423
2017-11-29,25.8,25.8,25.8,25.8,25.8,1100
2017-11-30,25.3,25.3,25,25,25,119
2017-12-01,24.84,24.97,24.38,24.97,24.97,1026
2017-12-04,24.29,24.29,24.06,24.28,24.28,1304
2017-12-06,24.03,24.03,23.54,23.82,23.82,619
2017-12-07,24.46,25.2,24.45,25.2,25.2,3608
2017-12-08,25.5,25.5,25.45,25.48,25.48,611
2017-12-12,25.25,25.25,25.25,25.25,25.25,401
2017-12-13,24.88,24.88,24.8,24.8,24.8,1103
2017-12-14,25.12,25.12,24.75,24.86,24.86,2112
2017-12-15,24.82,24.82,24.3,24.47,24.47,1540
2017-12-18,24.76,24.76,24.76,24.76,24.76,607
2017-12-19,25,25.4,24.86,25.21,25.21,3619
2017-12-20,25.69,26,25.6,26,26,2944
2017-12-21,26,26.32,25.86,25.87,25.87,1381
2017-12-22,25.57,26.25,25.1,26,26,2269
2017-12-25,25.92,26.06,25.92,26.06,26.06,207
2017-12-26,26.15,26.35,26,26.35,26.35,4360
2017-12-27,25.88,25.88,25.85,25.85,25.85,5502
2017-12-28,25.77,25.77,25.53,25.53,25.53,204
2017-12-29,25.53,26.08,25.53,26.08,26.08,314
2018-01-03,26.35,27.27,26.35,27.12,27.12,2748
2018-01-04,26.9,27.75,26.55,27.12,27.12,3938
2018-01-05,27.77,27.77,27.14,27.45,27.45,6207
2018-01-08,27.27,27.88,27.18,27.18,27.18,2134
2018-01-09,26.89,26.89,26.28,26.89,26.89,2126
2018-01-10,27,27.27,26.8,26.8,26.8,1222
2018-01-11,26.62,26.87,26.52,26.87,26.87,623
2018-01-12,26.69,26.69,26.69,26.69,26.69,18900
2018-01-15,27.37,28.38,27.37,28,28,3642
2018-01-16,28.27,29.02,28.27,28.55,28.55,1541
2018-01-17,28.37,28.54,28.2,28.54,28.54,715
2018-01-18,28.65,28.99,28.2,28.2,28.2,2262
2018-01-19,28.4,28.4,27.5,27.67,27.67,2521
2018-01-22,27.52,27.86,27.52,27.55,27.55,612
2018-01-23,28.11,28.11,25.5,26.08,26.08,2807
2018-01-24,25.6,26,24.75,25.85,25.85,2163
2018-01-25,26.14,26.14,25.75,26,26,1793
2018-01-26,25.85,25.85,24.52,24.9,24.9,11732
2018-01-29,25.2,25.55,24.98,25.4,25.4,1245
2018-01-30,25.4,26.1,25.01,25.77,25.77,2601
2018-01-31,25.6,25.6,25.6,25.6,25.6,204
2018-02-01,25.8,26.01,25.5,25.59,25.59,15031
2018-02-02,26.09,26.09,25.25,25.3,25.3,1576
2018-02-05,24.7,25.05,24.7,25.05,25.05,2334
2018-02-06,24.1,25,23.7,25,25,5997
2018-02-07,25.7,25.84,25.2,25.2,25.2,1667
2018-02-08,25.75,26.49,25.75,26.06,26.06,2135
2018-02-09,26.25,26.84,26,26.35,26.35,1769
2018-02-12,26.46,26.65,26.45,26.65,26.65,2628
2018-02-13,27.18,27.18,26.25,26.5,26.5,734
2018-02-14,26.79,26.79,26.4,26.41,26.41,526
2018-02-15,26.41,26.57,26.41,26.57,26.57,110
2018-02-16,26.74,26.74,26.41,26.41,26.41,307
2018-02-19,26.57,26.57,26.45,26.45,26.45,115
2018-02-20,26.5,26.5,26.17,26.17,26.17,319
2018-02-21,26.17,26.17,25.4,25.55,25.55,4705
2018-02-22,25.1,25.8,25.1,25.55,25.55,844
2018-02-23,25.4,25.5,25.2,25.5,25.5,520
2018-02-26,26,26.07,25.2,25.4,25.4,34
2018-02-27,25.22,25.75,25.22,25.45,25.45,15
2018-02-28,25.25,25.25,25.25,25.25,25.25,613
2018-03-02,24.85,25.31,24.5,24.6,24.6,422
2018-03-05,24.4,24.4,23.5,23.5,23.5,1511
2018-03-06,23.8,23.96,21.55,22.1,22.1,1486
2018-03-07,21.86,21.86,21.12,21.34,21.34,565
2018-03-08,21.36,22.35,21.36,21.6,21.6,825
2018-03-09,22.6,22.6,21.5,21.54,21.54,539
2018-03-12,22.14,22.74,22.13,22.74,22.74,354
2018-03-13,22.04,22.44,22.04,22.15,22.15,230
2018-03-14,22.84,22.84,22.6,22.83,22.83,209
2018-03-15,23,23.2,23,23,23,536
2018-03-16,23.16,23.16,22.64,22.64,22.64,26
2018-03-19,22.3,22.3,21.6,21.6,21.6,287
2018-03-20,21.24,21.73,21.24,21.35,21.35,131
2018-03-21,21.35,21.44,21.35,21.44,21.44,16
