Date,Open,High,Low,Close,Adj Close,Volume
2014-05-22,15.04,15.04,15.04,15.04,15.04,200
2014-05-23,14.93,14.93,14.93,14.93,14.93,200
2014-06-03,16.8,16.8,16.8,16.8,16.8,500
2014-06-04,16.4,16.4,16.4,16.4,16.4,500
2014-06-06,16.41,16.41,16.41,16.41,16.41,200
2014-06-10,16.8,16.8,16.8,16.8,16.8,400
2014-06-13,16.86,16.86,16.86,16.86,16.86,400
2014-06-16,16.89,16.89,16.89,16.89,16.89,200
2014-06-20,16.84,16.84,16.84,16.84,16.84,400
2014-06-23,17.05,17.05,17.05,17.05,17.05,200
2014-07-22,18.28,18.28,18.28,18.28,18.28,300
2014-07-23,18.26,18.26,18.26,18.26,18.26,300
2014-07-25,17.8,17.8,17.8,17.8,17.8,30
2014-08-07,16.3,16.3,16.3,16.3,16.3,10
2014-08-21,17.58,17.58,17.58,17.58,17.58,2
2014-08-26,17,17,17,17,17,15
2014-08-28,16.6,16.6,16.6,16.6,16.6,2
2014-09-12,16.5,16.5,16.4,16.4,16.4,25
