Date,Open,High,Low,Close,Adj Close,Volume
2018-02-21,0.16,0.16,0.16,0.16,0.16,100
2018-02-22,0.14,0.15,0.14,0.15,0.15,1782900
2018-02-23,0.16,0.18,0.16,0.18,0.18,1164400
2018-02-26,0.19,0.2,0.17,0.17,0.17,2151400
2018-02-27,0.17,0.17,0.16,0.16,0.16,1480800
2018-02-28,0.15,0.15,0.15,0.15,0.15,106000
2018-03-02,0.14,0.15,0.14,0.15,0.15,1941200
2018-03-05,0.14,0.14,0.14,0.14,0.14,2332800
2018-03-07,0.12,0.12,0.1,0.11,0.11,10029700
2018-03-08,0.09,0.1,0.09,0.1,0.1,916700
2018-03-09,0.09,0.09,0.08,0.08,0.08,672600
2018-03-12,0.08,0.08,0.08,0.08,0.08,232500
2018-03-13,0.08,0.08,0.08,0.08,0.08,300
2018-03-14,0.09,0.1,0.09,0.1,0.1,2853400
2018-03-15,0.1,0.1,0.09,0.1,0.1,930300
2018-03-16,0.08,0.08,0.05,0.05,0.05,3299500
2018-03-19,0.05,0.05,0.03,0.03,0.03,6119000
2018-03-20,0.03,0.05,0.03,0.04,0.04,5795400
2018-03-21,0.04,0.04,0.03,0.03,0.03,171000
2018-03-22,0.03,0.03,0.03,0.03,0.03,71000
2018-03-23,0.03,0.03,0.03,0.03,0.03,1504500
2018-03-26,0.03,0.03,0.03,0.03,0.03,377400
2018-03-27,0.03,0.03,0.03,0.03,0.03,612200
2018-03-28,0.03,0.03,0.03,0.03,0.03,1492200
2018-03-29,0.03,0.03,0.03,0.03,0.03,55000
2018-03-30,0.03,0.03,0.03,0.03,0.03,300000
2018-04-03,0.02,0.02,0.02,0.02,0.02,307200
2018-04-04,0.02,0.02,0.02,0.02,0.02,307200
2018-04-05,0.02,0.02,0.02,0.02,0.02,80000
2018-04-09,0.02,0.02,0.02,0.02,0.02,90000
2018-04-18,0.02,0.02,0.02,0.02,0.02,100000
2018-04-19,0.02,0.02,0.02,0.02,0.02,1500000
2018-04-26,0.01,0.02,0.01,0.02,0.02,2000
2018-04-30,0.02,0.02,0.02,0.02,0.02,1000
2018-05-04,0.02,0.02,0.02,0.02,0.02,10000
2018-05-08,0.02,0.02,0.02,0.02,0.02,40000
2018-05-10,0.01,0.02,0.01,0.02,0.02,115900
2018-05-17,0.02,0.04,0.02,0.03,0.03,5870000
2018-05-18,0.03,0.03,0.02,0.02,0.02,20100
2018-05-21,0.02,0.02,0.02,0.02,0.02,365400
2018-05-22,0.02,0.02,0.02,0.02,0.02,124700
2018-05-23,0.02,0.02,0.02,0.02,0.02,7039200
2018-05-24,0.02,0.02,0.02,0.02,0.02,1118200
2018-05-28,0.03,0.03,0.03,0.03,0.03,1100
2018-05-30,0.02,0.02,0.02,0.02,0.02,101900
2018-05-31,0.02,0.02,0.02,0.02,0.02,214600
2018-06-01,0.02,0.02,0.02,0.02,0.02,326900
2018-06-05,0.02,0.03,0.02,0.03,0.03,1277200
2018-06-07,0.03,0.03,0.03,0.03,0.03,217800
2018-06-08,0.03,0.03,0.03,0.03,0.03,200
2018-06-11,0.02,0.02,0.02,0.02,0.02,800000
2018-06-12,0.02,0.02,0.02,0.02,0.02,900000
2018-06-13,0.02,0.02,0.02,0.02,0.02,107500
2018-06-14,0.03,0.03,0.03,0.03,0.03,107500
2018-06-18,0.06,0.07,0.04,0.04,0.04,3257400
2018-06-19,0.04,0.04,0.03,0.03,0.03,2761000
2018-06-20,0.04,0.04,0.04,0.04,0.04,900000
2018-06-21,0.06,0.06,0.04,0.04,0.04,581500
2018-06-22,0.05,0.05,0.03,0.03,0.03,25500
2018-06-25,0.04,0.04,0.03,0.03,0.03,550100
2018-06-26,0.03,0.03,0.03,0.03,0.03,1258300
2018-06-27,0.03,0.03,0.03,0.03,0.03,513600
2018-06-28,0.03,0.03,0.03,0.03,0.03,719500
2018-06-29,0.02,0.02,0.02,0.02,0.02,2300000
2018-07-02,0.02,0.02,0.02,0.02,0.02,780000
2018-07-03,0.03,0.03,0.03,0.03,0.03,300000
2018-07-04,0.03,0.03,0.03,0.03,0.03,300000
2018-07-10,0.02,0.02,0.02,0.02,0.02,200
2018-07-11,0.03,0.03,0.03,0.03,0.03,100
2018-07-12,0.02,0.02,0.02,0.02,0.02,303500
2018-07-13,0.03,0.03,0.03,0.03,0.03,398500
2018-07-17,0.02,0.02,0.02,0.02,0.02,770000
2018-07-23,0.01,0.01,0.01,0.01,0.01,309800
2018-07-24,0.01,0.01,0.01,0.01,0.01,306300
2018-07-25,0.01,0.01,0.01,0.01,0.01,721600
2018-07-26,0.01,0.01,0.01,0.01,0.01,1021700
2018-07-31,0.01,0.01,0.01,0.01,0.01,918900
2018-08-01,0.01,0.01,0.01,0.01,0.01,612000
2018-08-02,0.01,0.02,0.01,0.01,0.01,4667000
2018-08-03,0.01,0.01,0.01,0.01,0.01,1710900
2018-08-06,0.01,0.01,0.01,0.01,0.01,3880200
2018-08-08,0.01,0.01,0.01,0.01,0.01,8000
2018-08-10,0.01,0.01,0.01,0.01,0.01,1309800
