Date,Open,High,Low,Close,Adj Close,Volume
2015-08-18,0.5,0.5,0.49,0.49,0.49,102300
2015-08-19,0.49,0.49,0.47,0.48,0.48,110100
2015-08-20,0.48,0.52,0.48,0.52,0.52,20100
2015-08-27,0.5,0.5,0.5,0.5,0.5,10000
2015-08-31,0.52,0.52,0.52,0.52,0.52,2300
2015-09-01,0.51,0.52,0.51,0.52,0.52,10300
2015-09-02,0.51,0.54,0.51,0.53,0.53,51200
2015-09-03,0.56,0.56,0.55,0.55,0.55,74100
2015-09-04,0.55,0.55,0.55,0.55,0.55,24600
2015-09-07,0.53,0.53,0.52,0.52,0.52,49200
2015-09-09,0.58,0.61,0.57,0.61,0.61,49200
2015-09-10,0.6,0.6,0.59,0.59,0.59,24600
2015-09-11,0.59,0.59,0.58,0.58,0.58,49200
2015-09-14,0.51,0.51,0.48,0.48,0.48,125000
2015-09-15,0.5,0.5,0.49,0.49,0.49,51200
2015-09-16,0.51,0.52,0.51,0.52,0.52,26600
2015-09-17,0.54,0.54,0.53,0.54,0.54,50700
2015-09-18,0.54,0.54,0.53,0.53,0.53,25200
2015-09-21,0.54,0.54,0.53,0.53,0.53,49200
2015-09-22,0.51,0.51,0.5,0.5,0.5,24600
2015-09-23,0.51,0.51,0.5,0.51,0.51,49200
2015-09-24,0.51,0.53,0.51,0.53,0.53,24600
2015-09-25,0.53,0.55,0.53,0.55,0.55,74300
2015-09-28,0.53,0.53,0.52,0.52,0.52,49800
2015-09-29,0.52,0.52,0.51,0.52,0.52,25600
2015-09-30,0.53,0.53,0.52,0.52,0.52,86800
2015-10-01,0.53,0.53,0.52,0.52,0.52,43400
2015-10-02,0.54,0.54,0.54,0.54,0.54,43400
2015-10-05,0.56,0.6,0.56,0.6,0.6,131900
2015-10-06,0.62,0.62,0.61,0.62,0.62,86800
2015-10-07,0.62,0.62,0.62,0.62,0.62,43400
2015-10-08,0.61,0.62,0.61,0.61,0.61,86800
2015-10-09,0.64,0.64,0.63,0.63,0.63,130200
2015-10-12,0.63,0.63,0.59,0.59,0.59,91900
2015-10-13,0.61,0.61,0.61,0.61,0.61,96800
2015-10-14,0.62,0.64,0.62,0.62,0.62,131200
2015-10-15,0.64,0.65,0.64,0.65,0.65,188700
2015-10-16,0.67,0.69,0.65,0.65,0.65,232200
2015-10-19,0.65,0.65,0.64,0.64,0.64,260400
2015-10-20,0.63,0.65,0.63,0.65,0.65,43400
2015-10-21,0.64,0.64,0.63,0.63,0.63,56000
2015-10-22,0.65,0.65,0.62,0.62,0.62,91600
2015-10-26,0.65,0.65,0.64,0.64,0.64,123400
2015-10-27,0.64,0.64,0.64,0.64,0.64,43400
