Date,Open,High,Low,Close,Adj Close,Volume
2013-01-21,0.43,0.49,0.43,0.44,0.44,6010000
2013-01-23,0.49,0.53,0.49,0.53,0.53,2700100
2013-01-24,0.55,0.59,0.54,0.59,0.59,2120100
2013-01-25,0.56,0.56,0.54,0.54,0.54,500000
2013-01-28,0.52,0.52,0.5,0.51,0.51,606000
2013-01-29,0.58,0.6,0.56,0.6,0.6,2700000
2013-01-30,0.6,0.6,0.57,0.58,0.58,2494000
2013-01-31,0.49,0.53,0.49,0.5,0.5,455600
2013-02-01,0.51,0.52,0.5,0.52,0.52,618600
2013-02-04,0.52,0.52,0.47,0.48,0.48,280300
2013-02-05,0.48,0.5,0.47,0.49,0.49,751500
2013-02-06,0.51,0.55,0.51,0.52,0.52,4697000
2013-02-07,0.55,0.6,0.55,0.6,0.6,4061000
2013-02-08,0.61,0.66,0.61,0.66,0.66,5200
2013-02-11,0.67,0.68,0.65,0.65,0.65,116000
2013-02-12,0.62,0.65,0.6,0.6,0.6,328500
2013-02-13,0.62,0.62,0.61,0.61,0.61,106500
2013-02-14,0.67,0.7,0.67,0.69,0.69,316300
2013-02-15,0.72,0.72,0.7,0.7,0.7,6756000
2013-02-18,0.71,0.76,0.7,0.7,0.7,2108300
2013-02-19,0.67,0.67,0.61,0.64,0.64,366000
2013-02-20,0.65,0.67,0.64,0.67,0.67,505000
2013-02-21,0.69,0.69,0.61,0.65,0.65,794400
2013-02-22,0.68,0.68,0.65,0.65,0.65,200000
2013-02-26,0.64,0.65,0.64,0.65,0.65,64000
2013-02-27,0.68,0.68,0.65,0.65,0.65,285000
2013-02-28,0.7,0.7,0.7,0.7,0.7,100
2013-03-01,0.67,0.67,0.65,0.65,0.65,392100
2013-03-05,0.67,0.68,0.67,0.67,0.67,85500
2013-03-06,0.68,0.68,0.68,0.68,0.68,18000
2013-03-07,0.7,0.77,0.7,0.77,0.77,260000
2013-03-08,0.77,0.78,0.76,0.78,0.78,295400
2013-03-11,0.8,0.81,0.8,0.81,0.81,154200
2013-03-12,0.81,0.84,0.81,0.82,0.82,484000
2013-03-13,0.78,0.8,0.77,0.77,0.77,431000
2013-03-14,0.81,0.81,0.77,0.8,0.8,11100
2013-03-15,0.8,0.8,0.75,0.75,0.75,688000
2013-03-18,0.73,0.75,0.73,0.74,0.74,583500
2013-03-19,0.76,0.79,0.72,0.73,0.73,237000
2013-03-20,0.69,0.75,0.68,0.75,0.75,2502100
2013-03-21,0.73,0.73,0.69,0.69,0.69,116000
2013-03-22,0.65,0.66,0.54,0.55,0.55,1223600
2013-03-25,0.6,0.65,0.58,0.65,0.65,840200
2013-03-26,0.62,0.74,0.62,0.74,0.74,3469200
2013-03-27,0.74,0.74,0.72,0.72,0.72,237000
2013-03-28,0.74,0.74,0.73,0.73,0.73,10100
2013-03-29,0.77,0.77,0.72,0.72,0.72,74700
2013-04-01,0.69,0.72,0.69,0.72,0.72,670000
2013-04-02,0.73,0.73,0.71,0.73,0.73,90200
2013-04-03,0.75,0.75,0.69,0.69,0.69,380300
2013-04-04,0.66,0.67,0.65,0.66,0.66,384600
2013-04-05,0.65,0.66,0.59,0.59,0.59,167000
2013-04-09,0.49,0.5,0.48,0.5,0.5,229200
2013-04-10,0.49,0.5,0.49,0.5,0.5,283000
2013-04-11,0.52,0.67,0.52,0.65,0.65,1080700
2013-04-12,0.71,0.73,0.7,0.7,0.7,535900
2013-04-17,0.8,0.85,0.79,0.85,0.85,1974700
2013-04-18,0.97,1.01,0.88,1.01,1.01,4803900
2013-04-19,0.93,0.97,0.89,0.89,0.89,4765500
2013-04-22,0.91,0.97,0.88,0.97,0.97,2452000
2013-04-23,1.08,1.11,1.02,1.02,1.02,2018400
2013-04-24,1.03,1.04,1.01,1.01,1.01,1280000
2013-04-25,1,1,0.95,0.98,0.98,722500
