Date,Open,High,Low,Close,Adj Close,Volume
2011-07-21,1.64,1.64,1.56,1.58,1.58,1827900
2011-07-22,1.64,1.7,1.57,1.58,1.58,1559100
2011-07-25,1.6,1.72,1.6,1.72,1.72,1732300
2011-07-26,1.71,1.77,1.59,1.61,1.61,1224200
2011-07-27,1.64,1.67,1.61,1.67,1.67,996500
2011-07-28,1.64,1.67,1.63,1.65,1.65,267000
2011-07-29,1.65,1.65,1.51,1.55,1.55,911100
2011-08-01,1.57,1.61,1.41,1.53,1.53,2444700
2011-08-02,1.52,1.52,1.44,1.47,1.47,1127200
2011-08-03,1.43,1.64,1.42,1.62,1.62,3667200
2011-08-04,1.63,1.67,1.57,1.58,1.58,1696300
2011-08-05,1.4,1.52,1.4,1.5,1.5,2207200
2011-08-08,1.5,1.52,1.39,1.39,1.39,701000
2011-08-09,1.25,1.33,1.15,1.22,1.22,1918800
2011-08-10,1.32,1.36,1.24,1.28,1.28,1142000
2011-08-11,1.29,1.34,1.21,1.21,1.21,2607300
2011-08-15,1.28,1.58,1.28,1.58,1.58,5543000
2011-08-16,1.61,1.62,1.5,1.5,1.5,2742100
2011-08-17,1.57,1.57,1.52,1.54,1.54,1251800
2011-08-18,1.57,1.58,1.43,1.43,1.43,1224600
2011-08-19,1.35,1.38,1.31,1.33,1.33,1125400
2011-08-22,1.31,1.37,1.29,1.36,1.36,1574600
2011-08-23,1.36,1.36,1.32,1.32,1.32,924800
2011-08-24,1.33,1.33,1.27,1.27,1.27,512900
2011-08-25,1.29,1.35,1.25,1.25,1.25,2910000
2011-08-26,1.22,1.29,1.22,1.29,1.29,1103500
2011-08-29,1.29,1.35,1.29,1.35,1.35,1328900
2011-08-30,1.4,1.4,1.35,1.37,1.37,1303800
2011-08-31,1.43,1.54,1.43,1.43,1.43,2818800
2011-09-01,1.51,1.53,1.45,1.52,1.52,2166900
2011-09-02,1.55,1.64,1.52,1.61,1.61,4870300
2011-09-05,1.61,1.76,1.55,1.56,1.56,7241900
2011-09-06,1.56,1.56,1.46,1.47,1.47,3170700
2011-09-07,1.47,1.5,1.46,1.47,1.47,838000
2011-09-08,1.48,1.5,1.46,1.5,1.5,404000
2011-09-09,1.5,1.53,1.48,1.53,1.53,572000
2011-09-12,1.45,1.46,1.43,1.43,1.43,665000
2011-09-13,1.42,1.42,1.37,1.37,1.37,155000
2011-09-14,1.32,1.39,1.32,1.39,1.39,832000
2011-09-15,1.4,1.4,1.35,1.38,1.38,354000
2011-09-16,1.37,1.38,1.37,1.37,1.37,223600
2011-09-19,1.36,1.37,1.36,1.36,1.36,380000
2011-09-20,1.32,1.33,1.31,1.33,1.33,4000
