Date,Open,High,Low,Close,Adj Close,Volume
2013-05-31,1.9,1.92,1.76,1.82,1.82,514000
2013-06-03,1.67,1.67,1.67,1.67,1.67,14000
2013-06-04,1.48,1.48,1.28,1.38,1.38,8266100
2013-06-05,1.35,1.49,1.33,1.33,1.33,2582200
2013-06-06,1.23,1.25,1.2,1.25,1.25,985700
2013-06-07,1.28,1.46,1.27,1.42,1.42,629600
2013-06-10,1.47,1.53,1.47,1.51,1.51,779000
2013-06-11,1.41,1.41,1.28,1.3,1.3,1140200
2013-06-12,1.26,1.39,1.25,1.26,1.26,1414000
2013-06-13,1.14,1.14,0.91,1.05,1.05,2232300
2013-06-14,1.19,1.25,1.18,1.18,1.18,250000
2013-06-17,1.23,1.24,1.12,1.12,1.12,708100
2013-06-18,1.16,1.26,1.15,1.15,1.15,875000
2013-06-19,1.2,1.21,1.19,1.21,1.21,466600
2013-06-20,1.23,1.24,1.14,1.22,1.22,185300
2013-06-21,1.18,1.18,1.04,1.09,1.09,737700
2013-06-24,1.08,1.09,0.93,0.93,0.93,2670000
2013-06-25,0.94,0.94,0.76,0.91,0.91,2256700
2013-06-26,0.99,1.18,0.99,1.18,1.18,1372200
2013-06-27,1.3,1.34,1.2,1.26,1.26,808300
2013-06-28,1.4,1.58,1.4,1.51,1.51,570000
2013-07-02,1.51,1.54,1.36,1.41,1.41,386000
2013-07-03,1.4,1.41,1.35,1.35,1.35,224000
2013-07-04,1.46,1.46,1.36,1.36,1.36,63000
2013-07-05,1.44,1.44,1.42,1.42,1.42,13000
2013-07-08,1.4,1.4,1.36,1.36,1.36,3800
2013-07-09,1.28,1.31,1.26,1.26,1.26,190000
2013-07-11,1.42,1.44,1.41,1.44,1.44,40700
2013-07-12,1.49,1.49,1.49,1.49,1.49,30000
2013-07-16,1.53,1.55,1.53,1.55,1.55,400000
2013-07-17,1.56,1.59,1.56,1.59,1.59,410000
2013-07-18,1.78,1.92,1.78,1.9,1.9,3611000
2013-07-19,1.97,2.14,1.97,2.06,2.06,1215400
2013-07-23,1.97,1.97,1.93,1.97,1.97,3113500
2013-07-24,2.02,2.14,2.02,2.02,2.02,273000
2013-07-25,1.92,1.92,1.85,1.85,1.85,23800
2013-07-26,1.85,1.94,1.77,1.94,1.94,121000
2013-07-29,1.85,1.85,1.85,1.85,1.85,9000
2013-07-31,1.69,1.69,1.57,1.59,1.59,512000
2013-08-01,1.65,1.66,1.65,1.66,1.66,100000
2013-08-05,1.64,1.67,1.64,1.67,1.67,70000
2013-08-06,1.77,1.77,1.77,1.77,1.77,67000
2013-08-07,1.73,1.73,1.73,1.73,1.73,500
2013-08-08,1.8,1.8,1.75,1.75,1.75,77000
2013-08-09,1.71,1.72,1.71,1.71,1.71,190000
2013-08-14,1.67,1.7,1.67,1.7,1.7,200500
2013-08-15,1.7,1.73,1.68,1.69,1.69,384200
2013-08-16,1.6,1.6,1.6,1.6,1.6,12500
2013-08-19,1.5,1.5,1.46,1.46,1.46,30500
