Date,Open,High,Low,Close,Adj Close,Volume
2015-03-18,0.46,0.46,0.44,0.44,0.44,200
2015-03-23,0.48,0.48,0.47,0.47,0.47,800000
2015-03-24,0.42,0.42,0.42,0.42,0.42,100
2015-03-25,0.45,0.45,0.45,0.45,0.45,100
2015-03-27,0.44,0.44,0.43,0.43,0.43,3000
2015-03-30,0.41,0.41,0.41,0.41,0.41,2000
2015-03-31,0.43,0.45,0.43,0.45,0.45,5000
2015-04-01,0.51,0.51,0.51,0.51,0.51,100000
2015-04-07,0.52,0.52,0.52,0.52,0.52,100000
2015-04-30,0.46,0.46,0.46,0.46,0.46,1043000
2015-05-15,0.39,0.39,0.39,0.39,0.39,3000
2015-05-18,0.41,0.41,0.41,0.41,0.41,3000
2015-07-02,0.38,0.38,0.38,0.38,0.38,75000
2015-07-14,0.28,0.29,0.27,0.27,0.27,2037500
2015-07-15,0.27,0.27,0.26,0.26,0.26,2000000
2015-07-16,0.27,0.27,0.27,0.27,0.27,37500
2015-08-06,0.07,0.08,0.07,0.08,0.08,600000
