Date,Open,High,Low,Close,Adj Close,Volume
2012-07-16,0.03,0.04,0.02,0.03,0.03,442159000
2012-07-17,0.04,0.04,0.03,0.04,0.04,31377200
2012-07-18,0.04,0.05,0.03,0.04,0.04,161653000
2012-07-19,0.05,0.08,0.04,0.06,0.06,384831800
2012-07-20,0.07,0.08,0.06,0.07,0.07,178408000
2012-07-23,0.07,0.08,0.06,0.07,0.07,86023400
2012-07-24,0.07,0.08,0.06,0.06,0.06,16621400
2012-07-25,0.06,0.07,0.06,0.06,0.06,70852100
2012-07-26,0.06,0.07,0.05,0.05,0.05,30516800
2012-07-27,0.06,0.07,0.05,0.07,0.07,48664200
2012-07-30,0.06,0.07,0.06,0.06,0.06,35593200
2012-07-31,0.07,0.07,0.06,0.06,0.06,3402600
2012-08-01,0.06,0.07,0.06,0.07,0.07,9031500
2012-08-03,0.07,0.08,0.06,0.07,0.07,68936100
2012-08-06,0.07,0.08,0.06,0.07,0.07,34838000
2012-08-07,0.07,0.08,0.07,0.07,0.07,32523600
2012-08-08,0.07,0.08,0.07,0.07,0.07,14517100
2012-08-09,0.07,0.09,0.07,0.08,0.08,135745900
2012-08-10,0.08,0.08,0.08,0.08,0.08,16016400
2012-08-14,0.09,0.09,0.07,0.08,0.08,30054400
2012-08-15,0.08,0.08,0.07,0.07,0.07,61580600
2012-08-16,0.07,0.08,0.07,0.07,0.07,9178900
2012-08-17,0.08,0.08,0.07,0.08,0.08,6760600
2012-08-20,0.08,0.08,0.07,0.07,0.07,3664900
2012-08-21,0.07,0.08,0.07,0.07,0.07,6065800
2012-08-22,0.07,0.08,0.07,0.07,0.07,23918200
2012-08-23,0.07,0.08,0.06,0.06,0.06,29746500
2012-08-24,0.06,0.07,0.06,0.07,0.07,24331000
2012-08-27,0.07,0.08,0.07,0.07,0.07,10443500
2012-08-28,0.07,0.07,0.06,0.06,0.06,4176600
2012-08-29,0.07,0.08,0.06,0.07,0.07,9373300
2012-08-30,0.07,0.07,0.06,0.07,0.07,431600
2012-08-31,0.07,0.07,0.06,0.07,0.07,752500
2012-09-03,0.07,0.07,0.06,0.06,0.06,1110000
2012-09-04,0.07,0.07,0.07,0.07,0.07,19177500
2012-09-05,0.07,0.07,0.06,0.06,0.06,4726300
2012-09-06,0.07,0.07,0.06,0.07,0.07,776200
2012-09-07,0.07,0.08,0.06,0.07,0.07,21238700
2012-09-10,0.07,0.08,0.07,0.07,0.07,16458100
2012-09-11,0.07,0.08,0.07,0.07,0.07,20558700
2012-09-12,0.08,0.08,0.07,0.07,0.07,9585800
2012-09-13,0.07,0.08,0.07,0.07,0.07,22561400
2012-09-14,0.07,0.08,0.07,0.07,0.07,10632200
2012-09-17,0.08,0.08,0.07,0.07,0.07,10480200
2012-09-18,0.07,0.08,0.07,0.07,0.07,5716200
2012-09-19,0.07,0.07,0.06,0.07,0.07,8777200
2012-09-20,0.07,0.08,0.07,0.07,0.07,9161500
2012-09-21,0.07,0.08,0.07,0.07,0.07,3675500
2012-09-24,0.07,0.08,0.07,0.07,0.07,11883400
2012-09-25,0.07,0.09,0.07,0.08,0.08,114307700
2012-09-26,0.08,0.09,0.07,0.08,0.08,53961100
2012-09-27,0.08,0.09,0.07,0.08,0.08,45750000
2012-09-28,0.08,0.09,0.08,0.08,0.08,82471000
2012-10-01,0.08,0.09,0.07,0.08,0.08,39138200
2012-10-02,0.09,0.09,0.08,0.09,0.09,3227100
2012-10-03,0.08,0.12,0.08,0.12,0.12,183581100
2012-10-04,0.13,0.15,0.12,0.14,0.14,227134000
2012-10-05,0.14,0.14,0.12,0.13,0.13,86276500
2012-10-08,0.14,0.16,0.14,0.15,0.15,130767300
2012-10-09,0.16,0.19,0.15,0.16,0.16,213686600
2012-10-10,0.16,0.17,0.15,0.16,0.16,66678200
2012-10-11,0.16,0.16,0.12,0.14,0.14,178861100
2012-10-12,0.14,0.15,0.13,0.14,0.14,62214000
2012-10-15,0.14,0.16,0.14,0.15,0.15,75053800
2012-10-16,0.16,0.16,0.14,0.14,0.14,41937900
2012-10-17,0.14,0.17,0.14,0.16,0.16,112230900
2012-10-18,0.16,0.17,0.14,0.14,0.14,101244700
2012-10-19,0.14,0.15,0.13,0.14,0.14,72204700
2012-10-22,0.14,0.15,0.14,0.14,0.14,18001700
2012-10-24,0.14,0.15,0.13,0.13,0.13,65920500
2012-10-25,0.14,0.14,0.13,0.13,0.13,20187400
2012-10-26,0.13,0.14,0.12,0.13,0.13,32182200
2012-10-29,0.13,0.14,0.13,0.13,0.13,18233800
2012-10-30,0.13,0.14,0.13,0.13,0.13,12156500
2012-10-31,0.14,0.15,0.13,0.14,0.14,45515900
2012-11-01,0.14,0.15,0.14,0.15,0.15,33438700
2012-11-02,0.15,0.15,0.14,0.14,0.14,38020200
2012-11-05,0.14,0.15,0.14,0.14,0.14,7679200
2012-11-06,0.14,0.15,0.14,0.14,0.14,9322900
2012-11-07,0.14,0.15,0.14,0.14,0.14,8575100
2012-11-08,0.14,0.15,0.14,0.14,0.14,4623200
2012-11-09,0.15,0.17,0.15,0.15,0.15,139722600
2012-11-12,0.16,0.16,0.14,0.15,0.15,52400400
2012-11-13,0.15,0.16,0.14,0.14,0.14,23130800
2012-11-14,0.14,0.15,0.14,0.14,0.14,4894800
2012-11-15,0.14,0.14,0.13,0.14,0.14,75690400
2012-11-16,0.13,0.14,0.13,0.14,0.14,35013400
2012-11-19,0.14,0.15,0.14,0.14,0.14,11630100
2012-11-20,0.14,0.14,0.13,0.14,0.14,5875000
2012-11-21,0.14,0.14,0.13,0.13,0.13,2793800
2012-11-22,0.14,0.15,0.13,0.14,0.14,19970600
2012-11-23,0.13,0.14,0.13,0.14,0.14,14911100
2012-11-26,0.14,0.14,0.13,0.14,0.14,3736600
2012-11-27,0.14,0.14,0.13,0.14,0.14,3748100
2012-11-28,0.13,0.14,0.13,0.13,0.13,6199100
2012-11-29,0.14,0.15,0.13,0.14,0.14,43517900
