Date,Open,High,Low,Close,Adj Close,Volume
2016-03-15,0.5,0.5,0.5,0.5,0.5,20000
2016-03-23,0.51,0.51,0.51,0.51,0.51,25000
2016-03-24,0.49,0.49,0.49,0.49,0.49,40000
2016-03-29,0.48,0.48,0.48,0.48,0.48,150000
2016-03-30,0.48,0.5,0.48,0.48,0.48,2835000
2016-03-31,0.5,0.5,0.5,0.5,0.5,40000
2016-04-01,0.51,0.54,0.5,0.52,0.52,2233000
2016-04-04,0.54,0.57,0.54,0.55,0.55,1537400
2016-04-05,0.54,0.6,0.54,0.58,0.58,4338400
2016-04-07,0.58,0.6,0.58,0.6,0.6,1430000
2016-04-08,0.52,0.54,0.52,0.54,0.54,210000
2016-04-11,0.54,0.58,0.54,0.56,0.56,1313200
2016-04-12,0.58,0.58,0.58,0.58,0.58,17000
2016-04-18,0.62,0.68,0.62,0.68,0.68,256200
2016-04-19,0.68,0.68,0.66,0.66,0.66,718600
2016-04-20,0.62,0.63,0.6,0.6,0.6,1182400
2016-04-21,0.61,0.61,0.61,0.61,0.61,10000
2016-04-22,0.6,0.66,0.6,0.66,0.66,529600
2016-04-25,0.61,0.63,0.61,0.63,0.63,500000
2016-04-26,0.65,0.65,0.65,0.65,0.65,458000
2016-04-28,0.5,0.5,0.5,0.5,0.5,1037000
2016-04-29,0.52,0.54,0.52,0.52,0.52,585200
2016-05-09,0.53,0.54,0.53,0.53,0.53,665800
2016-05-10,0.52,0.55,0.51,0.51,0.51,639400
2016-05-11,0.51,0.53,0.49,0.49,0.49,692000
2016-05-12,0.51,0.51,0.51,0.51,0.51,1022200
2016-05-13,0.52,0.53,0.47,0.47,0.47,435800
2016-05-16,0.48,0.48,0.4,0.4,0.4,2348100
2016-05-17,0.4,0.4,0.33,0.33,0.33,1371800
2016-05-18,0.35,0.39,0.35,0.38,0.38,3464300
2016-05-19,0.37,0.38,0.37,0.38,0.38,746000
2016-05-23,0.39,0.39,0.38,0.39,0.39,709400
2016-05-24,0.4,0.4,0.39,0.39,0.39,20000
2016-05-25,0.4,0.4,0.37,0.38,0.38,1830700
2016-05-26,0.38,0.38,0.38,0.38,0.38,399600
2016-05-27,0.38,0.38,0.38,0.38,0.38,199800
2016-05-30,0.38,0.39,0.38,0.39,0.39,960200
2016-06-01,0.4,0.41,0.4,0.41,0.41,285000
2016-06-02,0.39,0.39,0.39,0.39,0.39,281800
2016-06-03,0.4,0.4,0.4,0.4,0.4,569600
2016-06-06,0.39,0.4,0.39,0.39,0.39,444600
2016-06-07,0.4,0.41,0.4,0.41,0.41,1352600
2016-06-08,0.38,0.4,0.38,0.4,0.4,862000
2016-06-09,0.39,0.39,0.39,0.39,0.39,444000
2016-06-10,0.38,0.38,0.37,0.38,0.38,446000
2016-06-13,0.37,0.38,0.37,0.38,0.38,463000
2016-06-14,0.36,0.36,0.33,0.33,0.33,750600
2016-06-15,0.33,0.38,0.33,0.38,0.38,1332100
2016-06-17,0.35,0.35,0.35,0.35,0.35,188000
2016-06-20,0.34,0.35,0.3,0.3,0.3,416600
2016-06-21,0.31,0.31,0.29,0.3,0.3,671800
2016-06-22,0.31,0.31,0.28,0.29,0.29,938700
2016-06-23,0.29,0.31,0.29,0.31,0.31,1975900
2016-06-24,0.29,0.29,0.25,0.27,0.27,2261600
2016-06-27,0.27,0.28,0.27,0.28,0.28,1322100
2016-06-28,0.27,0.27,0.24,0.24,0.24,445200
2016-06-29,0.26,0.27,0.26,0.26,0.26,1180200
2016-06-30,0.26,0.28,0.26,0.28,0.28,1025900
2016-07-04,0.28,0.3,0.27,0.27,0.27,1343300
2016-07-05,0.29,0.29,0.28,0.28,0.28,93100
2016-07-06,0.28,0.29,0.28,0.29,0.29,285900
2016-07-07,0.28,0.28,0.27,0.28,0.28,281800
2016-07-08,0.26,0.26,0.26,0.26,0.26,93800
2016-07-11,0.27,0.27,0.26,0.26,0.26,542700
2016-07-12,0.25,0.26,0.23,0.23,0.23,1590500
2016-07-13,0.24,0.25,0.22,0.22,0.22,821100
2016-07-14,0.22,0.22,0.2,0.2,0.2,707000
2016-07-15,0.21,0.21,0.19,0.2,0.2,125100
2016-07-20,0.2,0.21,0.2,0.21,0.21,1165100
2016-07-21,0.21,0.23,0.21,0.22,0.22,789200
2016-07-22,0.23,0.24,0.23,0.24,0.24,338700
2016-07-25,0.25,0.25,0.24,0.24,0.24,659100
2016-07-26,0.23,0.23,0.22,0.22,0.22,561600
2016-07-27,0.23,0.25,0.23,0.25,0.25,1668700
2016-07-28,0.27,0.28,0.26,0.26,0.26,3674700
2016-07-29,0.26,0.26,0.21,0.21,0.21,6285200
2016-08-01,0.22,0.23,0.2,0.21,0.21,1443700
2016-08-02,0.21,0.23,0.21,0.21,0.21,1747400
2016-08-03,0.22,0.23,0.21,0.23,0.23,1662300
2016-08-04,0.21,0.22,0.2,0.22,0.22,737400
2016-08-05,0.22,0.25,0.22,0.24,0.24,2078600
2016-08-08,0.24,0.27,0.24,0.27,0.27,1167200
2016-08-09,0.26,0.26,0.25,0.26,0.26,991300
2016-08-10,0.26,0.29,0.25,0.29,0.29,2223600
2016-08-11,0.29,0.34,0.28,0.34,0.34,5626300
2016-08-15,0.29,0.32,0.29,0.32,0.32,3648100
2016-08-16,0.31,0.31,0.24,0.25,0.25,4161800
2016-08-17,0.24,0.27,0.24,0.27,0.27,2788600
2016-08-18,0.27,0.29,0.27,0.29,0.29,4530800
2016-08-19,0.29,0.29,0.27,0.27,0.27,2794000
2016-08-22,0.29,0.34,0.29,0.34,0.34,6784200
2016-08-23,0.35,0.36,0.34,0.34,0.34,1293800
2016-08-24,0.35,0.39,0.35,0.39,0.39,2659000
2016-08-25,0.4,0.41,0.4,0.41,0.41,315600
2016-08-26,0.38,0.39,0.37,0.37,0.37,1282000
