Date,Open,High,Low,Close,Adj Close,Volume
2015-10-09,20,20,20,20,20,100
2015-10-14,20.28,20.28,20.28,20.28,20.28,100
2015-10-26,20.2,20.2,20.2,20.2,20.2,100
2015-10-27,19.88,19.88,19.88,19.88,19.88,100
2015-11-12,20.92,20.92,20.92,20.92,20.92,200
2015-11-24,23.97,23.97,23.97,23.97,23.97,200
2015-12-18,23.06,23.06,23.06,23.06,23.06,100
2016-01-07,23.78,23.78,23.78,23.78,23.78,300
2016-01-11,24.91,24.91,24.91,24.91,24.91,100
2016-01-15,24.88,24.88,24.88,24.88,24.88,200
2016-01-18,24.68,24.68,24.68,24.68,24.68,100
2016-02-04,23.7,23.7,23.7,23.7,23.7,100
2016-02-09,23.77,23.77,23.77,23.77,23.77,200
2016-02-11,23.27,23.27,23.27,23.27,23.27,200
2016-02-12,22.76,22.76,22.76,22.76,22.76,100
2016-02-16,23.4,23.4,23.4,23.4,23.4,500
2016-02-18,22.08,22.08,22.08,22.08,22.08,200
2016-02-23,22.16,22.16,22.16,22.16,22.16,200
2016-03-02,23.88,23.88,23.88,23.88,23.88,100
2016-03-14,24.97,24.97,24.97,24.97,24.97,1
2016-03-15,25.1,25.1,24.9,24.9,24.9,15
2016-03-16,24.8,24.8,24.8,24.8,24.8,2
2016-03-23,25.02,25.02,25.02,25.02,25.02,100
2016-03-30,24.6,24.6,24.6,24.6,24.6,100
