Date,Open,High,Low,Close,Adj Close,Volume
2013-09-24,1,1,1,1,1,100
2013-09-25,1.03,1.03,1.03,1.03,1.03,100
2013-09-26,1,1,0.94,0.96,0.96,388000
2013-09-27,0.98,1.07,0.98,1.07,1.07,36000
2013-10-09,1.05,1.06,1.05,1.06,1.06,40000
2013-10-16,0.97,0.97,0.92,0.92,0.92,84000
2013-10-17,0.95,0.96,0.95,0.95,0.95,40000
2013-10-21,0.91,0.96,0.91,0.96,0.96,52000
2013-11-27,0.87,0.87,0.87,0.87,0.87,10000
2013-11-28,0.82,0.82,0.82,0.82,0.82,1000
2013-11-29,0.83,0.83,0.79,0.82,0.82,39900
2013-12-02,0.81,0.81,0.71,0.71,0.71,184600
2013-12-03,0.69,0.69,0.64,0.69,0.69,26900
2013-12-04,0.69,0.69,0.68,0.69,0.69,97000
2013-12-06,0.68,0.77,0.68,0.77,0.77,545200
2013-12-09,0.73,0.76,0.7,0.75,0.75,1201000
2013-12-11,0.73,0.73,0.67,0.67,0.67,204000
2013-12-12,0.7,0.7,0.7,0.7,0.7,13000
2013-12-17,0.67,0.67,0.67,0.67,0.67,13200
2013-12-18,0.6,0.63,0.6,0.63,0.63,12000
2013-12-23,0.66,0.67,0.66,0.67,0.67,13400
2013-12-25,0.67,0.7,0.67,0.69,0.69,2000400
2013-12-26,0.78,0.78,0.78,0.78,0.78,3000
2013-12-27,0.81,0.82,0.81,0.81,0.81,1648100
2014-01-02,0.77,0.86,0.77,0.86,0.86,2608000
2014-01-03,0.91,1,0.91,1,1,3508000
2014-01-06,1.14,1.14,1.11,1.11,1.11,294000
2014-01-07,1.11,1.11,1.11,1.11,1.11,53000
2014-01-09,0.93,0.93,0.93,0.93,0.93,44000
2014-01-10,1.03,1.03,1.03,1.03,1.03,3000100
2014-01-17,0.89,0.93,0.89,0.93,0.93,6100
2014-01-22,0.94,0.94,0.94,0.94,0.94,849800
2014-01-23,0.85,0.85,0.85,0.85,0.85,56400
2014-01-24,0.81,0.81,0.78,0.8,0.8,1553200
2014-01-28,0.94,0.94,0.94,0.94,0.94,750000
2014-01-29,0.94,0.94,0.94,0.94,0.94,250000
2014-02-04,0.87,0.9,0.86,0.9,0.9,208600
2014-02-05,0.92,0.94,0.9,0.9,0.9,34600
2014-02-06,0.87,0.89,0.87,0.89,0.89,515000
2014-02-07,0.85,0.85,0.85,0.85,0.85,13500
2014-02-10,0.82,0.84,0.82,0.84,0.84,1000000
2014-02-12,0.85,0.85,0.85,0.85,0.85,2000000
2014-02-13,0.87,0.87,0.87,0.87,0.87,13500
2014-02-17,0.86,0.88,0.86,0.88,0.88,800000
2014-02-18,0.92,0.95,0.92,0.95,0.95,600000
2014-02-20,0.92,0.94,0.92,0.94,0.94,700000
2014-02-21,0.96,0.99,0.96,0.99,0.99,800000
2014-02-28,0.89,0.91,0.89,0.91,0.91,5200
2014-03-10,0.84,0.86,0.84,0.86,0.86,4000
2014-03-13,0.9,0.9,0.9,0.9,0.9,500000
2014-03-19,0.8,0.83,0.8,0.83,0.83,3200
2014-03-26,0.78,0.78,0.78,0.78,0.78,7200
2014-03-27,0.77,0.79,0.75,0.79,0.79,20700
2014-03-31,0.66,0.66,0.6,0.6,0.6,20800
2014-04-01,0.57,0.64,0.57,0.64,0.64,55400
2014-04-02,0.61,0.64,0.59,0.64,0.64,32900
2014-04-03,0.65,0.65,0.65,0.65,0.65,1000
2014-04-04,0.62,0.62,0.62,0.62,0.62,5300
2014-04-09,0.56,0.58,0.56,0.58,0.58,12600
2014-04-10,0.56,0.58,0.55,0.55,0.55,13100
2014-04-11,0.55,0.56,0.55,0.56,0.56,13700
2014-04-17,0.48,0.48,0.46,0.46,0.46,7200
2014-04-18,0.43,0.43,0.4,0.42,0.42,43900
2014-04-22,0.39,0.41,0.39,0.41,0.41,2007200
2014-04-23,0.41,0.41,0.41,0.41,0.41,2000000
2014-04-24,0.38,0.38,0.33,0.33,0.33,7600
2014-04-25,0.34,0.38,0.34,0.38,0.38,7600
2014-04-28,0.36,0.36,0.36,0.36,0.36,7200
2014-04-29,0.35,0.35,0.33,0.33,0.33,1000600
2014-04-30,0.31,0.31,0.26,0.26,0.26,872200
2014-05-02,0.22,0.22,0.19,0.19,0.19,354800
2014-05-06,0.18,0.23,0.18,0.23,0.23,4178000
2014-05-07,0.24,0.24,0.21,0.21,0.21,1469600
2014-05-08,0.25,0.25,0.25,0.25,0.25,2000000
2014-05-09,0.23,0.23,0.23,0.23,0.23,800000
2014-05-14,0.16,0.17,0.16,0.17,0.17,7200
2014-05-15,0.15,0.15,0.11,0.11,0.11,17600
2014-05-16,0.1,0.11,0.1,0.11,0.11,36600
2014-05-20,0.11,0.11,0.11,0.11,0.11,2004000
2014-05-21,0.08,0.08,0.08,0.08,0.08,1920000
2014-05-22,0.06,0.1,0.06,0.09,0.09,3542200
2014-05-27,0.02,0.02,0.02,0.02,0.02,66000
