Date,Open,High,Low,Close,Adj Close,Volume
2015-09-28,0.66,0.66,0.66,0.66,0.66,1200000
2015-09-30,0.59,0.59,0.59,0.59,0.59,600000
2015-10-01,0.54,0.57,0.54,0.54,0.54,2065600
2015-10-02,0.54,0.59,0.54,0.59,0.59,2408900
2015-10-05,0.61,0.66,0.61,0.65,0.65,14100
2015-10-06,0.65,0.67,0.62,0.64,0.64,1336400
2015-10-07,0.67,0.8,0.67,0.8,0.8,3173000
2015-10-08,0.75,0.77,0.73,0.75,0.75,2637000
2015-10-09,0.78,0.86,0.78,0.84,0.84,10797100
2015-10-12,0.87,0.95,0.82,0.93,0.93,5068100
2015-10-13,0.89,0.93,0.86,0.88,0.88,7849300
2015-10-14,0.86,0.89,0.85,0.87,0.87,5597800
2015-10-15,0.89,0.98,0.89,0.98,0.98,3968800
2015-10-16,0.95,0.98,0.95,0.98,0.98,660100
2015-10-19,0.99,1,0.98,0.98,0.98,1320000
2015-10-20,0.95,0.96,0.95,0.96,0.96,2540400
2015-10-21,0.91,0.91,0.91,0.91,0.91,651400
2015-10-26,0.92,0.92,0.91,0.91,0.91,636800
2015-10-28,0.89,0.89,0.82,0.86,0.86,1201100
2015-10-29,0.77,0.78,0.71,0.71,0.71,1200000
2015-10-30,0.66,0.66,0.66,0.66,0.66,600000
2015-11-02,0.66,0.68,0.66,0.68,0.68,1201000
2015-11-03,0.71,0.72,0.69,0.69,0.69,6214000
2015-11-04,0.71,0.71,0.68,0.68,0.68,2622100
2015-11-05,0.65,0.66,0.6,0.6,0.6,4304800
2015-11-06,0.59,0.59,0.55,0.57,0.57,2453600
2015-11-09,0.55,0.56,0.55,0.55,0.55,1412200
2015-11-10,0.55,0.55,0.55,0.55,0.55,568200
2015-11-11,0.51,0.51,0.51,0.51,0.51,7505900
2015-11-12,0.51,0.51,0.5,0.5,0.5,2224800
2015-11-13,0.49,0.49,0.49,0.49,0.49,1868600
2015-11-16,0.48,0.5,0.48,0.5,0.5,1063800
2015-11-17,0.53,0.53,0.53,0.53,0.53,23000
2015-11-18,0.47,0.47,0.47,0.47,0.47,30100
2015-11-19,0.48,0.48,0.48,0.48,0.48,562600
2015-11-20,0.48,0.53,0.48,0.51,0.51,2511500
2015-11-23,0.52,0.52,0.49,0.49,0.49,1707200
2015-11-24,0.48,0.48,0.47,0.47,0.47,604100
2015-11-25,0.46,0.47,0.46,0.46,0.46,1104200
2015-11-26,0.46,0.46,0.44,0.44,0.44,1110400
2015-11-27,0.43,0.43,0.42,0.42,0.42,641300
2015-11-30,0.4,0.42,0.4,0.4,0.4,1065600
2015-12-02,0.39,0.4,0.37,0.37,0.37,2539800
2015-12-03,0.37,0.39,0.37,0.39,0.39,1011200
2015-12-04,0.38,0.4,0.38,0.39,0.39,3106100
2015-12-08,0.36,0.36,0.35,0.35,0.35,793600
2015-12-11,0.24,0.25,0.23,0.23,0.23,1481100
2015-12-14,0.19,0.19,0.19,0.19,0.19,1429800
2015-12-15,0.18,0.19,0.17,0.17,0.17,3118900
2015-12-16,0.18,0.18,0.17,0.17,0.17,697200
2015-12-17,0.17,0.2,0.17,0.2,0.2,2274700
2015-12-21,0.17,0.17,0.15,0.15,0.15,1091800
2015-12-22,0.15,0.15,0.12,0.12,0.12,1315400
2015-12-23,0.12,0.12,0.12,0.12,0.12,751800
2015-12-28,0.13,0.13,0.12,0.12,0.12,384400
2016-01-04,0.12,0.12,0.12,0.12,0.12,349600
2016-01-05,0.11,0.11,0.1,0.1,0.1,402000
2016-01-06,0.1,0.1,0.1,0.1,0.1,802400
2016-01-12,0.07,0.07,0.07,0.07,0.07,100
2016-01-13,0.07,0.08,0.07,0.08,0.08,94400
2016-01-14,0.07,0.07,0.07,0.07,0.07,4400
2016-01-21,0.06,0.06,0.06,0.06,0.06,10000
2016-01-25,0.08,0.08,0.08,0.08,0.08,400000
2016-01-26,0.07,0.07,0.06,0.06,0.06,400300
2016-01-27,0.06,0.06,0.06,0.06,0.06,300
2016-01-28,0.08,0.08,0.08,0.08,0.08,600000
2016-01-29,0.09,0.12,0.09,0.11,0.11,2052800
2016-02-01,0.11,0.11,0.1,0.1,0.1,385400
2016-02-02,0.1,0.1,0.07,0.07,0.07,349200
2016-02-04,0.09,0.09,0.09,0.09,0.09,2000000
2016-02-19,0.07,0.07,0.07,0.07,0.07,20000
2016-02-23,0.1,0.13,0.1,0.13,0.13,4631400
2016-02-24,0.11,0.12,0.1,0.1,0.1,4949200
2016-02-26,0.1,0.13,0.1,0.13,0.13,786400
2016-02-29,0.12,0.16,0.1,0.13,0.13,3861400
2016-03-01,0.12,0.14,0.11,0.14,0.14,3017400
2016-03-02,0.12,0.14,0.12,0.12,0.12,882800
2016-03-03,0.12,0.15,0.12,0.12,0.12,963200
2016-03-04,0.14,0.14,0.11,0.11,0.11,1097200
2016-03-07,0.12,0.16,0.11,0.12,0.12,1682800
2016-03-08,0.13,0.2,0.13,0.18,0.18,3821000
2016-03-09,0.17,0.17,0.15,0.16,0.16,1537400
2016-03-10,0.18,0.18,0.14,0.14,0.14,1087400
2016-03-11,0.08,0.08,0.04,0.04,0.04,2429300
2016-03-14,0.02,0.03,0.02,0.03,0.03,344000
2016-03-15,0.03,0.03,0.02,0.02,0.02,45500
2016-03-23,0.02,0.02,0.02,0.02,0.02,20000
2016-03-29,0.01,0.01,0.01,0.01,0.01,6000
2016-03-30,0.02,0.02,0.02,0.02,0.02,3000
2016-03-31,0.01,0.01,0.01,0.01,0.01,100
