Date,Open,High,Low,Close,Adj Close,Volume
2013-11-25,28.75,28.75,28.75,28.75,28.75,1
2013-11-29,30.25,30.25,30.25,30.25,30.25,2
2013-12-06,30.81,30.81,30.81,30.81,30.81,2
2013-12-09,32,32,32,32,32,1
2013-12-16,31.7,31.7,31.7,31.7,31.7,1
2014-01-07,26.97,27.21,26.97,27.21,27.21,4
2014-01-08,27,27,27,27,27,2
2014-01-09,27,27,27,27,27,2
2014-01-10,26.01,26.01,26,26,26,2
2014-01-14,28.09,28.09,27.5,27.5,27.5,2
2014-01-15,27.64,27.64,27.64,27.64,27.64,1
2014-01-16,27.6,27.6,27.6,27.6,27.6,1
2014-01-20,27.09,27.09,27.09,27.09,27.09,1
2014-01-24,28.75,28.75,28.75,28.75,28.75,1
2014-01-27,27.71,27.71,27.7,27.7,27.7,2
2014-01-30,25.75,25.75,25.75,25.75,25.75,1
2014-02-03,27.8,27.8,27.8,27.8,27.8,1
2014-02-12,26.91,26.91,26.91,26.91,26.91,1
2014-02-13,26.75,26.75,26.75,26.75,26.75,1
2014-02-18,26.16,26.16,26,26,26,22
2014-02-21,25.75,25.75,25.25,25.25,25.25,4
2014-02-24,25,25.81,25,25.81,25.81,6
2014-02-25,25.25,25.25,25.25,25.25,25.25,1
2014-02-26,25.11,25.11,25.11,25.11,25.11,1
2014-03-03,26.58,26.58,26.58,26.58,26.58,1
2014-03-04,26.23,26.5,26.23,26.5,26.5,2
2014-03-05,26.5,26.5,26.5,26.5,26.5,2
2014-03-07,26.17,26.17,26.17,26.17,26.17,1
2014-03-10,26,26,26,26,26,2
2014-03-11,25.74,25.75,25.4,25.4,25.4,6
2014-03-13,26.06,26.19,25.34,26.19,26.19,3
2014-03-14,25.51,25.7,25.51,25.51,25.51,3
2014-03-18,26.08,26.18,25.69,26.18,26.18,7
2014-03-19,25.7,25.7,25.7,25.7,25.7,1
2014-03-21,26.38,26.38,26.2,26.2,26.2,2
2014-03-24,26.69,26.69,25.55,25.55,25.55,6
2014-03-25,26.19,26.19,26.19,26.19,26.19,1
2014-03-27,26,26,26,26,26,2
2014-03-28,26.55,27,26.55,27,27,7
2014-03-31,27.25,27.93,27.25,27.55,27.55,17
2014-04-01,27.72,27.72,27.55,27.55,27.55,7
2014-04-02,27.75,27.75,27.73,27.73,27.73,2
2014-04-03,27.5,27.5,27.25,27.25,27.25,159
2014-04-04,27.41,27.41,27.41,27.41,27.41,150
2014-04-08,27.33,27.33,27.25,27.25,27.25,5
2014-04-09,27.52,27.65,27.52,27.65,27.65,2
2014-04-10,27.5,27.5,27.5,27.5,27.5,1
2014-04-11,27.4,27.4,27.4,27.4,27.4,1
2014-04-17,28.2,28.2,28.15,28.15,28.15,2
2014-04-18,28.5,28.75,28.5,28.6,28.6,68
2014-04-21,28.4,28.5,28.35,28.35,28.35,10
2014-04-22,28.25,28.25,28.25,28.25,28.25,2
2014-04-24,28.54,29.49,28.54,29.25,29.25,36
2014-04-25,29.25,29.25,29,29,29,30
2014-04-28,28.5,28.5,28.5,28.5,28.5,1
2014-04-29,28.26,28.76,28.26,28.76,28.76,6
2014-04-30,29,30.65,29,30.65,30.65,57
2014-05-02,30.6,30.76,30.5,30.75,30.75,65
2014-05-06,30.1,30.1,29.26,29.26,29.26,10
2014-05-07,29.5,30,29.5,30,30,5
2014-05-08,29.5,29.5,29.25,29.25,29.25,10
2014-05-12,29.04,29.8,29.04,29.8,29.8,2
2014-05-14,29.8,29.8,29.7,29.7,29.7,10
2014-05-15,30.25,30.7,30.25,30.7,30.7,3
2014-05-16,30.7,30.73,30.5,30.5,30.5,8
2014-05-19,30.47,30.48,30.47,30.48,30.48,2
2014-05-20,29.96,30,29.96,30,30,4
2014-05-21,30,30.25,30,30.25,30.25,3
2014-05-22,30.25,30.25,29.5,29.5,29.5,5
2014-05-23,28.5,29.75,28.5,29.75,29.75,8
2014-05-26,29.5,29.5,29.3,29.3,29.3,4
2014-05-27,29.43,29.43,29.43,29.43,29.43,1
2014-05-28,29.5,29.5,29.4,29.4,29.4,3
2014-05-29,29.3,29.3,29.3,29.3,29.3,1
2014-05-30,29.5,29.75,29.3,29.3,29.3,7
2014-06-02,29.74,29.74,29.74,29.74,29.74,1
2014-06-03,30.48,30.5,29.75,29.75,29.75,40
2014-06-04,30.01,30.01,29.9,29.9,29.9,14
2014-06-05,30.25,30.25,30,30.02,30.02,6
2014-06-06,29.9,29.9,29.9,29.9,29.9,1
2014-06-09,30.01,30.01,30.01,30.01,30.01,1
2014-06-11,30.25,30.25,30,30,30,6
2014-06-13,30.01,30.05,30,30,30,20
2014-06-16,29.99,30.05,29.99,30.05,30.05,2
2014-06-17,29.75,30,29.61,29.61,29.61,3
2014-06-18,29.25,29.25,29,29,29,2
2014-06-19,28.8,29.15,28.75,29.15,29.15,6
2014-06-24,28.5,28.5,28.5,28.5,28.5,5
2014-06-25,28.75,28.75,28.5,28.5,28.5,2
2014-06-26,28.75,29,28.75,29,29,12
2014-06-27,29,29.25,29,29.25,29.25,14
