Date,Open,High,Low,Close,Adj Close,Volume
2012-06-12,0.72,0.72,0.72,0.72,0.72,50100
2012-06-13,0.68,0.71,0.68,0.69,0.69,205000
2012-06-15,0.67,0.67,0.67,0.67,0.67,2400
2012-06-18,0.66,0.69,0.66,0.69,0.69,7200
2012-06-19,0.71,0.71,0.71,0.71,0.71,40000
2012-06-20,0.68,0.68,0.68,0.68,0.68,90000
2012-06-21,0.69,0.69,0.69,0.69,0.69,65000
2012-06-22,0.72,0.72,0.72,0.72,0.72,40000
2012-06-27,0.67,0.67,0.66,0.66,0.66,53600
2012-06-29,0.66,0.66,0.66,0.66,0.66,20000
2012-07-02,0.64,0.64,0.6,0.62,0.62,69600
2012-07-03,0.59,0.59,0.57,0.57,0.57,27200
2012-07-04,0.58,0.59,0.58,0.59,0.59,44400
2012-07-05,0.57,0.57,0.53,0.53,0.53,99600
2012-07-06,0.55,0.55,0.55,0.55,0.55,38000
2012-07-09,0.56,0.57,0.56,0.57,0.57,56000
2012-07-10,0.55,0.55,0.53,0.53,0.53,44000
2012-07-11,0.52,0.52,0.49,0.49,0.49,197100
2012-07-12,0.48,0.5,0.47,0.5,0.5,222800
2012-07-13,0.48,0.49,0.46,0.46,0.46,74000
2012-07-16,0.47,0.5,0.47,0.49,0.49,93300
2012-07-17,0.49,0.49,0.48,0.48,0.48,840000
2012-07-18,0.5,0.5,0.5,0.5,0.5,4800
2012-07-19,0.48,0.51,0.48,0.51,0.51,38700
2012-07-23,0.52,0.52,0.5,0.5,0.5,1210000
2012-07-24,0.5,0.5,0.5,0.5,0.5,1600
2012-07-25,0.5,0.5,0.47,0.47,0.47,61000
2012-07-26,0.48,0.5,0.48,0.5,0.5,26000
2012-07-27,0.48,0.5,0.48,0.5,0.5,25000
2012-07-30,0.48,0.48,0.45,0.45,0.45,125000
2012-07-31,0.45,0.45,0.45,0.45,0.45,20000
2012-08-01,0.45,0.45,0.44,0.44,0.44,60000
2012-08-03,0.45,0.45,0.45,0.45,0.45,5000
2012-08-06,0.43,0.43,0.43,0.43,0.43,20100
2012-08-07,0.44,0.44,0.44,0.44,0.44,10000
2012-08-09,0.44,0.44,0.43,0.43,0.43,210000
2012-08-10,0.43,0.43,0.43,0.43,0.43,20000
2012-08-14,0.41,0.41,0.4,0.41,0.41,30000
2012-08-15,0.41,0.41,0.41,0.41,0.41,10000
2012-08-16,0.39,0.4,0.39,0.4,0.4,30000
2012-08-17,0.4,0.4,0.4,0.4,0.4,10000
2012-08-20,0.41,0.41,0.41,0.41,0.41,110000
2012-08-21,0.41,0.41,0.41,0.41,0.41,100000
2012-08-22,0.41,0.43,0.41,0.43,0.43,50000
2012-08-23,0.44,0.45,0.44,0.45,0.45,80000
2012-08-24,0.46,0.46,0.46,0.46,0.46,20000
2012-08-28,0.43,0.43,0.42,0.42,0.42,30000
2012-08-29,0.43,0.43,0.43,0.43,0.43,5000
2012-08-30,0.44,0.46,0.44,0.46,0.46,25000
2012-09-06,0.38,0.38,0.37,0.37,0.37,220000
2012-09-07,0.32,0.35,0.32,0.35,0.35,510000
2012-09-11,0.34,0.34,0.34,0.34,0.34,22000
2012-09-12,0.3,0.3,0.3,0.3,0.3,30000
2012-09-13,0.23,0.24,0.23,0.24,0.24,140000
2012-09-14,0.22,0.25,0.22,0.25,0.25,250000
2012-09-17,0.24,0.24,0.21,0.21,0.21,1000000
2012-09-18,0.21,0.21,0.18,0.18,0.18,400200
2012-09-19,0.17,0.17,0.16,0.16,0.16,199900
2012-09-20,0.17,0.17,0.17,0.17,0.17,100
2012-09-21,0.2,0.2,0.2,0.2,0.2,10000
2012-09-24,0.2,0.2,0.19,0.19,0.19,200000
2012-09-25,0.22,0.24,0.22,0.24,0.24,50000
2012-09-26,0.32,0.35,0.32,0.35,0.35,270000
2012-09-27,0.35,0.36,0.35,0.35,0.35,80000
2012-10-01,0.31,0.32,0.31,0.32,0.32,40000
2012-10-02,0.29,0.29,0.28,0.29,0.29,30000
2012-10-03,0.29,0.3,0.29,0.3,0.3,290000
2012-10-04,0.28,0.29,0.27,0.28,0.28,320000
2012-10-05,0.28,0.28,0.26,0.26,0.26,420000
2012-10-08,0.24,0.26,0.24,0.26,0.26,400000
2012-10-09,0.25,0.29,0.25,0.29,0.29,410000
2012-10-10,0.3,0.3,0.27,0.27,0.27,180000
2012-10-11,0.28,0.28,0.28,0.28,0.28,20000
2012-10-18,0.26,0.26,0.26,0.26,0.26,12100
2012-10-22,0.26,0.26,0.26,0.26,0.26,70000
2012-10-31,0.23,0.23,0.23,0.23,0.23,12000
2012-11-01,0.22,0.23,0.21,0.23,0.23,52000
2012-11-02,0.21,0.21,0.2,0.2,0.2,80000
