Date,Open,High,Low,Close,Adj Close,Volume
2017-08-29,36.92,37.19,36.92,37.19,37.19,111
2017-08-30,37.65,37.65,37.41,37.41,37.41,102
2017-08-31,37.72,37.72,37.72,37.72,37.72,2
2017-09-01,39.43,39.43,39.43,39.43,39.43,305
2017-09-04,38.62,38.92,38.5,38.5,38.5,14
2017-09-06,37.77,37.77,37.77,37.77,37.77,1
2017-09-07,38.02,38.02,38.02,38.02,38.02,110
2017-09-08,38.53,38.53,38.53,38.53,38.53,3
2017-09-11,38.77,38.77,38.77,38.77,38.77,306
2017-09-12,39.27,39.27,39.02,39.02,39.02,324
2017-09-13,39.02,39.02,39.02,39.02,39.02,220
2017-09-14,39.01,39.14,39.01,39.14,39.14,13
2017-09-15,39.14,39.14,38.5,38.5,38.5,235
2017-09-18,38.6,38.6,38.6,38.6,38.6,302
2017-09-19,38.75,38.75,38.75,38.75,38.75,10
2017-09-21,38.25,38.25,38.25,38.25,38.25,110
2017-09-26,37.98,37.98,37.98,37.98,37.98,1
2017-09-28,37.98,37.98,37.98,37.98,37.98,10
2017-10-02,37.99,38.1,37.99,38,38,10
2017-10-03,37.74,37.74,37.74,37.74,37.74,5
2017-10-06,37.64,37.64,37.64,37.64,37.64,200
2017-10-10,38.21,38.45,38.21,38.45,38.45,34
2017-10-16,38.5,39.99,38.5,39.96,39.96,451
2017-10-17,40.45,40.45,39.98,40,40,159
2017-10-18,39.7,40,39.5,40,40,30
2017-10-19,40,40,38.01,39.09,39.09,229
2017-10-20,37.7,39.68,36.5,39.68,39.68,15
2017-10-24,39.21,39.43,39.21,39.25,39.25,58
2017-10-25,39.21,39.21,39.21,39.21,39.21,10
2017-10-30,39,39,39,39,39,1
2017-10-31,38.8,38.8,38.8,38.8,38.8,100
2017-11-01,38.71,38.72,38.71,38.72,38.72,6
2017-11-03,38.67,38.67,38.67,38.67,38.67,4
2017-11-07,38.4,38.48,38.4,38.48,38.48,4
2017-11-08,38.65,38.7,38.65,38.7,38.7,2
2017-11-10,38.47,38.47,38.47,38.47,38.47,102
2017-11-13,38.2,38.2,38.2,38.2,38.2,103
2017-11-14,37.96,37.96,37.96,37.96,37.96,6
2017-11-16,38.46,38.46,38.46,38.46,38.46,4
2017-11-22,38.4,38.45,38.4,38.45,38.45,5
2017-11-27,38.18,38.18,38.18,38.18,38.18,2
2017-11-29,39.09,40,39.09,39.6,39.6,628
2017-11-30,39.36,39.36,38.68,38.68,38.68,13
2017-12-01,39.6,39.6,39.1,39.36,39.36,7
2017-12-04,39.09,39.19,39.09,39.19,39.19,2
2017-12-06,39.08,39.08,39.08,39.08,39.08,2
2017-12-13,38.9,38.9,38.4,38.4,38.4,13
2017-12-14,37.55,37.56,37.5,37.5,37.5,7
2017-12-15,37.55,37.55,37.55,37.55,37.55,1
2017-12-18,38.98,38.98,38.98,38.98,38.98,2
2017-12-19,39.1,40,37.98,39.9,39.9,91
2017-12-20,39.96,39.96,39.96,39.96,39.96,1
2017-12-21,39.98,39.98,39.98,39.98,39.98,1
2017-12-22,39.6,39.6,39.5,39.5,39.5,13
2017-12-25,40,40,40,40,40,402
2017-12-26,39.75,39.75,39.75,39.75,39.75,2
2017-12-27,39.75,40.1,39.75,40.1,40.1,3
