Date,Open,High,Low,Close,Adj Close,Volume
2015-01-22,0.79,0.79,0.79,0.79,0.79,982600
2015-03-11,0.72,0.73,0.68,0.68,0.68,4600
2015-03-12,0.73,0.73,0.68,0.68,0.68,5500
2015-03-13,0.68,0.68,0.67,0.67,0.67,2000
2015-03-16,0.73,0.73,0.73,0.73,0.73,5100
2015-03-19,0.64,0.64,0.63,0.63,0.63,7000
2015-03-20,0.67,0.67,0.67,0.67,0.67,1000
2015-03-23,0.68,0.69,0.68,0.69,0.69,2000
2015-03-24,0.7,0.7,0.7,0.7,0.7,1000
2015-03-25,0.7,0.7,0.7,0.7,0.7,3000
2015-03-27,0.72,0.72,0.71,0.71,0.71,8000
2015-03-30,0.68,0.68,0.68,0.68,0.68,3000
2015-03-31,0.66,0.66,0.6,0.61,0.61,130000
2015-04-01,0.6,0.62,0.6,0.62,0.62,500800
2015-04-02,0.63,0.63,0.6,0.6,0.6,23000
2015-04-03,0.6,0.6,0.58,0.58,0.58,29000
2015-04-07,0.55,0.56,0.54,0.54,0.54,530000
2015-04-08,0.54,0.54,0.51,0.51,0.51,11200
2015-04-09,0.52,0.52,0.48,0.48,0.48,21200
2015-04-10,0.47,0.48,0.47,0.47,0.47,59000
2015-04-16,0.44,0.44,0.43,0.43,0.43,157700
2015-04-20,0.39,0.39,0.39,0.39,0.39,2000
2015-04-27,0.36,0.37,0.36,0.37,0.37,10000
2015-04-28,0.46,0.46,0.44,0.44,0.44,4600
2015-05-12,0.35,0.37,0.35,0.36,0.36,33000
2015-05-14,0.37,0.37,0.34,0.34,0.34,280000
2015-06-04,0.3,0.3,0.3,0.3,0.3,100
2015-06-05,0.29,0.29,0.29,0.29,0.29,5801400
2015-06-16,0.22,0.23,0.22,0.23,0.23,600000
2015-06-19,0.23,0.23,0.23,0.23,0.23,600000
2015-06-23,0.19,0.19,0.19,0.19,0.19,100
2015-07-02,0.22,0.22,0.22,0.22,0.22,20000
2015-07-03,0.17,0.19,0.17,0.19,0.19,15100
2015-07-06,0.19,0.19,0.17,0.17,0.17,1040000
2015-07-07,0.15,0.15,0.13,0.14,0.14,1352000
2015-07-08,0.16,0.16,0.16,0.16,0.16,1180000
2015-07-09,0.15,0.15,0.15,0.15,0.15,8000
2015-07-10,0.13,0.13,0.05,0.05,0.05,50000
