Date,Open,High,Low,Close,Adj Close,Volume
2013-10-18,0.49,0.49,0.49,0.49,0.49,2000
2013-10-21,0.53,0.53,0.52,0.52,0.52,25000
2013-10-22,0.51,0.51,0.51,0.51,0.51,117000
2013-10-25,0.51,0.51,0.51,0.51,0.51,20000
2013-10-28,0.5,0.5,0.49,0.49,0.49,25000
2013-10-30,0.48,0.48,0.48,0.48,0.48,10000
2013-11-01,0.49,0.49,0.49,0.49,0.49,92000
2013-11-04,0.48,0.48,0.47,0.47,0.47,15000
2013-11-05,0.47,0.47,0.47,0.47,0.47,1800
2013-11-06,0.5,0.5,0.5,0.5,0.5,16800
2013-11-07,0.5,0.5,0.5,0.5,0.5,75000
2013-11-08,0.47,0.47,0.47,0.47,0.47,1000
2013-11-12,0.46,0.46,0.43,0.43,0.43,27000
2013-11-15,0.43,0.43,0.43,0.43,0.43,7000
2013-11-25,0.32,0.33,0.31,0.33,0.33,1206600
2013-11-26,0.33,0.33,0.3,0.3,0.3,42900
2013-11-27,0.32,0.32,0.32,0.32,0.32,40100
2013-11-28,0.32,0.32,0.32,0.32,0.32,39900
2013-12-02,0.29,0.3,0.29,0.29,0.29,55200
2013-12-03,0.31,0.31,0.31,0.31,0.31,15000
2013-12-06,0.27,0.27,0.24,0.24,0.24,84600
2013-12-09,0.26,0.26,0.26,0.26,0.26,20000
2013-12-11,0.26,0.26,0.26,0.26,0.26,50000
2013-12-12,0.25,0.26,0.25,0.25,0.25,410000
2013-12-13,0.23,0.23,0.23,0.23,0.23,20000
2013-12-16,0.24,0.25,0.24,0.25,0.25,488000
2013-12-17,0.25,0.26,0.25,0.26,0.26,100000
2013-12-18,0.25,0.26,0.24,0.24,0.24,1223000
2013-12-19,0.25,0.25,0.24,0.24,0.24,1630000
2013-12-20,0.23,0.23,0.22,0.23,0.23,3509900
2013-12-23,0.21,0.22,0.2,0.22,0.22,2153000
2013-12-24,0.21,0.21,0.2,0.21,0.21,1934000
2013-12-25,0.2,0.21,0.2,0.21,0.21,3334000
2013-12-26,0.2,0.2,0.19,0.19,0.19,2360000
2013-12-27,0.18,0.18,0.18,0.18,0.18,100000
2014-01-02,0.18,0.18,0.18,0.18,0.18,20000
2014-01-03,0.13,0.14,0.13,0.13,0.13,20100
2014-01-06,0.16,0.16,0.16,0.16,0.16,22000
2014-01-07,0.17,0.18,0.15,0.18,0.18,641200
2014-01-09,0.17,0.17,0.16,0.16,0.16,850300
2014-01-13,0.14,0.16,0.14,0.16,0.16,957000
2014-01-17,0.16,0.16,0.16,0.16,0.16,18500
2014-01-20,0.14,0.14,0.13,0.13,0.13,1912000
2014-01-21,0.14,0.14,0.14,0.14,0.14,550000
2014-01-22,0.11,0.11,0.11,0.11,0.11,1000000
2014-01-23,0.14,0.14,0.14,0.14,0.14,200000
2014-01-24,0.14,0.15,0.14,0.15,0.15,560000
2014-01-27,0.13,0.13,0.11,0.11,0.11,400200
2014-01-28,0.1,0.1,0.1,0.1,0.1,100000
2014-01-29,0.1,0.1,0.1,0.1,0.1,200000
2014-02-03,0.1,0.11,0.1,0.11,0.11,600000
2014-02-04,0.1,0.1,0.09,0.09,0.09,200000
2014-02-06,0.1,0.1,0.1,0.1,0.1,10000
2014-02-07,0.1,0.1,0.1,0.1,0.1,110000
2014-02-11,0.09,0.09,0.09,0.09,0.09,2000
2014-02-12,0.11,0.11,0.11,0.11,0.11,9100
2014-02-13,0.1,0.1,0.09,0.09,0.09,33100
2014-02-17,0.09,0.09,0.09,0.09,0.09,1300
2014-02-19,0.07,0.07,0.07,0.07,0.07,90000
2014-02-21,0.07,0.07,0.06,0.06,0.06,90000
2014-02-25,0.06,0.06,0.06,0.06,0.06,4500
2014-02-27,0.06,0.06,0.06,0.06,0.06,7000
2014-03-03,0.05,0.06,0.05,0.06,0.06,138500
2014-03-04,0.04,0.06,0.04,0.06,0.06,23000
2014-03-07,0.05,0.05,0.05,0.05,0.05,5000
2014-03-12,0.04,0.04,0.04,0.04,0.04,53800
2014-03-13,0.04,0.04,0.04,0.04,0.04,110000
2014-03-17,0.05,0.05,0.05,0.05,0.05,100
2014-03-18,0.04,0.05,0.04,0.05,0.05,1100
2014-03-19,0.04,0.04,0.04,0.04,0.04,41000
2014-04-08,0.01,0.01,0.01,0.01,0.01,90000
2014-04-11,0.01,0.01,0.01,0.01,0.01,226500
