Date,Open,High,Low,Close,Adj Close,Volume
2010-09-15,141,141,141,141,141,1
2010-09-16,142.5,142.5,142,142,142,7
2010-09-21,148.5,148.5,147,147,147,3
2010-09-22,148,151,148,151,151,8
2010-09-23,152,155,152,152.5,152.5,21
2010-09-24,151,151,151,151,151,1
2010-09-27,155,156,154,155,155,10
2010-09-28,153,153,152,152.5,152.5,4
2010-09-29,155.5,156,155.5,156,156,2
2010-09-30,156,158.7,156,156.5,156.5,15
2010-10-01,156,156,155.5,155.5,155.5,7
2010-10-04,154,154,153,153,153,8
2010-10-05,153,154.5,151.5,154.5,154.5,5
2010-10-06,154,154,153.5,153.5,153.5,2
2010-10-07,155,155,154,154,154,7
2010-10-08,154,154,153,153,153,2
2010-10-11,154.2,157,154.2,157,157,3
2010-10-12,158.5,158.5,156.5,158,158,4
2010-10-13,159.5,161,159.2,160,160,17
2010-10-14,162,162,160,160,160,6
2010-10-15,158,158.2,157.5,158,158,10
2010-10-18,157,157,156.5,156.5,156.5,7
2010-10-20,155,156,155,156,156,9
2010-10-21,155.1,155.1,155,155,155,5
2010-10-22,154.5,154.5,154.5,154.5,154.5,1
2010-10-26,156,156,156,156,156,1
2010-10-27,155,155,152,152,152,4
2010-10-28,151,151,151,151,151,2
2010-10-29,151,151,148.5,148.5,148.5,5
2010-11-01,109,151.5,109,151,151,18
2010-11-02,153,153,151.5,151.5,151.5,6
2010-11-03,153,155,153,153,153,4
2010-11-04,154,156,154,156,156,8
2010-11-05,158,159,158,158,158,14
2010-11-08,158.1,158.1,157.5,158,158,12
2010-11-11,153,153,150.5,150.5,150.5,6
2010-11-12,149.5,150,145,149.5,149.5,33
2010-11-15,150,153,150,153,153,108
2010-11-16,151,151.5,148.5,148.5,148.5,307
2010-11-17,148,148,146.5,148,148,54
2010-11-18,149,150.5,149,150.5,150.5,306
2010-11-19,149,149,149,149,149,1
2010-11-22,150,150,150,150,150,1
2010-11-23,148,148,148,148,148,1
2010-11-24,148,150,148,150,150,4
2010-11-26,147.5,147.5,146,146,146,2
2010-11-29,146,146,144.5,144.5,144.5,4
2010-11-30,147,147,145,145,145,4
2010-12-01,148,150,148,148.5,148.5,6
2010-12-02,150.5,154,150.5,153.5,153.5,21
2010-12-03,155,155,154,154,154,2
2010-12-07,154.5,155,154.5,154.5,154.5,57
2010-12-08,152.5,152.5,151.5,151.5,151.5,2
2010-12-09,152,152,151,151,151,5
2010-12-13,149.1,149.1,148,148,148,199
2010-12-16,150,150,150,150,150,1
2010-12-17,150,150,150,150,150,1
2010-12-22,147,147,145,145,145,2
2010-12-23,146.5,146.5,146.5,146.5,146.5,1
2010-12-24,146.5,146.5,146.5,146.5,146.5,1
2010-12-27,145,145,144,144,144,351
2010-12-28,144,146,144,144.5,144.5,315
2010-12-29,148,148,147,147,147,52
