Date,Open,High,Low,Close,Adj Close,Volume
2018-05-21,0.21,0.22,0.21,0.21,0.21,111000
2018-05-22,0.2,0.2,0.19,0.19,0.19,40200
2018-05-23,0.2,0.21,0.2,0.21,0.21,40200
2018-05-24,0.21,0.21,0.21,0.21,0.21,101000
2018-05-25,0.21,0.21,0.21,0.21,0.21,5000000
2018-05-28,0.21,0.21,0.21,0.21,0.21,5000000
2018-05-30,0.21,0.21,0.21,0.21,0.21,10000000
2018-05-31,0.18,0.19,0.18,0.19,0.19,2005000
2018-06-05,0.17,0.17,0.17,0.17,0.17,50000
2018-06-06,0.15,0.15,0.15,0.15,0.15,15000
2018-06-08,0.13,0.13,0.13,0.13,0.13,10000
2018-06-11,0.14,0.14,0.14,0.14,0.14,35000
2018-06-12,0.16,0.17,0.16,0.17,0.17,2515000
2018-06-14,0.16,0.16,0.16,0.16,0.16,2500000
2018-06-19,0.12,0.12,0.11,0.11,0.11,6000
2018-06-27,0.08,0.08,0.08,0.08,0.08,100
2018-07-25,0.12,0.12,0.12,0.12,0.12,217500
2018-07-26,0.01,0.01,0.01,0.01,0.01,20000
2018-07-31,0.01,0.09,0.01,0.09,0.09,237100
2018-08-01,0.1,0.1,0.1,0.1,0.1,142100
2018-08-08,0.07,0.07,0.07,0.07,0.07,5000
2018-08-09,0.15,0.15,0.15,0.15,0.15,80000
2018-08-10,0.15,0.16,0.15,0.16,0.16,638000
2018-08-27,0.26,0.26,0.22,0.23,0.23,452000
2018-08-28,0.25,0.25,0.25,0.25,0.25,450000
2018-09-05,0.2,0.2,0.2,0.2,0.2,372000
2018-09-06,0.18,0.21,0.18,0.21,0.21,685700
2018-09-07,0.21,0.29,0.21,0.29,0.29,1057700
2018-09-10,0.23,0.24,0.22,0.23,0.23,859000
2018-09-11,0.24,0.25,0.24,0.25,0.25,220000
2018-09-12,0.2,0.2,0.2,0.2,0.2,200
2018-09-13,0.23,0.23,0.23,0.23,0.23,18000
2018-09-14,0.22,0.22,0.22,0.22,0.22,18000
2018-09-17,0.19,0.19,0.18,0.18,0.18,702500
2018-09-18,0.22,0.25,0.22,0.25,0.25,1002500
2018-09-19,0.27,0.28,0.25,0.28,0.28,110000
2018-09-20,0.3,0.39,0.3,0.3,0.3,430000
2018-09-21,0.31,0.31,0.3,0.3,0.3,373400
2018-09-24,0.28,0.28,0.23,0.24,0.24,1387200
2018-09-25,0.28,0.28,0.24,0.24,0.24,348600
2018-09-26,0.26,0.27,0.24,0.27,0.27,309400
2018-09-27,0.26,0.29,0.26,0.29,0.29,316200
2018-09-28,0.3,0.3,0.3,0.3,0.3,52400
2018-10-01,0.3,0.31,0.18,0.2,0.2,6383200
2018-10-02,0.21,0.21,0.16,0.16,0.16,746500
2018-10-03,0.18,0.18,0.17,0.17,0.17,546600
2018-10-04,0.17,0.18,0.16,0.17,0.17,1592600
2018-10-05,0.17,0.17,0.17,0.17,0.17,534200
2018-10-08,0.16,0.16,0.11,0.11,0.11,199400
2018-10-10,0.12,0.18,0.12,0.18,0.18,293100
2018-10-11,0.12,0.12,0.08,0.09,0.09,10546200
2018-10-12,0.1,0.11,0.1,0.11,0.11,415100
2018-10-16,0.12,0.14,0.12,0.14,0.14,443400
2018-10-17,0.14,0.18,0.14,0.16,0.16,636400
2018-10-18,0.16,0.16,0.12,0.12,0.12,2683500
2018-10-19,0.11,0.12,0.1,0.1,0.1,9400100
2018-10-24,0.08,0.08,0.07,0.07,0.07,200
2018-10-25,0.08,0.09,0.08,0.08,0.08,2660100
2018-10-26,0.1,0.1,0.08,0.08,0.08,24192200
2018-10-29,0.08,0.08,0.08,0.08,0.08,50200
2018-10-30,0.1,0.1,0.07,0.07,0.07,168100
2018-10-31,0.08,0.08,0.07,0.07,0.07,2500400
2018-11-01,0.08,0.08,0.06,0.06,0.06,550000
2018-11-02,0.07,0.08,0.07,0.08,0.08,1420200
2018-11-05,0.05,0.05,0.05,0.05,0.05,700000
2018-11-07,0.05,0.05,0.05,0.05,0.05,100000
