Date,Open,High,Low,Close,Adj Close,Volume
2012-01-11,1.17,1.17,1.15,1.15,1.15,50000
2012-01-12,1.16,1.16,1.15,1.15,1.15,63000
2012-01-13,1.17,1.19,1.17,1.18,1.18,101000
2012-01-16,1.18,1.18,1.18,1.18,1.18,8000
2012-01-17,1.17,1.17,1.17,1.17,1.17,100
2012-01-18,1.16,1.18,1.14,1.18,1.18,320900
2012-01-19,1.18,1.18,1.17,1.17,1.17,10000
2012-01-20,1.16,1.16,1.16,1.16,1.16,20000
2012-01-23,1.15,1.15,1.14,1.14,1.14,152000
2012-01-24,1.13,1.13,1.11,1.12,1.12,55000
2012-01-25,1.13,1.13,1.12,1.13,1.13,365000
2012-01-26,1.06,1.06,0.99,0.99,0.99,1412000
2012-01-27,1.01,1.03,0.99,1.03,1.03,348900
2012-01-30,1.01,1.01,0.96,0.98,0.98,716200
2012-01-31,0.98,0.99,0.97,0.97,0.97,179000
2012-02-01,0.97,0.97,0.94,0.94,0.94,1679100
2012-02-02,0.93,0.95,0.93,0.95,0.95,1383000
2012-02-03,0.95,0.95,0.93,0.93,0.93,160000
2012-02-06,0.92,0.93,0.91,0.93,0.93,210200
2012-02-07,0.94,0.96,0.93,0.93,0.93,1478700
2012-02-08,0.92,0.92,0.88,0.89,0.89,1111600
2012-02-09,0.9,0.9,0.86,0.86,0.86,293100
2012-02-10,0.85,0.86,0.84,0.86,0.86,1356900
2012-02-13,0.89,0.9,0.88,0.88,0.88,1070100
2012-02-14,0.88,0.9,0.87,0.9,0.9,1425500
2012-02-15,0.82,0.84,0.81,0.81,0.81,1238000
2012-02-16,0.8,0.8,0.72,0.73,0.73,2673800
2012-02-17,0.7,0.72,0.68,0.69,0.69,1715600
2012-02-20,0.66,0.68,0.57,0.58,0.58,5337200
2012-02-21,0.57,0.61,0.56,0.59,0.59,3331100
2012-02-22,0.59,0.62,0.58,0.61,0.61,1835300
2012-02-23,0.61,0.64,0.6,0.6,0.6,2088500
2012-02-24,0.58,0.58,0.56,0.57,0.57,2902500
2012-02-27,0.56,0.56,0.52,0.53,0.53,2516300
2012-02-28,0.52,0.55,0.52,0.53,0.53,786100
2012-02-29,0.52,0.55,0.51,0.53,0.53,1630700
2012-03-01,0.54,0.54,0.53,0.54,0.54,284700
2012-03-02,0.51,0.52,0.5,0.52,0.52,1485700
2012-03-05,0.52,0.53,0.51,0.52,0.52,1117700
