Date,Open,High,Low,Close,Adj Close,Volume
2016-06-02,0.53,0.53,0.53,0.53,0.53,146000
2016-06-03,0.53,0.53,0.52,0.52,0.52,68200
2016-06-06,0.52,0.52,0.52,0.52,0.52,28400
2016-06-07,0.52,0.52,0.52,0.52,0.52,142000
2016-06-08,0.53,0.53,0.53,0.53,0.53,312400
2016-06-09,0.51,0.52,0.51,0.51,0.51,454400
2016-06-10,0.52,0.52,0.52,0.52,0.52,426000
2016-06-13,0.53,0.53,0.53,0.53,0.53,28400
2016-06-14,0.54,0.55,0.54,0.54,0.54,443800
2016-06-15,0.54,0.54,0.54,0.54,0.54,198800
2016-06-16,0.54,0.55,0.54,0.55,0.55,56800
2016-06-17,0.55,0.55,0.55,0.55,0.55,85200
2016-06-20,0.53,0.55,0.53,0.54,0.54,210200
2016-06-21,0.53,0.53,0.53,0.53,0.53,85200
2016-06-22,0.53,0.54,0.53,0.54,0.54,85200
2016-06-23,0.49,0.51,0.49,0.5,0.5,1021200
2016-06-24,0.54,0.56,0.54,0.54,0.54,861200
2016-06-27,0.53,0.54,0.51,0.51,0.51,335600
2016-06-28,0.52,0.52,0.51,0.51,0.51,493200
2016-06-29,0.49,0.49,0.44,0.44,0.44,1233400
2016-06-30,0.4,0.44,0.4,0.42,0.42,2099500
2016-07-04,0.43,0.43,0.39,0.4,0.4,539700
2016-07-05,0.37,0.39,0.37,0.38,0.38,1289200
2016-07-06,0.4,0.42,0.38,0.38,0.38,1477000
2016-07-07,0.38,0.38,0.37,0.38,0.38,737400
2016-07-08,0.39,0.39,0.36,0.37,0.37,744800
2016-07-11,0.36,0.36,0.33,0.33,0.33,2546000
2016-07-12,0.35,0.36,0.35,0.35,0.35,2490800
2016-07-13,0.35,0.36,0.35,0.35,0.35,235600
2016-07-14,0.35,0.35,0.34,0.34,0.34,117800
2016-07-15,0.35,0.35,0.35,0.35,0.35,312000
2016-07-20,0.35,0.36,0.35,0.36,0.36,78000
2016-07-21,0.36,0.39,0.36,0.38,0.38,734400
2016-07-22,0.37,0.37,0.37,0.37,0.37,30000
2016-07-25,0.39,0.39,0.39,0.39,0.39,100000
2016-07-26,0.36,0.36,0.35,0.35,0.35,209400
2016-07-27,0.33,0.33,0.33,0.33,0.33,33500
2016-08-17,0.37,0.39,0.36,0.39,0.39,823000
2016-08-18,0.37,0.37,0.37,0.37,0.37,1176000
2016-08-19,0.38,0.38,0.38,0.38,0.38,78000
2016-08-22,0.38,0.38,0.38,0.38,0.38,312000
2016-08-23,0.4,0.4,0.39,0.39,0.39,435600
2016-08-24,0.39,0.39,0.37,0.37,0.37,989400
2016-08-25,0.36,0.36,0.36,0.36,0.36,243800
2016-08-26,0.35,0.35,0.35,0.35,0.35,312000
2016-08-29,0.35,0.35,0.35,0.35,0.35,78000
2016-08-30,0.34,0.34,0.33,0.33,0.33,351900
2016-08-31,0.32,0.32,0.31,0.31,0.31,250200
2016-09-01,0.32,0.33,0.32,0.32,0.32,310200
2016-09-02,0.32,0.33,0.32,0.33,0.33,386600
2016-09-05,0.34,0.36,0.33,0.33,0.33,832400
2016-09-06,0.34,0.34,0.34,0.34,0.34,39800
2016-09-07,0.32,0.33,0.32,0.33,0.33,235600
2016-09-08,0.35,0.4,0.35,0.39,0.39,1839500
2016-09-09,0.39,0.41,0.37,0.37,0.37,882200
2016-09-12,0.41,0.42,0.4,0.41,0.41,624100
2016-09-13,0.38,0.38,0.37,0.37,0.37,677600
2016-09-14,0.37,0.37,0.37,0.37,0.37,273800
2016-09-15,0.37,0.37,0.37,0.37,0.37,20000
2016-09-16,0.37,0.38,0.37,0.38,0.38,235600
2016-09-19,0.36,0.36,0.34,0.34,0.34,117800
2016-09-20,0.34,0.35,0.34,0.35,0.35,509400
2016-09-21,0.34,0.35,0.34,0.34,0.34,703000
2016-09-22,0.33,0.34,0.33,0.33,0.33,626600
2016-09-23,0.34,0.34,0.31,0.31,0.31,273800
2016-09-26,0.31,0.32,0.31,0.32,0.32,117800
2016-09-27,0.31,0.32,0.31,0.31,0.31,260600
2016-09-28,0.31,0.37,0.31,0.35,0.35,1770000
2016-09-29,0.34,0.34,0.33,0.33,0.33,234000
2016-09-30,0.34,0.35,0.34,0.35,0.35,202400
2016-10-03,0.33,0.34,0.33,0.34,0.34,547600
2016-10-04,0.33,0.33,0.29,0.29,0.29,1249600
2016-10-05,0.3,0.3,0.28,0.28,0.28,1249600
2016-10-06,0.28,0.28,0.27,0.27,0.27,1349200
2016-10-07,0.27,0.29,0.27,0.29,0.29,849500
2016-10-10,0.33,0.35,0.33,0.33,0.33,1249600
2016-10-11,0.33,0.39,0.33,0.39,0.39,1075500
2016-10-12,0.39,0.42,0.36,0.42,0.42,424600
2016-10-13,0.42,0.42,0.42,0.42,0.42,13000
2016-10-17,0.31,0.31,0.31,0.31,0.31,78000
2016-10-18,0.31,0.32,0.3,0.3,0.3,780000
2016-10-19,0.3,0.3,0.3,0.3,0.3,1337600
2016-10-20,0.29,0.3,0.29,0.3,0.3,741800
2016-10-21,0.3,0.32,0.3,0.31,0.31,546800
2016-10-25,0.31,0.31,0.31,0.31,0.31,468800
2016-10-26,0.28,0.29,0.28,0.29,0.29,507800
2016-10-27,0.29,0.3,0.29,0.29,0.29,780800
2016-10-28,0.3,0.31,0.3,0.3,0.3,468000
2016-10-31,0.31,0.32,0.31,0.31,0.31,384000
2016-11-01,0.33,0.33,0.27,0.27,0.27,1195900
2016-11-02,0.25,0.25,0.2,0.2,0.2,616100
2016-11-03,0.2,0.22,0.19,0.22,0.22,1493200
2016-11-04,0.22,0.25,0.22,0.24,0.24,516600
2016-11-07,0.22,0.22,0.21,0.21,0.21,156000
2016-11-08,0.19,0.21,0.19,0.21,0.21,743900
2016-11-09,0.22,0.24,0.21,0.21,0.21,743400
2016-11-10,0.19,0.2,0.19,0.19,0.19,784600
2016-11-11,0.2,0.2,0.2,0.2,0.2,390000
2016-11-14,0.23,0.23,0.21,0.22,0.22,430600
2016-11-15,0.21,0.22,0.2,0.2,0.2,429800
2016-11-16,0.19,0.21,0.19,0.2,0.2,742600
2016-11-17,0.2,0.2,0.19,0.19,0.19,195800
2016-11-18,0.2,0.2,0.2,0.2,0.2,237200
2016-11-21,0.2,0.2,0.18,0.18,0.18,547600
2016-11-22,0.19,0.19,0.19,0.19,0.19,156000
2016-11-23,0.18,0.18,0.18,0.18,0.18,585800
2016-11-24,0.19,0.19,0.19,0.19,0.19,195800
2016-11-25,0.19,0.19,0.16,0.17,0.17,332600
2016-11-28,0.18,0.18,0.18,0.18,0.18,39800
2016-11-30,0.16,0.16,0.13,0.13,0.13,429900
2016-12-01,0.12,0.13,0.11,0.11,0.11,2020300
2016-12-02,0.11,0.11,0.1,0.11,0.11,603600
2016-12-06,0.11,0.11,0.11,0.11,0.11,78000
2016-12-07,0.1,0.11,0.1,0.1,0.1,492000
2016-12-08,0.1,0.11,0.1,0.1,0.1,624000
2016-12-09,0.11,0.11,0.11,0.11,0.11,156000
2016-12-14,0.08,0.1,0.08,0.1,0.1,356000
2016-12-15,0.1,0.1,0.1,0.1,0.1,318400
2016-12-16,0.08,0.08,0.08,0.08,0.08,390000
2016-12-19,0.08,0.08,0.08,0.08,0.08,159200
2016-12-20,0.08,0.08,0.08,0.08,0.08,78000
2016-12-21,0.06,0.06,0.06,0.06,0.06,160300
2016-12-26,0.04,0.05,0.04,0.05,0.05,156000
