Date,Open,High,Low,Close,Adj Close,Volume
2017-01-16,0.21,0.21,0.21,0.21,0.21,1100
2017-01-19,0.21,0.21,0.21,0.21,0.21,1000
2017-01-20,0.22,0.22,0.22,0.22,0.22,100
2017-02-09,0.2,0.2,0.2,0.2,0.2,3000
2017-02-20,0.16,0.16,0.16,0.16,0.16,50000
2017-02-22,0.16,0.16,0.16,0.16,0.16,50000
2017-03-09,0.12,0.12,0.12,0.12,0.12,5000
2017-03-16,0.13,0.13,0.13,0.13,0.13,10000
2017-03-17,0.13,0.13,0.11,0.11,0.11,200
2017-04-03,0.1,0.1,0.1,0.1,0.1,300000
2017-04-04,0.1,0.1,0.1,0.1,0.1,300000
2017-05-04,0.03,0.03,0.03,0.03,0.03,14900
2017-05-29,0.03,0.03,0.03,0.03,0.03,10000
2017-05-30,0.02,0.02,0.02,0.02,0.02,20000
