Date,Open,High,Low,Close,Adj Close,Volume
2017-05-22,0.33,0.36,0.33,0.33,0.33,196500
2017-05-23,0.33,0.35,0.33,0.33,0.33,13542600
2017-05-24,0.33,0.33,0.31,0.32,0.32,986400
2017-05-25,0.34,0.36,0.34,0.35,0.35,5153200
2017-05-26,0.36,0.37,0.35,0.35,0.35,13396700
2017-05-29,0.36,0.36,0.35,0.35,0.35,5065000
2017-05-30,0.35,0.35,0.34,0.35,0.35,1842700
2017-05-31,0.35,0.35,0.34,0.34,0.34,1903100
2017-06-01,0.34,0.34,0.33,0.33,0.33,1406200
2017-06-02,0.33,0.35,0.32,0.35,0.35,4012900
2017-06-05,0.34,0.35,0.34,0.35,0.35,4448900
2017-06-06,0.35,0.38,0.35,0.38,0.38,46562500
2017-06-07,0.38,0.41,0.38,0.41,0.41,23066600
2017-06-08,0.39,0.39,0.38,0.39,0.39,17441000
2017-06-09,0.38,0.38,0.37,0.38,0.38,1941200
2017-06-12,0.37,0.37,0.35,0.36,0.36,3028500
2017-06-13,0.35,0.35,0.34,0.35,0.35,981700
2017-06-14,0.35,0.38,0.35,0.38,0.38,2321500
2017-06-15,0.38,0.39,0.38,0.38,0.38,1903000
2017-06-16,0.37,0.37,0.35,0.35,0.35,326000
2017-06-19,0.35,0.35,0.35,0.35,0.35,242800
2017-06-20,0.34,0.34,0.31,0.33,0.33,3439400
2017-06-21,0.33,0.35,0.33,0.35,0.35,8589600
2017-06-22,0.36,0.36,0.35,0.35,0.35,3353700
2017-06-23,0.35,0.35,0.34,0.34,0.34,3026400
2017-06-26,0.35,0.38,0.35,0.38,0.38,11962300
2017-06-27,0.38,0.39,0.36,0.36,0.36,7697000
2017-06-28,0.37,0.37,0.37,0.37,0.37,2748600
2017-06-29,0.37,0.38,0.37,0.37,0.37,4760200
2017-06-30,0.36,0.36,0.36,0.36,0.36,9624000
2017-07-03,0.36,0.4,0.36,0.4,0.4,8537900
2017-07-04,0.39,0.42,0.39,0.41,0.41,5318400
2017-07-05,0.42,0.44,0.41,0.43,0.43,15292800
2017-07-06,0.41,0.41,0.38,0.4,0.4,13042900
2017-07-07,0.39,0.4,0.39,0.39,0.39,11143900
2017-07-11,0.39,0.39,0.36,0.37,0.37,6289800
2017-07-12,0.36,0.36,0.34,0.34,0.34,6845600
2017-07-13,0.34,0.34,0.32,0.32,0.32,15432500
2017-07-14,0.31,0.32,0.31,0.31,0.31,1795800
2017-07-17,0.33,0.34,0.32,0.32,0.32,6115600
2017-07-18,0.32,0.34,0.32,0.34,0.34,1559500
2017-07-19,0.34,0.34,0.33,0.33,0.33,1940800
2017-07-20,0.34,0.35,0.34,0.35,0.35,14042800
2017-07-21,0.34,0.34,0.31,0.32,0.32,7375200
2017-07-24,0.31,0.31,0.3,0.3,0.3,6360000
2017-07-25,0.31,0.31,0.3,0.3,0.3,2749400
2017-07-26,0.3,0.32,0.3,0.31,0.31,3030300
2017-07-27,0.31,0.31,0.31,0.31,0.31,3345000
2017-07-31,0.31,0.31,0.3,0.3,0.3,1029000
2017-08-01,0.3,0.3,0.29,0.29,0.29,1248100
2017-08-02,0.31,0.34,0.31,0.34,0.34,17531100
2017-08-03,0.34,0.35,0.33,0.34,0.34,12420400
2017-08-04,0.33,0.34,0.33,0.34,0.34,6434900
2017-08-07,0.35,0.35,0.34,0.34,0.34,2192900
2017-08-08,0.34,0.34,0.32,0.33,0.33,1941800
2017-08-09,0.33,0.33,0.29,0.3,0.3,556500
2017-08-10,0.29,0.3,0.29,0.29,0.29,4533300
2017-08-11,0.29,0.33,0.29,0.31,0.31,15767400
2017-08-15,0.32,0.34,0.32,0.34,0.34,11230200
2017-08-16,0.34,0.35,0.33,0.35,0.35,3251300
2017-08-17,0.35,0.36,0.35,0.36,0.36,20577800
2017-08-18,0.35,0.37,0.35,0.36,0.36,5524100
2017-08-21,0.37,0.37,0.34,0.34,0.34,5970000
2017-08-22,0.34,0.35,0.32,0.32,0.32,3362000
2017-08-23,0.33,0.33,0.32,0.33,0.33,3670200
2017-08-24,0.34,0.41,0.34,0.4,0.4,28432800
2017-08-25,0.4,0.42,0.38,0.38,0.38,14305300
2017-08-28,0.39,0.39,0.38,0.39,0.39,3178500
2017-08-29,0.39,0.43,0.39,0.42,0.42,19838700
2017-08-30,0.43,0.43,0.41,0.43,0.43,17939200
2017-08-31,0.44,0.44,0.42,0.42,0.42,8527600
2017-09-01,0.42,0.42,0.39,0.4,0.4,9078800
2017-09-04,0.4,0.42,0.39,0.41,0.41,4930700
2017-09-05,0.42,0.42,0.39,0.39,0.39,2796200
2017-09-06,0.39,0.4,0.39,0.39,0.39,8690800
2017-09-07,0.4,0.4,0.38,0.38,0.38,3922200
2017-09-08,0.38,0.4,0.38,0.4,0.4,3339900
2017-09-11,0.4,0.41,0.39,0.39,0.39,6034200
2017-09-12,0.39,0.4,0.39,0.39,0.39,3293000
2017-09-13,0.39,0.4,0.38,0.39,0.39,14159700
2017-09-14,0.38,0.38,0.35,0.37,0.37,6630900
2017-09-15,0.35,0.41,0.35,0.4,0.4,11782500
2017-09-18,0.41,0.41,0.39,0.39,0.39,6913200
2017-09-19,0.4,0.41,0.39,0.39,0.39,3008800
2017-09-20,0.39,0.4,0.37,0.4,0.4,3879800
2017-09-21,0.38,0.4,0.38,0.38,0.38,24715800
2017-09-22,0.37,0.38,0.37,0.37,0.37,2766500
2017-09-25,0.36,0.37,0.34,0.35,0.35,6746300
2017-09-26,0.35,0.36,0.35,0.36,0.36,3514600
2017-09-27,0.36,0.36,0.34,0.36,0.36,14720300
2017-09-28,0.36,0.36,0.32,0.33,0.33,29970700
2017-09-29,0.33,0.34,0.32,0.34,0.34,13828100
2017-10-02,0.34,0.35,0.33,0.34,0.34,6779000
2017-10-03,0.36,0.36,0.33,0.33,0.33,6188600
2017-10-04,0.33,0.34,0.32,0.33,0.33,5505000
2017-10-05,0.33,0.33,0.33,0.33,0.33,36000
2017-10-06,0.33,0.35,0.33,0.34,0.34,4507800
2017-10-09,0.35,0.36,0.34,0.36,0.36,1961900
2017-10-10,0.36,0.36,0.34,0.36,0.36,2989800
2017-10-11,0.36,0.36,0.35,0.35,0.35,9323300
2017-10-12,0.35,0.37,0.35,0.37,0.37,5736600
2017-10-16,0.37,0.42,0.37,0.42,0.42,16698300
2017-10-17,0.43,0.44,0.42,0.43,0.43,6176400
2017-10-18,0.42,0.42,0.4,0.4,0.4,8318500
2017-10-19,0.4,0.4,0.33,0.35,0.35,5794700
2017-10-20,0.35,0.37,0.34,0.37,0.37,6226500
2017-10-24,0.37,0.37,0.35,0.36,0.36,912200
2017-10-25,0.36,0.36,0.34,0.36,0.36,2109200
2017-10-27,0.37,0.4,0.37,0.38,0.38,7632200
2017-10-30,0.37,0.38,0.35,0.37,0.37,3213100
2017-10-31,0.37,0.37,0.34,0.35,0.35,6573500
2017-11-01,0.35,0.35,0.33,0.33,0.33,2232000
2017-11-02,0.33,0.35,0.32,0.33,0.33,7475700
2017-11-03,0.33,0.34,0.33,0.34,0.34,4912200
2017-11-06,0.33,0.33,0.29,0.31,0.31,872800
2017-11-07,0.32,0.33,0.3,0.3,0.3,6681000
2017-11-08,0.31,0.31,0.3,0.3,0.3,24547900
2017-11-09,0.31,0.31,0.3,0.3,0.3,2141600
2017-11-10,0.29,0.29,0.28,0.28,0.28,46655000
2017-11-13,0.34,0.37,0.34,0.36,0.36,7851400
2017-11-14,0.35,0.37,0.32,0.37,0.37,5018500
2017-11-15,0.36,0.36,0.34,0.34,0.34,1196400
2017-11-16,0.34,0.34,0.33,0.33,0.33,556200
2017-11-17,0.33,0.36,0.33,0.36,0.36,1033900
2017-11-20,0.36,0.36,0.34,0.35,0.35,6489500
2017-11-21,0.35,0.36,0.35,0.36,0.36,1603600
2017-11-22,0.35,0.35,0.34,0.34,0.34,128600
2017-11-23,0.34,0.37,0.34,0.35,0.35,20044500
2017-11-24,0.35,0.35,0.32,0.32,0.32,6436000
2017-11-27,0.3,0.31,0.28,0.29,0.29,3297600
2017-11-28,0.28,0.32,0.28,0.3,0.3,11248200
2017-11-29,0.29,0.3,0.27,0.27,0.27,4481400
2017-11-30,0.28,0.28,0.27,0.27,0.27,4531300
2017-12-01,0.27,0.27,0.26,0.26,0.26,624000
2017-12-04,0.28,0.3,0.28,0.3,0.3,9107400
2017-12-06,0.28,0.28,0.25,0.28,0.28,1293100
2017-12-07,0.26,0.26,0.24,0.25,0.25,1128400
2017-12-08,0.25,0.25,0.24,0.25,0.25,2428600
2017-12-12,0.24,0.27,0.24,0.26,0.26,5580700
2017-12-13,0.27,0.27,0.22,0.23,0.23,5000000
2017-12-14,0.22,0.23,0.21,0.23,0.23,4929500
2017-12-15,0.23,0.23,0.22,0.22,0.22,1197100
2017-12-18,0.22,0.22,0.2,0.2,0.2,258900
2017-12-19,0.21,0.26,0.21,0.26,0.26,6133800
2017-12-20,0.25,0.26,0.23,0.24,0.24,1496600
2017-12-21,0.22,0.23,0.22,0.23,0.23,666400
2017-12-22,0.22,0.22,0.2,0.21,0.21,1547000
2017-12-25,0.2,0.2,0.17,0.17,0.17,3041400
2017-12-26,0.19,0.19,0.17,0.17,0.17,1199400
2017-12-27,0.17,0.17,0.16,0.16,0.16,1436000
2017-12-28,0.16,0.16,0.15,0.15,0.15,4248800
2017-12-29,0.14,0.17,0.14,0.15,0.15,3556000
2018-01-03,0.13,0.15,0.12,0.13,0.13,7390500
2018-01-04,0.15,0.17,0.13,0.13,0.13,2307600
2018-01-05,0.14,0.14,0.12,0.12,0.12,12128400
2018-01-08,0.12,0.13,0.11,0.12,0.12,2991300
2018-01-09,0.11,0.11,0.1,0.1,0.1,1617600
2018-01-10,0.1,0.11,0.1,0.11,0.11,1905500
2018-01-11,0.08,0.1,0.08,0.09,0.09,1640000
2018-01-12,0.09,0.09,0.09,0.09,0.09,550000
2018-01-15,0.07,0.07,0.06,0.06,0.06,424000
2018-01-16,0.06,0.06,0.06,0.06,0.06,209000
2018-01-17,0.05,0.05,0.05,0.05,0.05,202000
2018-01-18,0.05,0.05,0.05,0.05,0.05,820000
2018-01-19,0.04,0.06,0.04,0.06,0.06,400500
2018-01-22,0.04,0.04,0.04,0.04,0.04,535000
2018-01-23,0.02,0.03,0.02,0.03,0.03,600000
2018-01-24,0.02,0.02,0.02,0.02,0.02,80000
