Date,Open,High,Low,Close,Adj Close,Volume
2018-08-27,0.77,0.96,0.77,0.96,0.96,256600
2018-08-28,0.96,1.02,0.91,0.94,0.94,3605600
2018-08-29,0.91,0.96,0.91,0.93,0.93,2386100
2018-08-30,0.95,0.95,0.88,0.88,0.88,1921200
2018-08-31,0.9,1.08,0.8,1.08,1.08,2494200
2018-09-03,1.13,1.13,0.95,0.95,0.95,2141600
2018-09-04,0.97,0.99,0.87,0.89,0.89,1443900
2018-09-05,0.87,0.92,0.83,0.86,0.86,3522100
2018-09-06,0.89,1.03,0.86,1.03,1.03,4072600
2018-09-07,1.03,1.11,1,1,1,1311200
2018-09-10,1.05,1.08,1.02,1.05,1.05,1136600
2018-09-11,1.05,1.05,0.95,0.96,0.96,1216900
2018-09-12,0.97,0.97,0.92,0.94,0.94,1941200
2018-09-13,0.96,1.05,0.96,1.01,1.01,2167700
2018-09-14,1.03,1.03,0.98,0.98,0.98,1263400
2018-09-17,0.95,0.98,0.95,0.98,0.98,1546800
2018-09-18,0.95,1,0.95,0.98,0.98,1084400
2018-09-19,0.99,1.12,0.99,1.04,1.04,1462300
2018-09-20,1.12,1.2,1.12,1.12,1.12,1118300
2018-09-21,1.17,1.19,1.11,1.14,1.14,1403200
2018-09-24,1.14,1.14,1.11,1.11,1.11,898600
2018-09-25,1.13,1.13,1.11,1.11,1.11,126200
2018-09-26,1.13,1.13,1.1,1.1,1.1,446600
2018-09-27,1.15,1.2,1.15,1.15,1.15,999000
2018-09-28,1.17,1.17,1.17,1.17,1.17,265000
2018-10-01,1.22,1.25,1.19,1.19,1.19,1155200
2018-10-02,1.13,1.13,1.11,1.11,1.11,622600
2018-10-03,1.13,1.13,0.9,0.92,0.92,1128900
2018-10-04,0.82,0.87,0.77,0.77,0.77,785000
2018-10-05,0.8,0.84,0.73,0.77,0.77,947400
2018-10-08,0.75,0.79,0.55,0.58,0.58,5787300
2018-10-09,0.59,0.63,0.58,0.61,0.61,6695900
2018-10-10,0.65,0.69,0.64,0.67,0.67,1041900
2018-10-11,0.59,0.67,0.57,0.64,0.64,1751000
2018-10-12,0.68,0.68,0.64,0.64,0.64,280300
2018-10-16,0.61,0.66,0.61,0.64,0.64,1447500
2018-10-17,0.62,0.62,0.56,0.56,0.56,2589700
2018-10-18,0.56,0.56,0.4,0.43,0.43,3813100
2018-10-19,0.41,0.45,0.39,0.45,0.45,2761800
2018-10-22,0.44,0.44,0.4,0.42,0.42,1764400
2018-10-24,0.36,0.4,0.33,0.33,0.33,4263000
2018-10-25,0.34,0.41,0.31,0.41,0.41,5774000
2018-10-26,0.37,0.39,0.36,0.37,0.37,3068400
2018-10-29,0.38,0.41,0.37,0.39,0.39,3205900
2018-10-30,0.39,0.4,0.37,0.37,0.37,2065500
2018-10-31,0.39,0.61,0.39,0.59,0.59,4048500
2018-11-01,0.6,0.74,0.6,0.65,0.65,1448300
2018-11-02,0.69,0.69,0.64,0.64,0.64,1971200
2018-11-05,0.64,0.73,0.64,0.73,0.73,2121400
2018-11-06,0.78,0.78,0.66,0.66,0.66,695500
2018-11-07,0.63,0.74,0.59,0.74,0.74,2968300
2018-11-08,0.62,0.67,0.58,0.58,0.58,1171400
2018-11-09,0.58,0.58,0.54,0.56,0.56,1280000
2018-11-12,0.54,0.54,0.48,0.49,0.49,2951200
2018-11-13,0.49,0.61,0.49,0.61,0.61,2564900
2018-11-14,0.6,0.62,0.55,0.55,0.55,1081700
2018-11-15,0.58,0.6,0.52,0.53,0.53,2628000
2018-11-16,0.52,0.55,0.51,0.53,0.53,2248600
2018-11-19,0.52,0.53,0.52,0.52,0.52,1660600
2018-11-20,0.51,0.52,0.47,0.47,0.47,3157700
2018-11-21,0.46,0.48,0.43,0.47,0.47,4249600
2018-11-22,0.46,0.46,0.24,0.24,0.24,8571200
2018-11-23,0.26,0.3,0.25,0.3,0.3,8924200
2018-11-26,0.3,0.3,0.25,0.29,0.29,2654400
2018-11-27,0.28,0.3,0.27,0.27,0.27,2895300
2018-11-28,0.28,0.33,0.28,0.33,0.33,6461100
2018-11-29,0.31,0.32,0.28,0.28,0.28,2337400
2018-11-30,0.29,0.3,0.28,0.29,0.29,4689400
2018-12-03,0.32,0.32,0.29,0.29,0.29,3190100
2018-12-04,0.3,0.33,0.3,0.3,0.3,4049300
2018-12-06,0.28,0.28,0.27,0.27,0.27,1955200
2018-12-07,0.27,0.28,0.26,0.26,0.26,3764100
2018-12-11,0.26,0.27,0.25,0.25,0.25,2069600
2018-12-12,0.26,0.26,0.25,0.25,0.25,1127000
2018-12-13,0.25,0.26,0.22,0.22,0.22,2369900
2018-12-14,0.21,0.22,0.2,0.2,0.2,2217800
2018-12-17,0.21,0.22,0.12,0.13,0.13,4420900
2018-12-18,0.13,0.13,0.11,0.11,0.11,1117800
2018-12-19,0.12,0.12,0.1,0.11,0.11,1893600
2018-12-20,0.11,0.11,0.09,0.09,0.09,954800
2018-12-21,0.07,0.07,0.05,0.06,0.06,1297800
2018-12-24,0.06,0.06,0.05,0.05,0.05,380000
2018-12-25,0.04,0.04,0.04,0.04,0.04,804200
2018-12-26,0.04,0.04,0.04,0.04,0.04,360000
2018-12-27,0.04,0.04,0.03,0.04,0.04,953200
2018-12-28,0.02,0.03,0.02,0.03,0.03,127000
2019-01-02,0.03,0.04,0.03,0.04,0.04,552200
2019-01-03,0.04,0.05,0.04,0.05,0.05,670600
2019-01-04,0.05,0.06,0.05,0.06,0.06,41000
2019-01-07,0.07,0.07,0.06,0.06,0.06,102000
2019-01-08,0.04,0.05,0.04,0.05,0.05,18700
2019-01-09,0.05,0.05,0.05,0.05,0.05,25000
