Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,19.75,19.75,19.75,19.75,19.75,102
2018-01-11,19.92,19.92,19.92,19.92,19.92,100
2018-01-12,20.35,20.35,20.3,20.3,20.3,402
2018-01-15,20.3,20.3,20.3,20.3,20.3,1216
2018-01-16,20,20.15,20,20.15,20.15,103
2018-01-18,20.38,20.38,20.38,20.38,20.38,901
2018-01-19,21.2,21.2,21.2,21.2,21.2,412
2018-01-22,21.5,21.5,21.5,21.5,21.5,300
2018-01-23,21.97,21.97,21.97,21.97,21.97,1200
2018-01-24,22.17,22.17,22.17,22.17,22.17,200
2018-01-25,21.88,21.88,21.88,21.88,21.88,700
2018-01-26,21.01,21.01,21.01,21.01,21.01,501
2018-01-29,21.5,21.5,21.5,21.5,21.5,546
2018-01-30,21.98,21.98,21.98,21.98,21.98,100
2018-01-31,22.53,22.53,22.53,22.53,22.53,608
2018-02-01,22.52,22.52,22.52,22.52,22.52,976
2018-02-02,22.01,22.01,22.01,22.01,22.01,400
2018-02-05,21.64,21.64,21.64,21.64,21.64,701
2018-02-06,20.52,21,20.52,21,21,618
2018-02-07,21.78,21.78,21.57,21.57,21.57,1322
2018-02-08,21.71,21.71,21.63,21.63,21.63,1155
2018-02-09,22.32,22.32,22.32,22.32,22.32,500
2018-02-12,22.52,22.52,22.52,22.52,22.52,601
2018-02-13,22.34,22.34,22.34,22.34,22.34,1120
2018-02-14,22.49,22.49,22.49,22.49,22.49,1200
2018-02-15,22.24,22.24,22.24,22.24,22.24,600
2018-02-16,22.17,22.17,22.17,22.17,22.17,402
2018-02-19,22.22,22.28,22.05,22.05,22.05,307
2018-02-20,22.13,22.13,22.13,22.13,22.13,201
2018-02-21,22.01,22.01,22.01,22.01,22.01,1281
2018-02-22,20.76,20.76,20.45,20.45,20.45,2952
2018-02-23,21,21.7,21,21.5,21.5,3223
2018-02-26,21.8,21.86,21.5,21.6,21.6,2021
2018-02-27,21.59,21.59,20.7,20.85,20.85,4422
2018-02-28,21.01,21.07,20.99,20.99,20.99,1905
2018-03-02,20.98,21.15,20.98,20.99,20.99,1308
2018-03-05,21.08,21.08,21.08,21.08,21.08,1211
2018-03-06,20.89,20.89,20.32,20.4,20.4,906
2018-03-07,20.39,20.59,20.39,20.59,20.59,812
2018-03-08,20.58,20.79,20.58,20.79,20.79,711
2018-03-09,19.8,20,19.5,19.95,19.95,1122
2018-03-12,19.8,20.28,19.22,20,20,3716
2018-03-13,18.94,19.45,18.65,19.44,19.44,6422
2018-03-14,19.1,19.48,19.1,19.47,19.47,1363
2018-03-15,19.45,19.95,19.45,19.95,19.95,1752
2018-03-16,20.2,20.62,20.2,20.62,20.62,1780
2018-03-19,20.6,20.6,20.4,20.4,20.4,503
2018-03-20,20.45,20.65,20.45,20.56,20.56,718
2018-03-21,20.72,21.2,20.72,21.2,21.2,1413
2018-03-22,21.2,21.42,21.2,21.23,21.23,904
2018-03-23,20.98,21.18,20.98,21.18,21.18,1303
2018-03-26,21.1,21.2,21.09,21.09,21.09,114
2018-03-27,21.35,21.67,21.3,21.35,21.35,547
2018-03-28,21.36,21.42,21.36,21.4,21.4,705
2018-03-29,21.4,21.74,21,21.74,21.74,1719
2018-03-30,21.2,21.38,20.7,21,21,2034
2018-04-02,21.24,21.45,21.24,21.45,21.45,732
2018-04-03,21.4,21.94,21.4,21.58,21.58,1410
2018-04-04,21.83,21.9,21.16,21.16,21.16,1042
2018-04-05,21.44,21.44,20.94,21.2,21.2,669
2018-04-09,21.4,21.7,21.4,21.7,21.7,448
2018-04-10,21.85,21.85,21.44,21.64,21.64,936
2018-04-11,21.54,21.54,21.54,21.54,21.54,201
2018-04-12,21.53,21.6,21.53,21.6,21.6,2
2018-04-17,22.1,22.54,22.1,22.49,22.49,1864
2018-04-18,22.85,22.95,22.45,22.62,22.62,940
2018-04-19,22.64,22.86,22.55,22.85,22.85,2388
2018-04-20,22.9,23,22.85,22.98,22.98,2012
2018-04-23,22.95,22.95,22.55,22.55,22.55,1518
2018-04-24,22.65,22.65,22.54,22.54,22.54,207
2018-04-25,22.44,23,22.34,22.5,22.5,673
2018-04-26,22.44,22.65,22.4,22.44,22.44,311
2018-04-27,22.44,22.9,22.44,22.88,22.88,428
2018-04-30,23.35,23.35,23,23,23,1816
2018-05-02,23,23,22.6,23,23,546
2018-05-03,23,23,22.75,22.77,22.77,415
2018-05-04,22.62,23,22.52,22.7,22.7,839
2018-05-07,22.7,22.7,22.51,22.55,22.55,30
2018-05-08,22.65,22.72,22.31,22.35,22.35,862
2018-05-10,21.25,21.59,21.05,21.45,21.45,2032
2018-05-11,21.35,21.35,21.1,21.1,21.1,2621
2018-05-14,21.16,21.45,19.79,21.29,21.29,3329
2018-05-15,21,21,20.5,20.78,20.78,3282
2018-05-16,20.5,20.5,19.4,19.51,19.51,5060
2018-05-17,19.6,19.65,18.8,19.5,19.5,4455
2018-05-18,19.55,19.92,19.2,19.2,19.2,3027
2018-05-21,19.4,19.51,19.1,19.5,19.5,4983
2018-05-22,19.5,20.04,19.5,19.75,19.75,1303
2018-05-23,19.64,19.64,19.3,19.3,19.3,1753
2018-05-24,19.35,19.46,19.1,19.1,19.1,2263
2018-05-25,19.25,19.25,17.11,17.4,17.4,9594
2018-05-28,17.66,17.89,17,17.8,17.8,4160
2018-05-30,17.5,17.94,17.45,17.8,17.8,1631
2018-05-31,17.7,17.7,17.25,17.4,17.4,3160
2018-06-01,17.4,17.52,17.29,17.3,17.3,3939
2018-06-04,17.4,17.45,15.57,15.85,15.85,3304
2018-06-05,15.95,16,13.76,15.65,15.65,10419
2018-06-06,15.7,15.7,14.96,15.16,15.16,11077
2018-06-07,15.2,16.6,15.2,16.35,16.35,7525
2018-06-08,16.21,16.8,15.96,16.32,16.32,3209
2018-06-11,16.7,16.7,16.25,16.45,16.45,2521
2018-06-12,16.6,16.6,16.35,16.45,16.45,5499
2018-06-13,16.4,16.62,16.05,16.1,16.1,1077
2018-06-14,16.15,16.39,15.65,16.2,16.2,722
2018-06-15,16.25,16.5,16.15,16.31,16.31,437
2018-06-18,16.26,16.26,15.8,15.8,15.8,286
2018-06-19,15.64,15.82,15.06,15.41,15.41,1338
2018-06-20,15.6,16.09,15.5,15.85,15.85,306
2018-06-21,15.8,15.81,15.2,15.28,15.28,161
2018-06-22,15.5,15.65,14.57,14.6,14.6,2405
2018-06-25,14.9,15.11,14.3,14.3,14.3,551
2018-06-26,14,14.53,13.8,14.29,14.29,509
2018-06-27,14.43,14.43,13.87,13.87,13.87,818
2018-06-28,12.82,12.83,12.4,12.5,12.5,125
