Date,Open,High,Low,Close,Adj Close,Volume
2017-12-04,0.24,0.24,0.21,0.21,0.21,3963600
2017-12-06,0.21,0.21,0.18,0.18,0.18,6780900
2017-12-07,0.17,0.19,0.17,0.17,0.17,10378300
2017-12-08,0.18,0.19,0.17,0.17,0.17,4682600
2017-12-12,0.16,0.16,0.16,0.16,0.16,17134000
2017-12-13,0.15,0.15,0.14,0.14,0.14,11882700
2017-12-14,0.14,0.15,0.12,0.14,0.14,25000600
2017-12-15,0.13,0.13,0.11,0.11,0.11,30795700
2017-12-18,0.11,0.13,0.11,0.13,0.13,26692300
2017-12-19,0.13,0.14,0.13,0.14,0.14,11792800
2017-12-20,0.14,0.14,0.13,0.14,0.14,11095200
2017-12-21,0.13,0.13,0.12,0.13,0.13,17081100
2017-12-22,0.14,0.15,0.13,0.13,0.13,16409300
2017-12-25,0.13,0.13,0.12,0.13,0.13,15403100
2017-12-26,0.13,0.13,0.11,0.11,0.11,2250600
2017-12-27,0.12,0.13,0.12,0.12,0.12,2251300
2017-12-28,0.12,0.12,0.11,0.12,0.12,4983000
2017-12-29,0.11,0.12,0.1,0.11,0.11,2086300
2018-01-03,0.13,0.13,0.11,0.12,0.12,6577600
2018-01-04,0.12,0.18,0.12,0.15,0.15,23656800
2018-01-05,0.15,0.17,0.15,0.16,0.16,12391400
2018-01-08,0.16,0.16,0.13,0.13,0.13,9406300
2018-01-09,0.13,0.13,0.11,0.12,0.12,1775800
2018-01-10,0.12,0.12,0.11,0.11,0.11,4335700
2018-01-11,0.11,0.11,0.1,0.11,0.11,4008500
2018-01-12,0.11,0.11,0.1,0.1,0.1,5517300
2018-01-15,0.09,0.09,0.08,0.08,0.08,3245000
2018-01-16,0.09,0.09,0.07,0.07,0.07,712300
2018-01-17,0.07,0.07,0.07,0.07,0.07,828500
2018-01-18,0.06,0.07,0.05,0.07,0.07,3222700
2018-01-19,0.07,0.07,0.05,0.06,0.06,2822400
2018-01-22,0.06,0.08,0.06,0.07,0.07,1724700
2018-01-23,0.06,0.06,0.06,0.06,0.06,829000
2018-01-24,0.06,0.06,0.06,0.06,0.06,930100
2018-01-25,0.06,0.06,0.06,0.06,0.06,992400
2018-01-26,0.05,0.05,0.05,0.05,0.05,2600000
2018-01-29,0.05,0.05,0.05,0.05,0.05,2364000
2018-01-30,0.05,0.05,0.05,0.05,0.05,20000
2018-01-31,0.05,0.05,0.04,0.04,0.04,1525100
2018-02-01,0.04,0.04,0.03,0.04,0.04,1799100
2018-02-02,0.04,0.05,0.04,0.05,0.05,1379200
2018-02-05,0.04,0.04,0.04,0.04,0.04,1925100
2018-02-06,0.04,0.04,0.04,0.04,0.04,1000
2018-02-07,0.04,0.04,0.04,0.04,0.04,52100
2018-02-08,0.04,0.04,0.03,0.03,0.03,150100
2018-02-09,0.03,0.03,0.03,0.03,0.03,20000
2018-02-12,0.03,0.03,0.03,0.03,0.03,281600
2018-02-13,0.03,0.04,0.03,0.03,0.03,1055300
2018-02-14,0.03,0.03,0.02,0.02,0.02,1589000
2018-02-19,0.02,0.02,0.02,0.02,0.02,1544100
2018-02-20,0.02,0.02,0.01,0.02,0.02,780000
2018-02-21,0.02,0.02,0.01,0.02,0.02,25300
2018-02-26,0.01,0.01,0.01,0.01,0.01,195200
2018-02-27,0.01,0.01,0.01,0.01,0.01,3950000
2018-03-02,0.01,0.01,0.01,0.01,0.01,4355200
2018-03-05,0.02,0.02,0.02,0.02,0.02,2360300
2018-03-06,0.02,0.02,0.02,0.02,0.02,1300000
2018-03-09,0.02,0.02,0.02,0.02,0.02,867000
2018-03-13,0.03,0.04,0.03,0.04,0.04,5784000
2018-03-14,0.04,0.06,0.04,0.06,0.06,5560400
2018-03-15,0.06,0.06,0.04,0.06,0.06,6026400
2018-03-16,0.05,0.05,0.04,0.04,0.04,4536700
2018-03-19,0.04,0.04,0.02,0.04,0.04,1292300
2018-03-20,0.04,0.05,0.04,0.04,0.04,95500
2018-03-21,0.04,0.05,0.04,0.05,0.05,920400
2018-03-22,0.04,0.04,0.03,0.04,0.04,457200
2018-03-23,0.03,0.03,0.03,0.03,0.03,1268000
2018-03-26,0.04,0.04,0.04,0.04,0.04,7000
2018-03-27,0.04,0.04,0.03,0.03,0.03,1630000
2018-03-29,0.02,0.02,0.02,0.02,0.02,1001700
2018-03-30,0.02,0.02,0.02,0.02,0.02,300000
2018-04-02,0.03,0.03,0.02,0.03,0.03,5016800
2018-04-03,0.02,0.02,0.01,0.02,0.02,1900900
2018-04-09,0.01,0.01,0.01,0.01,0.01,1289000
2018-04-24,0.01,0.01,0.01,0.01,0.01,5600
2018-05-21,0.01,0.01,0.01,0.01,0.01,500
