Date,Open,High,Low,Close,Adj Close,Volume
2017-11-10,0.26,0.27,0.25,0.25,0.25,2470000
2017-11-13,0.25,0.26,0.24,0.24,0.24,2274700
2017-11-14,0.24,0.25,0.24,0.24,0.24,1758300
2017-11-15,0.23,0.23,0.23,0.23,0.23,640500
2017-11-16,0.23,0.25,0.23,0.24,0.24,2325300
2017-11-17,0.24,0.24,0.23,0.24,0.24,3125900
2017-11-20,0.24,0.24,0.24,0.24,0.24,7375000
2017-11-21,0.24,0.24,0.24,0.24,0.24,200000
2017-11-23,0.23,0.23,0.21,0.21,0.21,2038000
2017-11-24,0.21,0.21,0.21,0.21,0.21,564400
2017-11-27,0.21,0.22,0.21,0.22,0.22,321600
2017-11-28,0.22,0.22,0.22,0.22,0.22,1486000
2017-11-30,0.21,0.21,0.2,0.2,0.2,5310200
2017-12-01,0.21,0.21,0.2,0.2,0.2,8880200
2017-12-04,0.21,0.21,0.19,0.2,0.2,8749100
2017-12-06,0.19,0.19,0.18,0.19,0.19,435400
2017-12-07,0.18,0.18,0.16,0.16,0.16,8000400
2017-12-08,0.16,0.17,0.16,0.17,0.17,12533000
2017-12-12,0.16,0.16,0.16,0.16,0.16,10100
2017-12-13,0.14,0.16,0.14,0.15,0.15,6263600
2017-12-14,0.16,0.16,0.16,0.16,0.16,2548700
2017-12-18,0.15,0.15,0.15,0.15,0.15,20000
2017-12-19,0.15,0.16,0.15,0.16,0.16,435800
2017-12-20,0.15,0.15,0.15,0.15,0.15,327800
2017-12-21,0.15,0.15,0.15,0.15,0.15,20200
2017-12-22,0.15,0.15,0.15,0.15,0.15,1547200
2017-12-25,0.16,0.17,0.16,0.17,0.17,5670800
2017-12-26,0.16,0.17,0.16,0.16,0.16,2565000
2017-12-27,0.16,0.16,0.15,0.15,0.15,150000
2017-12-28,0.15,0.15,0.14,0.14,0.14,6937800
2017-12-29,0.14,0.15,0.14,0.14,0.14,6034800
2018-01-03,0.14,0.14,0.14,0.14,0.14,2799800
2018-01-04,0.14,0.15,0.14,0.14,0.14,3045000
2018-01-05,0.14,0.17,0.14,0.16,0.16,8512200
2018-01-08,0.16,0.16,0.15,0.15,0.15,3625000
2018-01-09,0.14,0.15,0.13,0.15,0.15,5134600
2018-01-10,0.14,0.14,0.13,0.13,0.13,1657800
2018-01-11,0.13,0.14,0.13,0.14,0.14,2948200
2018-01-12,0.13,0.13,0.13,0.13,0.13,500000
2018-01-15,0.12,0.12,0.12,0.12,0.12,2110800
2018-01-16,0.11,0.13,0.11,0.13,0.13,9182800
2018-01-17,0.13,0.13,0.12,0.12,0.12,8991300
2018-01-18,0.12,0.12,0.12,0.12,0.12,720000
2018-01-19,0.12,0.12,0.12,0.12,0.12,2820800
2018-01-22,0.12,0.13,0.12,0.12,0.12,5304300
2018-01-23,0.12,0.12,0.11,0.12,0.12,6141600
2018-01-24,0.11,0.11,0.11,0.11,0.11,1185800
2018-01-25,0.11,0.11,0.11,0.11,0.11,6027800
2018-01-26,0.1,0.11,0.1,0.11,0.11,102000
2018-01-29,0.1,0.11,0.1,0.11,0.11,2234000
2018-01-30,0.1,0.1,0.1,0.1,0.1,1024100
2018-01-31,0.1,0.1,0.1,0.1,0.1,200000
2018-02-01,0.11,0.11,0.11,0.11,0.11,3087600
2018-02-02,0.1,0.1,0.1,0.1,0.1,693600
2018-02-05,0.09,0.09,0.09,0.09,0.09,1000000
2018-02-06,0.07,0.07,0.07,0.07,0.07,500500
2018-02-07,0.08,0.08,0.08,0.08,0.08,220300
2018-02-08,0.07,0.07,0.07,0.07,0.07,1420000
2018-02-09,0.07,0.07,0.07,0.07,0.07,504500
2018-02-12,0.07,0.07,0.06,0.07,0.07,1022200
2018-02-13,0.07,0.07,0.07,0.07,0.07,100000
2018-02-15,0.07,0.07,0.07,0.07,0.07,100000
2018-02-19,0.07,0.07,0.06,0.06,0.06,401000
2018-02-20,0.06,0.06,0.06,0.06,0.06,210000
2018-02-21,0.06,0.06,0.06,0.06,0.06,20000
2018-02-22,0.05,0.05,0.04,0.04,0.04,1659000
2018-02-23,0.05,0.05,0.05,0.05,0.05,1160000
2018-02-27,0.05,0.05,0.04,0.05,0.05,1430000
2018-02-28,0.05,0.05,0.05,0.05,0.05,100500
2018-03-02,0.04,0.04,0.04,0.04,0.04,31000
2018-03-05,0.03,0.04,0.03,0.04,0.04,871000
2018-03-06,0.04,0.04,0.04,0.04,0.04,60000
2018-03-07,0.04,0.04,0.04,0.04,0.04,2000
2018-03-08,0.03,0.04,0.03,0.04,0.04,46000
2018-03-12,0.03,0.04,0.03,0.03,0.03,400000
2018-03-13,0.03,0.03,0.03,0.03,0.03,12000
2018-03-14,0.03,0.03,0.03,0.03,0.03,9000
2018-03-15,0.03,0.03,0.03,0.03,0.03,215000
2018-03-21,0.03,0.03,0.03,0.03,0.03,60000
2018-03-26,0.02,0.03,0.02,0.03,0.03,128000
2018-03-29,0.02,0.02,0.02,0.02,0.02,3260100
2018-03-30,0.01,0.01,0.01,0.01,0.01,1600
2018-04-03,0.03,0.03,0.03,0.03,0.03,1097700
2018-04-05,0.01,0.01,0.01,0.01,0.01,400
2018-04-11,0.03,0.03,0.03,0.03,0.03,100000
2018-04-19,0.02,0.02,0.02,0.02,0.02,400
2018-04-24,0.01,0.01,0.01,0.01,0.01,1100000
2018-04-26,0.02,0.02,0.02,0.02,0.02,102100
2018-04-27,0.02,0.02,0.02,0.02,0.02,100000
2018-05-04,0.01,0.01,0.01,0.01,0.01,798600
2018-05-08,0.01,0.01,0.01,0.01,0.01,1900
2018-05-09,0.01,0.01,0.01,0.01,0.01,304500
2018-05-14,0.01,0.01,0.01,0.01,0.01,520000
