Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,1.29,1.29,1.29,1.29,1.29,100000
2017-03-02,1.27,1.3,1.27,1.3,1.3,2045700
2017-03-03,1.28,1.32,1.28,1.31,1.31,1224000
2017-03-06,1.31,1.31,1.28,1.3,1.3,505200
2017-03-07,1.28,1.28,1.27,1.27,1.27,157900
2017-03-08,1.26,1.29,1.26,1.28,1.28,1623300
2017-03-09,1.27,1.27,1.27,1.27,1.27,110800
2017-03-10,1.27,1.27,1.25,1.26,1.26,1342200
2017-03-13,1.24,1.24,1.19,1.2,1.2,1645000
2017-03-14,1.21,1.22,1.18,1.2,1.2,857200
2017-03-15,1.22,1.22,1.17,1.18,1.18,1395800
2017-03-16,1.2,1.21,1.15,1.18,1.18,756400
2017-03-17,1.18,1.21,1.18,1.2,1.2,655400
2017-03-20,1.16,1.18,1.16,1.18,1.18,553200
2017-03-21,1.17,1.17,1.15,1.15,1.15,349400
2017-03-22,1.17,1.21,1.17,1.2,1.2,766500
2017-03-23,1.2,1.22,1.2,1.21,1.21,62100
2017-03-24,1.22,1.22,1.21,1.21,1.21,499400
2017-03-27,1.21,1.22,1.21,1.22,1.22,431200
2017-03-28,1.19,1.21,1.18,1.18,1.18,546400
2017-03-30,1.16,1.16,1.13,1.13,1.13,1964200
2017-03-31,1.12,1.14,1.11,1.12,1.12,5769200
2017-04-03,1.1,1.14,1.1,1.13,1.13,643200
2017-04-04,1.14,1.14,1.1,1.1,1.1,406400
2017-04-05,1.12,1.13,1.12,1.13,1.13,448200
2017-04-07,1.14,1.15,1.14,1.14,1.14,650800
2017-04-10,1.14,1.14,1.12,1.12,1.12,642300
2017-04-11,1.11,1.12,1.11,1.11,1.11,886000
2017-04-12,1.13,1.13,1.11,1.11,1.11,226600
2017-04-17,1.1,1.16,1.1,1.16,1.16,2144500
2017-04-18,1.16,1.2,1.16,1.19,1.19,998600
2017-04-19,1.21,1.22,1.17,1.2,1.2,2060400
2017-04-20,1.18,1.19,1.16,1.17,1.17,1264800
2017-04-21,1.18,1.21,1.18,1.21,1.21,615100
2017-04-24,1.17,1.18,1.16,1.18,1.18,1173000
2017-04-25,1.15,1.19,1.15,1.19,1.19,1342800
2017-04-26,1.18,1.18,1.17,1.17,1.17,861400
2017-04-27,1.16,1.16,1.13,1.15,1.15,1135600
2017-04-28,1.14,1.15,1.12,1.15,1.15,454100
2017-05-02,1.16,1.19,1.16,1.18,1.18,691100
2017-05-03,1.17,1.17,1.15,1.15,1.15,287200
2017-05-04,1.14,1.15,1.11,1.11,1.11,664900
2017-05-05,1.09,1.09,1.05,1.05,1.05,317400
2017-05-08,1.06,1.06,1.04,1.05,1.05,452900
2017-05-09,1.04,1.04,1.01,1.02,1.02,532500
2017-05-11,1.01,1.02,1.01,1.01,1.01,1043900
2017-05-12,1.02,1.02,0.99,0.99,0.99,694100
2017-05-15,0.99,0.99,0.97,0.97,0.97,585000
2017-05-16,0.99,1.03,0.98,1.02,1.02,1263800
2017-05-17,1.01,1.08,1.01,1.05,1.05,1936500
2017-05-18,1.07,1.07,1.05,1.06,1.06,460000
2017-05-19,1.05,1.08,1.05,1.07,1.07,1391900
2017-05-22,1.04,1.06,1.03,1.04,1.04,644200
2017-05-23,1.04,1.06,1.04,1.06,1.06,782200
2017-05-24,1.05,1.08,1.05,1.08,1.08,682600
