Date,Open,High,Low,Close,Adj Close,Volume
2016-12-06,0.76,0.8,0.74,0.75,0.75,2989200
2016-12-07,0.78,0.8,0.78,0.78,0.78,878200
2016-12-08,0.78,0.78,0.74,0.74,0.74,772200
2016-12-09,0.73,0.75,0.61,0.61,0.61,2645400
2016-12-13,0.61,0.61,0.57,0.6,0.6,7031700
2016-12-14,0.61,0.61,0.55,0.55,0.55,2491100
2016-12-15,0.56,0.58,0.55,0.58,0.58,4711200
2016-12-16,0.56,0.57,0.55,0.55,0.55,465200
2016-12-19,0.54,0.56,0.54,0.55,0.55,249600
2016-12-20,0.56,0.57,0.54,0.55,0.55,4031600
2016-12-21,0.54,0.54,0.54,0.54,0.54,949600
2016-12-22,0.51,0.52,0.51,0.51,0.51,616400
2016-12-23,0.5,0.5,0.46,0.46,0.46,2105800
2016-12-26,0.43,0.44,0.43,0.43,0.43,228400
2016-12-27,0.44,0.48,0.44,0.46,0.46,4879100
2016-12-28,0.48,0.5,0.47,0.5,0.5,2818000
2016-12-29,0.49,0.54,0.48,0.54,0.54,2596500
2016-12-30,0.52,0.53,0.52,0.52,0.52,1554600
2017-01-04,0.51,0.57,0.51,0.56,0.56,3515200
2017-01-05,0.54,0.56,0.54,0.56,0.56,2075000
2017-01-06,0.57,0.58,0.54,0.57,0.57,1442900
2017-01-09,0.57,0.57,0.54,0.54,0.54,767400
2017-01-10,0.53,0.54,0.52,0.54,0.54,3329200
2017-01-11,0.53,0.54,0.53,0.54,0.54,1274600
2017-01-12,0.54,0.55,0.53,0.53,0.53,801000
2017-01-13,0.54,0.54,0.53,0.53,0.53,1694700
2017-01-16,0.52,0.52,0.51,0.52,0.52,405000
2017-01-17,0.52,0.52,0.49,0.5,0.5,1112500
2017-01-18,0.49,0.49,0.47,0.48,0.48,1152200
2017-01-19,0.46,0.46,0.44,0.44,0.44,1622700
2017-01-20,0.45,0.45,0.44,0.44,0.44,1874800
2017-01-23,0.45,0.45,0.43,0.45,0.45,1423100
2017-01-24,0.44,0.47,0.43,0.46,0.46,3343600
2017-01-25,0.46,0.46,0.45,0.45,0.45,1066900
2017-01-26,0.45,0.48,0.45,0.47,0.47,4253200
2017-01-27,0.46,0.47,0.42,0.42,0.42,1507500
2017-01-30,0.43,0.45,0.43,0.43,0.43,500700
2017-01-31,0.42,0.43,0.4,0.4,0.4,2187000
