Date,Open,High,Low,Close,Adj Close,Volume
2012-08-28,0.97,0.97,0.97,0.97,0.97,10000
2012-08-29,0.94,0.94,0.94,0.94,0.94,10000
2012-08-30,0.89,0.89,0.89,0.89,0.89,2000
2012-08-31,0.91,0.91,0.91,0.91,0.91,2000
2012-09-05,1.1,1.1,1.1,1.1,1.1,3000
2012-09-07,1.09,1.09,1.09,1.09,1.09,3000
2012-09-10,1.07,1.07,1.05,1.05,1.05,7000
2012-09-17,1.03,1.03,1.01,1.01,1.01,7000
2012-09-18,1,1,1,1,1,5000
2012-09-25,1.03,1.04,1.03,1.03,1.03,85000
2012-09-27,1.05,1.05,1.05,1.05,1.05,20000
2012-10-03,1.02,1.02,1.02,1.02,1.02,5000
2012-10-04,1,1,1,1,1,1000
2012-10-08,1.04,1.05,1.02,1.02,1.02,280000
2012-10-10,0.99,0.99,0.99,0.99,0.99,2000
2012-10-15,0.94,0.94,0.94,0.94,0.94,2000
2012-10-16,0.9,0.9,0.9,0.9,0.9,10000
2012-10-17,0.93,0.93,0.93,0.93,0.93,3000
2012-10-19,0.91,0.91,0.9,0.9,0.9,120000
2012-10-24,0.87,0.87,0.87,0.87,0.87,3000
2012-10-29,0.82,0.82,0.82,0.82,0.82,2000
2012-10-31,0.82,0.82,0.81,0.81,0.81,60500
2012-11-01,0.83,0.83,0.83,0.83,0.83,3000
2012-11-05,0.85,0.85,0.85,0.85,0.85,5000
2012-11-06,0.88,0.88,0.88,0.88,0.88,3000
2012-11-07,0.87,0.87,0.87,0.87,0.87,3000
2012-11-08,0.81,0.81,0.81,0.81,0.81,3000
2012-11-15,0.75,0.75,0.75,0.75,0.75,2000
2012-11-21,0.74,0.74,0.74,0.74,0.74,5000
2012-11-22,0.74,0.74,0.74,0.74,0.74,20000
2012-12-06,0.77,0.77,0.77,0.77,0.77,120000
2012-12-11,0.73,0.73,0.73,0.73,0.73,5000
2012-12-18,0.69,0.69,0.69,0.69,0.69,10000
2012-12-28,0.71,0.71,0.71,0.71,0.71,15000
2013-01-03,0.7,0.71,0.7,0.71,0.71,8000
2013-01-04,0.67,0.67,0.67,0.67,0.67,10000
2013-01-07,0.69,0.75,0.69,0.74,0.74,422400
2013-01-22,0.67,0.67,0.67,0.67,0.67,10000
2013-01-23,0.66,0.66,0.66,0.66,0.66,100000
2013-01-24,0.65,0.65,0.65,0.65,0.65,110000
2013-01-28,0.69,0.69,0.69,0.69,0.69,10000
2013-01-29,0.67,0.68,0.67,0.68,0.68,10000
2013-01-30,0.72,0.74,0.71,0.74,0.74,1230200
2013-02-01,0.77,0.77,0.76,0.77,0.77,802000
2013-02-05,0.71,0.72,0.71,0.72,0.72,220500
2013-02-06,0.73,0.73,0.73,0.73,0.73,220000
2013-02-07,0.67,0.67,0.66,0.67,0.67,2424000
2013-02-08,0.7,0.71,0.67,0.67,0.67,823000
2013-02-11,0.7,0.71,0.7,0.71,0.71,201000
2013-02-13,0.72,0.8,0.72,0.79,0.79,1722500
2013-02-14,0.84,1.01,0.84,0.9,0.9,2951000
2013-02-15,0.93,0.93,0.93,0.93,0.93,2000
2013-02-18,0.92,0.98,0.92,0.92,0.92,182500
2013-02-19,0.92,1.01,0.92,1.01,1.01,305000
2013-02-20,1.11,1.26,1.09,1.13,1.13,2348700
2013-02-21,1.16,1.2,1.16,1.2,1.2,9000
2013-02-22,1.13,1.15,1.11,1.11,1.11,856000
2013-02-26,1.2,1.2,1.11,1.11,1.11,133000
2013-02-27,1.06,1.06,1.01,1.01,1.01,132000
2013-02-28,1.04,1.04,0.93,0.97,0.97,220000
2013-03-01,1,1.03,0.97,0.97,0.97,420300
2013-03-04,0.99,0.99,0.96,0.96,0.96,545000
2013-03-05,0.93,0.99,0.93,0.99,0.99,75000
2013-03-06,0.97,0.97,0.96,0.97,0.97,7200
2013-03-07,1.07,1.08,1.06,1.08,1.08,286200
2013-03-08,1.12,1.12,1.09,1.12,1.12,175000
2013-03-11,1.15,1.18,1.15,1.18,1.18,50200
2013-03-14,1.11,1.11,1.08,1.09,1.09,14500
2013-03-15,1.13,1.13,1.13,1.13,1.13,50000
2013-03-18,1.09,1.09,1.09,1.09,1.09,9200
2013-03-19,1.11,1.11,1.11,1.11,1.11,2500
2013-03-25,0.86,0.89,0.86,0.87,0.87,1090900
2013-03-27,0.89,0.89,0.89,0.89,0.89,900
2013-04-01,0.89,0.89,0.86,0.89,0.89,1255000
2013-04-02,0.86,0.86,0.85,0.85,0.85,183000
2013-04-03,0.8,0.81,0.8,0.81,0.81,880700
2013-04-04,0.74,0.74,0.7,0.7,0.7,1539200
2013-04-05,0.74,0.74,0.73,0.73,0.73,501500
2013-04-10,0.63,0.7,0.62,0.69,0.69,980000
2013-04-11,0.72,0.72,0.72,0.72,0.72,25000
2013-04-19,0.72,0.72,0.72,0.72,0.72,50000
