Date,Open,High,Low,Close,Adj Close,Volume
2014-05-23,112,113.4,112,113.4,113.4,20
2014-08-01,125,125,125,125,125,7
2014-09-09,136.62,136.62,136.62,136.62,136.62,7
2014-10-03,131.43,131.43,131.43,131.43,131.43,20
2014-10-06,125.38,125.38,125.38,125.38,125.38,20
2014-12-26,140.32,140.32,140.32,140.32,140.32,20
2015-01-06,136.88,136.88,136.88,136.88,136.88,20
2015-01-13,139.3,139.3,139.3,139.3,139.3,30
2015-01-15,137.92,137.92,137.92,137.92,137.92,50
2015-01-19,140.92,140.92,140.92,140.92,140.92,60
2015-01-20,146.37,146.37,146.37,146.37,146.37,40
2015-01-26,162,162,162,162,162,20
2015-01-27,158.37,158.37,158.37,158.37,158.37,20
2015-01-30,157.5,157.5,157.5,157.5,157.5,20
2015-02-04,163.41,163.41,163.41,163.41,163.41,20
2015-02-05,159.77,159.77,159.77,159.77,159.77,20
2015-02-10,154,154,154,154,154,20
2015-02-11,155.5,155.5,155.5,155.5,155.5,1
2015-02-12,157.71,157.71,157.71,157.71,157.71,21
2015-02-13,160.43,160.43,160.43,160.43,160.43,60
2015-02-17,155.33,155.33,155.33,155.33,155.33,40
2015-02-19,156,156,156,156,156,20
2015-02-25,156.71,156.71,156.71,156.71,156.71,20
