Date,Open,High,Low,Close,Adj Close,Volume
2018-07-20,0.46,0.51,0.46,0.51,0.51,2604200
2018-07-23,0.47,0.5,0.46,0.5,0.5,3371900
2018-07-24,0.49,0.49,0.47,0.47,0.47,4284900
2018-07-25,0.48,0.53,0.48,0.52,0.52,2925600
2018-07-26,0.52,0.56,0.52,0.55,0.55,2718300
2018-07-31,0.53,0.54,0.53,0.53,0.53,2617100
2018-08-01,0.56,0.57,0.51,0.52,0.52,4415900
2018-08-02,0.51,0.53,0.5,0.5,0.5,1376500
2018-08-03,0.51,0.52,0.5,0.5,0.5,1669800
2018-08-06,0.52,0.53,0.47,0.48,0.48,4938800
2018-08-07,0.5,0.51,0.49,0.5,0.5,1974800
2018-08-08,0.5,0.5,0.49,0.5,0.5,2154400
2018-08-09,0.51,0.57,0.51,0.54,0.54,4627200
2018-08-10,0.54,0.54,0.49,0.49,0.49,4164700
2018-08-14,0.49,0.49,0.42,0.43,0.43,4676100
2018-08-15,0.45,0.47,0.41,0.41,0.41,4098700
2018-08-16,0.4,0.46,0.4,0.46,0.46,4083800
2018-08-17,0.46,0.53,0.46,0.5,0.5,4191600
2018-08-20,0.51,0.51,0.47,0.5,0.5,2929400
2018-08-21,0.52,0.52,0.45,0.46,0.46,6058600
2018-08-22,0.45,0.49,0.45,0.47,0.47,2233200
2018-08-23,0.49,0.5,0.49,0.5,0.5,3309000
2018-08-24,0.47,0.51,0.47,0.51,0.51,1745800
2018-08-27,0.55,0.62,0.55,0.6,0.6,6350800
2018-08-28,0.6,0.61,0.53,0.56,0.56,5509500
2018-08-29,0.58,0.59,0.58,0.58,0.58,1704200
2018-08-30,0.58,0.58,0.55,0.55,0.55,385500
2018-08-31,0.53,0.58,0.53,0.55,0.55,2554000
2018-09-03,0.56,0.56,0.53,0.53,0.53,1971600
2018-09-04,0.54,0.57,0.53,0.54,0.54,3403200
2018-09-05,0.48,0.5,0.42,0.42,0.42,6284800
2018-09-06,0.43,0.47,0.43,0.46,0.46,5044100
2018-09-07,0.45,0.46,0.44,0.45,0.45,3799000
2018-09-10,0.42,0.44,0.42,0.44,0.44,1723900
2018-09-11,0.44,0.44,0.39,0.4,0.4,3044900
2018-09-12,0.38,0.44,0.38,0.41,0.41,4856100
2018-09-13,0.46,0.55,0.46,0.54,0.54,6634300
2018-09-14,0.56,0.57,0.53,0.55,0.55,1996500
2018-09-17,0.54,0.54,0.54,0.54,0.54,869400
2018-09-18,0.52,0.61,0.52,0.59,0.59,2429800
2018-09-19,0.6,0.7,0.6,0.63,0.63,8102600
2018-09-20,0.63,0.64,0.57,0.57,0.57,616500
2018-09-21,0.59,0.67,0.59,0.64,0.64,6235600
2018-09-24,0.6,0.6,0.55,0.55,0.55,1124700
2018-09-25,0.54,0.58,0.54,0.54,0.54,3201800
2018-09-26,0.55,0.61,0.55,0.55,0.55,4959200
2018-09-27,0.55,0.56,0.51,0.55,0.55,5092500
2018-09-28,0.59,0.59,0.54,0.54,0.54,2097200
2018-10-01,0.55,0.55,0.52,0.54,0.54,4629300
2018-10-02,0.53,0.56,0.45,0.46,0.46,7139300
2018-10-03,0.46,0.5,0.46,0.46,0.46,5099800
2018-10-04,0.43,0.44,0.42,0.42,0.42,2704200
2018-10-05,0.41,0.44,0.4,0.4,0.4,2344800
2018-10-08,0.4,0.41,0.37,0.37,0.37,1837600
2018-10-09,0.37,0.39,0.36,0.37,0.37,5081000
2018-10-10,0.39,0.44,0.39,0.44,0.44,4757800
2018-10-11,0.32,0.33,0.31,0.32,0.32,6446000
2018-10-12,0.34,0.38,0.34,0.38,0.38,11237900
2018-10-16,0.37,0.41,0.37,0.38,0.38,10395100
2018-10-17,0.41,0.43,0.38,0.38,0.38,1969800
2018-10-18,0.34,0.37,0.34,0.37,0.37,1868600
2018-10-19,0.32,0.34,0.29,0.29,0.29,5616800
2018-10-22,0.28,0.29,0.25,0.26,0.26,7559000
2018-10-24,0.22,0.27,0.22,0.24,0.24,2589400
2018-10-25,0.19,0.27,0.17,0.26,0.26,14614100
2018-10-26,0.25,0.26,0.23,0.25,0.25,6657500
2018-10-29,0.24,0.28,0.24,0.26,0.26,8700000
2018-10-30,0.26,0.27,0.23,0.23,0.23,7565200
