Date,Open,High,Low,Close,Adj Close,Volume
2014-05-21,1.32,1.32,1.28,1.28,1.28,6067400
2014-05-22,1.24,1.24,1.21,1.22,1.22,22000
2014-05-23,1.25,1.28,1.23,1.23,1.23,6400000
2014-05-26,1.21,1.24,1.21,1.24,1.24,40000
2014-05-27,1.22,1.22,1.19,1.2,1.2,27000
2014-05-28,1.17,1.18,1.16,1.16,1.16,157600
2014-05-29,1.17,1.17,1.17,1.17,1.17,20000
2014-05-30,1.12,1.13,1.12,1.13,1.13,3200
2014-06-02,1.1,1.12,1.1,1.12,1.12,48600
2014-06-03,1.1,1.12,1.1,1.12,1.12,403200
2014-06-04,1.11,1.12,1.11,1.12,1.12,20000
2014-06-05,1.11,1.14,1.11,1.14,1.14,60000
2014-06-06,1.14,1.15,1.14,1.15,1.15,231000
2014-06-09,1.14,1.14,1.14,1.14,1.14,120000
2014-06-10,1.12,1.12,1.12,1.12,1.12,13600
2014-06-11,1.12,1.12,1.12,1.12,1.12,110400
2014-06-12,1.12,1.12,1.12,1.12,1.12,115000
2014-06-13,1.12,1.12,1.12,1.12,1.12,10000
2014-06-16,1.07,1.09,1.07,1.09,1.09,15200
2014-06-17,1.07,1.08,1.07,1.08,1.08,20000
2014-06-18,1.09,1.1,1.09,1.1,1.1,60000
2014-06-19,1.11,1.11,1.11,1.11,1.11,30000
2014-06-23,1.11,1.12,1.11,1.12,1.12,232200
2014-06-24,1.13,1.14,1.13,1.14,1.14,28000
2014-06-25,1.13,1.13,1.13,1.13,1.13,10000
2014-06-26,1.13,1.13,1.13,1.13,1.13,10000
2014-06-27,1.1,1.1,1.1,1.1,1.1,103000
2014-06-30,1.07,1.07,1.07,1.07,1.07,62000
2014-07-02,1.08,1.09,1.08,1.09,1.09,705200
2014-07-03,1.1,1.11,1.1,1.11,1.11,221000
2014-07-07,1.11,1.11,1.11,1.11,1.11,110000
2014-07-09,1.03,1.03,1,1,1,707800
2014-07-10,1,1,0.95,0.99,0.99,432600
2014-07-14,0.95,0.97,0.93,0.95,0.95,374800
2014-07-15,0.94,0.98,0.94,0.95,0.95,51200
2014-07-16,0.91,0.91,0.84,0.84,0.84,1070400
2014-07-17,0.84,0.86,0.84,0.85,0.85,357600
2014-07-18,0.86,0.88,0.79,0.79,0.79,152000
2014-07-21,0.73,0.73,0.66,0.66,0.66,815400
2014-07-22,0.65,0.75,0.65,0.71,0.71,1352400
2014-07-23,0.72,0.77,0.72,0.77,0.77,345700
2014-07-24,0.71,0.75,0.71,0.72,0.72,420300
2014-07-25,0.72,0.72,0.66,0.68,0.68,1186000
2014-07-28,0.64,0.64,0.57,0.6,0.6,4218400
2014-07-29,0.58,0.61,0.54,0.58,0.58,2340100
2014-07-30,0.6,0.7,0.6,0.66,0.66,2706000
2014-07-31,0.67,0.67,0.61,0.64,0.64,1480900
2014-08-01,0.68,0.7,0.65,0.69,0.69,1142100
2014-08-04,0.68,0.68,0.66,0.68,0.68,1010200
2014-08-05,0.67,0.67,0.65,0.67,0.67,520400
2014-08-06,0.65,0.65,0.6,0.62,0.62,1388400
2014-08-07,0.6,0.63,0.6,0.63,0.63,540100
2014-08-08,0.7,0.73,0.63,0.68,0.68,7604700
2014-08-13,0.65,0.7,0.65,0.67,0.67,960000
2014-08-14,0.67,0.68,0.67,0.67,0.67,265000
2014-08-15,0.69,0.73,0.69,0.73,0.73,512800
2014-08-18,0.77,0.79,0.75,0.77,0.77,656000
2014-08-19,0.82,0.84,0.82,0.82,0.82,792000
2014-08-20,0.88,0.88,0.84,0.87,0.87,932000
2014-08-21,0.85,0.9,0.85,0.88,0.88,272600
2014-08-22,0.88,0.88,0.85,0.87,0.87,306200
2014-08-25,0.84,0.84,0.83,0.84,0.84,25000
2014-08-27,0.84,0.84,0.84,0.84,0.84,30000
2014-08-28,0.84,0.84,0.84,0.84,0.84,42000
2014-09-02,0.86,0.86,0.86,0.86,0.86,12000
2014-09-05,0.86,0.87,0.86,0.87,0.87,200
2014-09-09,0.79,0.79,0.75,0.75,0.75,76000
2014-09-10,0.77,0.79,0.77,0.79,0.79,66000
2014-09-11,0.76,0.77,0.76,0.77,0.77,100000
2014-09-12,0.84,0.84,0.82,0.82,0.82,20000
2014-09-15,0.79,0.79,0.79,0.79,0.79,10000
2014-09-22,0.87,0.88,0.87,0.88,0.88,10000
2014-09-24,0.87,0.87,0.87,0.87,0.87,20000
2014-09-26,0.86,0.86,0.82,0.83,0.83,60000
2014-09-29,0.76,0.81,0.76,0.81,0.81,5000
2014-10-02,0.87,0.88,0.87,0.88,0.88,20000
2014-10-06,0.84,0.94,0.84,0.92,0.92,375900
2014-10-07,0.9,0.91,0.9,0.91,0.91,80000
2014-10-08,0.89,0.92,0.89,0.92,0.92,220600
2014-10-09,0.91,0.91,0.91,0.91,0.91,20000
2014-10-10,0.91,0.92,0.91,0.92,0.92,68700
2014-10-14,0.88,0.89,0.85,0.89,0.89,60000
2014-10-15,0.84,0.88,0.84,0.88,0.88,192200
2014-10-20,0.9,0.9,0.9,0.9,0.9,60000
2014-10-21,0.91,0.98,0.91,0.98,0.98,102000
2014-10-22,0.94,0.95,0.94,0.95,0.95,139400
2014-10-28,0.91,0.92,0.91,0.92,0.92,100000
