Date,Open,High,Low,Close,Adj Close,Volume
2014-07-31,0.94,0.97,0.91,0.91,0.91,5265000
2014-08-01,0.89,0.91,0.87,0.87,0.87,2447000
2014-08-04,0.85,0.88,0.85,0.88,0.88,1501200
2014-08-06,0.88,0.95,0.87,0.92,0.92,11538000
2014-08-07,0.93,0.93,0.89,0.9,0.9,3260000
2014-08-08,0.8,0.91,0.78,0.89,0.89,14573400
2014-08-13,0.85,0.85,0.79,0.84,0.84,4555000
2014-08-14,0.81,0.82,0.8,0.8,0.8,2400000
2014-08-15,0.79,0.79,0.77,0.77,0.77,600000
2014-08-18,0.69,0.7,0.69,0.7,0.7,611200
2014-08-19,0.71,0.71,0.63,0.67,0.67,2505000
2014-08-20,0.61,0.63,0.61,0.63,0.63,3600000
2014-08-21,0.62,0.62,0.58,0.59,0.59,3700000
2014-08-22,0.6,0.61,0.58,0.58,0.58,2230000
2014-08-25,0.59,0.61,0.59,0.6,0.6,3251000
2014-08-26,0.62,0.62,0.6,0.6,0.6,660000
2014-08-27,0.6,0.6,0.58,0.58,0.58,750000
2014-08-28,0.56,0.57,0.56,0.57,0.57,200000
2014-08-29,0.58,0.58,0.58,0.58,0.58,5000
2014-09-01,0.58,0.59,0.58,0.59,0.59,790000
2014-09-02,0.56,0.56,0.54,0.54,0.54,36000
2014-09-03,0.53,0.54,0.53,0.54,0.54,519000
2014-09-09,0.58,0.62,0.58,0.62,0.62,1360000
2014-09-10,0.61,0.61,0.57,0.57,0.57,9700000
2014-09-11,0.57,0.57,0.54,0.54,0.54,1455000
2014-09-12,0.55,0.58,0.54,0.58,0.58,7390100
2014-09-16,0.54,0.54,0.52,0.52,0.52,1070000
2014-09-17,0.51,0.51,0.49,0.49,0.49,1240100
2014-09-18,0.5,0.5,0.5,0.5,0.5,3040000
2014-09-19,0.49,0.49,0.49,0.49,0.49,100000
2014-09-24,0.47,0.47,0.46,0.46,0.46,200
2014-09-26,0.49,0.49,0.49,0.49,0.49,200000
2014-09-29,0.48,0.48,0.48,0.48,0.48,300000
2014-10-01,0.45,0.45,0.44,0.44,0.44,954000
2014-10-02,0.43,0.43,0.43,0.43,0.43,200000
2014-10-03,0.43,0.43,0.43,0.43,0.43,20000
