Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,60.94,60.95,58.31,58.45,58.45,442
2018-01-11,59.46,59.71,59.17,59.3,59.3,107
2018-01-12,59.85,59.85,59.85,59.85,59.85,300
2018-01-15,59.16,59.16,57.9,57.9,57.9,302
2018-01-16,60.09,60.09,60,60,60,503
2018-01-17,59.25,59.25,59.25,59.25,59.25,300
2018-01-18,58.46,58.46,58.46,58.46,58.46,250
2018-01-19,57.35,57.35,57.35,57.35,57.35,810
2018-01-22,58.88,58.88,58.88,58.88,58.88,100
2018-01-23,58.64,58.89,58.64,58.89,58.89,614
2018-01-24,58.89,58.89,58.87,58.87,58.87,20
2018-01-26,56.33,56.83,56.33,56.83,56.83,445
2018-01-29,58,58,58,58,58,100
2018-01-31,57.34,58.35,57.34,58.1,58.1,39
2018-02-01,58.11,58.85,58.11,58.85,58.85,813
2018-02-02,59.8,59.8,58.09,58.09,58.09,321
2018-02-05,58.94,58.94,58.94,58.94,58.94,600
2018-02-06,56.83,57.78,56.83,57.78,57.78,1102
2018-02-07,58,58,58,58,58,301
2018-02-08,57.84,57.84,57.55,57.55,57.55,102
2018-02-09,57,57,56.83,57,57,305
2018-02-12,57.33,57.33,56.83,56.83,56.83,3
2018-02-13,56.4,56.4,56.4,56.4,56.4,101
2018-02-14,55.28,55.31,55.28,55.3,55.3,1134
2018-02-15,56.14,56.14,56.14,56.14,56.14,400
2018-02-16,56.71,56.71,56.71,56.71,56.71,100
2018-02-19,56.05,56.05,56.05,56.05,56.05,1035
2018-02-20,56.5,56.5,56.5,56.5,56.5,201
2018-02-21,55.47,55.47,55.47,55.47,55.47,251
2018-02-22,53.75,54.93,53.5,54.93,54.93,991
2018-02-23,55.04,55.04,54.5,54.5,54.5,205
2018-02-26,56.4,57.01,56.2,56.76,56.76,1776
2018-02-27,56.54,56.85,56.54,56.54,56.54,103
2018-02-28,58.78,59.1,58.6,59.1,59.1,1852
2018-03-02,59.54,60.28,58.85,58.85,58.85,1408
2018-03-05,58.7,58.7,58,58,58,906
2018-03-06,59.22,59.22,58.97,58.97,58.97,803
2018-03-07,58.55,58.55,57.45,57.47,57.47,304
2018-03-08,59,59,58.27,58.27,58.27,903
2018-03-09,59.9,59.9,59.9,59.9,59.9,701
2018-03-12,60.74,61.44,60.74,61.44,61.44,1513
2018-03-13,61.19,61.19,61.19,61.19,61.19,1902
2018-03-14,61.19,61.2,60.94,60.94,60.94,445
2018-03-15,60.98,60.98,60.48,60.72,60.72,1268
2018-03-16,59.26,59.5,58.2,58.2,58.2,2084
2018-03-19,58.67,58.95,58.2,58.2,58.2,1366
2018-03-20,57.68,58.19,57.42,57.42,57.42,162
2018-03-21,57.67,57.67,57.67,57.67,57.67,1302
2018-03-22,58.13,58.66,58,58,58,808
2018-03-23,57.43,57.5,57.25,57.5,57.5,4193
2018-03-26,56,58.5,56,58.5,58.5,709
2018-03-27,58.15,58.49,58.15,58.49,58.49,206
2018-03-28,58.14,58.14,56.9,56.9,56.9,1014
2018-03-29,56.25,56.5,56,56.3,56.3,1229
2018-03-30,57,57.49,55.65,57.4,57.4,48
2018-04-02,56.4,56.4,56.14,56.3,56.3,107
2018-04-03,56.62,57.6,56.5,56.5,56.5,211
2018-04-04,56.85,56.85,55.01,55.6,55.6,1115
2018-04-05,55.25,56.85,55.25,56.5,56.5,315
2018-04-09,56.86,57.2,55.65,55.65,55.65,411
2018-04-10,56.35,56.55,56.09,56.42,56.42,205
2018-04-11,56.5,56.6,55.85,55.85,55.85,116
2018-04-12,56.82,56.82,56.82,56.82,56.82,201
2018-04-17,56.42,56.42,56.42,56.42,56.42,300
2018-04-18,56.84,57.5,56.84,57.48,57.48,3097
2018-04-19,58.05,58.32,58,58.2,58.2,439
2018-04-20,58.3,58.9,58.26,58.26,58.26,505
2018-04-23,58.26,58.26,57.8,57.8,57.8,415
2018-04-24,57.8,57.8,57.5,57.5,57.5,8
2018-04-25,58.31,58.31,58.31,58.31,58.31,200
2018-04-26,57.85,57.85,57.85,57.85,57.85,200
2018-04-27,57.81,57.81,57.81,57.81,57.81,100
2018-04-30,58.39,59.65,58.14,59.65,59.65,1321
2018-05-02,59.48,59.95,59.25,59.7,59.7,1427
2018-05-03,59.89,60.99,59.89,60.99,60.99,4271
2018-05-04,60.05,60.3,60.05,60.3,60.3,260
2018-05-07,60.99,61.05,60.05,60.05,60.05,506
2018-05-08,60.01,60.05,59.06,59.3,59.3,113
2018-05-10,58.99,58.99,55.9,56.55,56.55,143
2018-05-11,57.45,57.98,57.45,57.98,57.98,219
2018-05-14,58.5,59.49,58.5,59.42,59.42,284
2018-05-15,59.41,59.41,58.75,59,59,158
2018-05-16,58.24,58.24,57.5,57.95,57.95,214
2018-05-17,57.5,57.9,57.5,57.9,57.9,2
2018-05-18,58,58.74,57.81,58,58,18
2018-05-21,58.25,59.35,58.25,59.35,59.35,107
2018-05-22,58.24,58.24,57.6,57.6,57.6,1310
2018-05-23,57.32,57.32,57.25,57.25,57.25,3
2018-05-24,57.25,57.25,56.35,56.94,56.94,325
2018-05-25,57,57,56.87,56.98,56.98,7
2018-05-28,57.5,57.75,57.5,57.5,57.5,606
2018-05-30,57,57.8,56.51,56.51,56.51,210
2018-05-31,56.72,57,56.72,57,57,107
2018-06-01,56.3,56.5,55,55,55,821
2018-06-04,55,55.5,53.25,53.95,53.95,625
2018-06-05,54,55,54,55,55,515
2018-06-06,55.5,56.1,55.5,56,56,614
2018-06-07,56,56.25,56,56.25,56.25,207
2018-06-08,55.45,55.45,54.62,54.62,54.62,219
2018-06-11,54.75,54.75,54,54.5,54.5,19
2018-06-12,55,55.25,54.4,55,55,120
2018-06-13,55.25,55.25,55.25,55.25,55.25,105
2018-06-14,54,55.4,54,55.4,55.4,233
2018-06-15,55.74,55.74,54.9,54.9,54.9,110
2018-06-18,54.42,54.42,53.75,54.25,54.25,1514
2018-06-19,52.9,52.9,49,52,52,2959
2018-06-20,52,54,52,54,54,22
2018-06-21,52.5,52.5,50.7,51.55,51.55,1716
2018-06-22,51.21,51.74,51.21,51.46,51.46,5
2018-06-26,51.3,51.3,51.3,51.3,51.3,305
2018-06-27,51.61,51.95,50.22,50.22,50.22,1011
2018-06-28,50.25,50.75,50.25,50.75,50.75,537
