Date,Open,High,Low,Close,Adj Close,Volume
2009-09-25,15.5,15.5,15.5,15.5,15.5,4120000
2009-09-29,17,18,17,18,18,200000
2009-09-30,17,17,17,17,17,100000
2009-10-05,17,17,17,17,17,13000
2009-10-13,18,18,18,18,18,200000
2009-10-16,18.5,18.5,18.5,18.5,18.5,2000
2009-10-21,17.8,17.8,17.8,17.8,17.8,1000
2009-10-22,18,18,18,18,18,299000
2009-12-01,16,16,16,16,16,1000000
2009-12-02,17,17.5,17,17.5,17.5,400000
2009-12-03,17.8,20,17.8,20,20,1000000
2009-12-18,20,20,20,20,20,100000
2010-01-07,20,20,20,20,20,200000
2010-01-18,23.5,23.5,23.5,23.5,23.5,5000
2010-02-02,24.5,24.5,24.5,24.5,24.5,50000
2010-02-04,25,25.25,25,25.25,25.25,31700
2010-02-05,25.5,26.5,25,25,25,121900
2010-02-08,24.7,24.7,24.7,24.7,24.7,100
2010-02-09,27,27,27,27,27,12100
2010-02-10,24.6,24.6,24.6,24.6,24.6,2000
2010-02-11,24.8,24.8,24.1,24.1,24.1,2100
2014-11-12,54,54,53.25,53.25,53.25,189700
2015-02-17,52,52,52,52,52,52500
2015-05-06,49.25,49.5,48.75,49.5,49.5,500
2015-05-07,49.25,49.25,49.25,49.25,49.25,300
2015-05-11,78.5,78.5,78.5,78.5,78.5,500
2015-05-22,77.5,77.5,77.5,77.5,77.5,100
2015-12-03,50.5,50.5,50.5,50.5,50.5,8400
2015-12-04,50.75,51.5,50.75,51.25,51.25,9000
2015-12-09,70,70,70,70,70,8400
2015-12-11,78,78,78,78,78,100
2016-02-25,40.5,40.75,40.5,40.75,40.75,400
2016-02-26,43.25,43.25,43.25,43.25,43.25,200
2016-02-29,43.25,43.25,43.25,43.25,43.25,200
2016-03-01,42.25,42.25,42.25,42.25,42.25,200
2016-03-02,52,52,52,52,52,200
2016-03-04,50,55.75,50,55.75,55.75,300
2016-03-07,66,66,66,66,66,200
2016-03-09,65,65,65,65,65,200
2016-03-10,65,65,65,65,65,200
2016-03-30,40.75,40.75,40.75,40.75,40.75,200
2017-02-22,59,59,59,59,59,100
2017-03-24,59,59,59,59,59,1200
2017-10-17,41,41,41,41,41,1000
2017-10-20,39.5,39.5,39,39,39,190500
2017-12-19,35.75,35.75,35.75,35.75,35.75,25000
2017-12-20,36.25,36.25,36.25,36.25,36.25,300
2018-01-25,37.5,37.5,37.5,37.5,37.5,300
2018-02-13,37.5,37.5,37.5,37.5,37.5,700
2018-04-10,40,40.5,40,40.5,40.5,1500
2018-04-18,32.25,32.25,32.25,32.25,32.25,1000
2018-04-27,43.5,43.5,43.5,43.5,43.5,1000
2018-07-02,31.5,31.5,30,30.25,30.25,2900
2018-07-20,50.25,50.25,50.25,50.25,50.25,2600
2018-07-23,34.25,34.25,32.5,32.5,32.5,2600
2018-08-08,33.5,33.5,33.5,33.5,33.5,300
2018-12-06,32.25,32.25,31.25,31.25,31.25,15000
2018-12-14,30.5,30.5,30.5,30.5,30.5,300
2018-12-20,29,29,29,29,29,300
