Date,Open,High,Low,Close,Adj Close,Volume
2012-03-12,1.05,1.05,1.01,1.01,1.01,10000
2012-03-14,0.99,0.99,0.99,0.99,0.99,10000
2012-03-15,1.06,1.06,1.05,1.06,1.06,180000
2012-03-16,1.1,1.1,1.09,1.1,1.1,120000
2012-03-23,1.07,1.08,1.05,1.07,1.07,890000
2012-03-26,1.15,1.23,1.15,1.23,1.23,839000
2012-03-27,1.25,1.25,1.21,1.21,1.21,297200
2012-03-29,1.23,1.24,1.23,1.24,1.24,200000
2012-04-05,1.22,1.22,1.19,1.19,1.19,555600
2012-04-11,1.05,1.05,1.05,1.05,1.05,400
2012-04-20,1.09,1.09,1.09,1.09,1.09,268200
2012-04-24,1.04,1.04,1.03,1.03,1.03,185800
2012-04-25,1.07,1.09,1.07,1.09,1.09,600600
2012-04-26,1.11,1.14,1.11,1.12,1.12,508800
2012-04-30,1.04,1.04,1.04,1.04,1.04,2000
2012-05-02,1.04,1.09,1.04,1.08,1.08,923600
2012-05-04,1.2,1.2,1.19,1.19,1.19,200000
2012-05-08,1.22,1.22,1.21,1.21,1.21,110000
2012-05-11,0.98,0.99,0.98,0.99,0.99,22000
2012-05-14,0.96,0.97,0.87,0.87,0.87,70000
2012-05-15,0.82,0.87,0.82,0.87,0.87,220800
2012-05-16,0.89,0.94,0.87,0.94,0.94,230000
2012-05-17,0.95,0.95,0.92,0.94,0.94,230000
2012-05-18,0.88,0.89,0.88,0.89,0.89,240000
2012-05-21,0.88,0.88,0.85,0.85,0.85,120000
2012-05-23,0.79,0.8,0.78,0.8,0.8,240000
2012-05-24,0.8,0.83,0.77,0.83,0.83,370000
2012-05-25,0.86,0.87,0.84,0.87,0.87,815000
2012-05-28,0.87,0.93,0.87,0.93,0.93,490000
2012-05-29,0.97,0.97,0.94,0.94,0.94,1759800
2012-05-30,0.89,0.94,0.89,0.94,0.94,45000
2012-05-31,0.87,0.92,0.86,0.92,0.92,644400
2012-06-01,0.94,0.94,0.94,0.94,0.94,40000
2012-06-05,0.78,0.8,0.78,0.8,0.8,200200
2012-06-06,0.81,0.83,0.81,0.82,0.82,451200
2012-06-07,0.86,0.86,0.84,0.84,0.84,1743300
2012-06-08,0.84,0.85,0.84,0.85,0.85,444900
2012-06-11,0.87,0.92,0.87,0.92,0.92,890000
2012-06-12,0.92,0.92,0.92,0.92,0.92,30000
2012-06-15,0.89,0.92,0.89,0.91,0.91,400000
2012-06-18,0.93,0.94,0.93,0.93,0.93,310000
2012-06-19,0.93,0.95,0.9,0.9,0.9,150000
2012-06-20,0.94,0.95,0.93,0.95,0.95,120000
2012-06-21,0.92,0.92,0.91,0.91,0.91,200000
2012-06-22,0.89,0.9,0.89,0.9,0.9,820000
2012-06-26,0.86,0.87,0.86,0.87,0.87,620000
2012-06-28,0.86,0.87,0.86,0.87,0.87,660000
2012-06-29,0.85,0.86,0.85,0.86,0.86,520000
2012-07-04,0.8,0.8,0.78,0.78,0.78,200000
2012-07-12,0.72,0.72,0.71,0.71,0.71,100000
2012-07-18,0.74,0.75,0.74,0.75,0.75,80000
2012-07-20,0.91,0.91,0.87,0.87,0.87,560000
2012-07-24,0.75,0.75,0.7,0.74,0.74,770000
2012-07-25,0.72,0.72,0.72,0.72,0.72,50000
2012-07-27,0.71,0.71,0.71,0.71,0.71,100000
2012-07-30,0.68,0.68,0.68,0.68,0.68,200000
2012-08-03,0.64,0.65,0.64,0.65,0.65,2851000
2012-08-06,0.67,0.68,0.67,0.68,0.68,200000
2012-08-07,0.64,0.64,0.64,0.64,0.64,940000
2012-08-15,0.56,0.56,0.56,0.56,0.56,100000
2012-08-16,0.55,0.55,0.55,0.55,0.55,50000
2012-08-17,0.56,0.61,0.56,0.6,0.6,2812500
2012-08-20,0.59,0.64,0.59,0.64,0.64,439000
2012-08-21,0.84,0.84,0.6,0.6,0.6,6500
2012-08-22,0.7,0.7,0.55,0.55,0.55,20800
2012-08-23,0.56,0.56,0.54,0.54,0.54,200
2012-08-28,0.54,0.55,0.54,0.54,0.54,1038600
2012-08-31,0.48,0.48,0.48,0.48,0.48,100
2012-09-03,0.42,0.42,0.42,0.42,0.42,79000
2012-09-13,0.32,0.4,0.32,0.39,0.39,4488000
2012-09-14,0.39,0.42,0.39,0.4,0.4,990000
2012-09-17,0.37,0.37,0.37,0.37,0.37,60000
2012-09-18,0.35,0.35,0.35,0.35,0.35,250000
2012-09-19,0.34,0.35,0.34,0.34,0.34,1117000
2012-09-20,0.34,0.35,0.34,0.35,0.35,550000
2012-09-21,0.35,0.35,0.35,0.35,0.35,1089600
2012-09-24,0.34,0.34,0.32,0.32,0.32,840400
2012-09-25,0.28,0.29,0.28,0.29,0.29,1000000
2012-09-28,0.21,0.23,0.2,0.23,0.23,3890300
