Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,0.4,0.4,0.36,0.38,0.38,94000
2016-03-02,0.39,0.39,0.38,0.38,0.38,94000
2016-03-03,0.4,0.44,0.39,0.44,0.44,3753800
2016-03-04,0.46,0.46,0.43,0.43,0.43,1020500
2016-03-07,0.42,0.42,0.39,0.4,0.4,2874600
2016-03-08,0.4,0.41,0.39,0.41,0.41,401900
2016-03-09,0.42,0.42,0.41,0.42,0.42,523400
2016-03-10,0.41,0.41,0.4,0.41,0.41,789800
2016-03-11,0.42,0.46,0.42,0.46,0.46,1807300
2016-03-14,0.48,0.48,0.42,0.42,0.42,1567900
2016-03-15,0.42,0.44,0.41,0.43,0.43,1137000
2016-03-16,0.45,0.45,0.41,0.41,0.41,617400
2016-03-17,0.41,0.41,0.4,0.41,0.41,224900
2016-03-18,0.41,0.42,0.4,0.4,0.4,1321600
2016-03-21,0.38,0.39,0.38,0.38,0.38,200000
2016-03-22,0.38,0.38,0.38,0.38,0.38,362500
2016-03-23,0.38,0.38,0.38,0.38,0.38,148000
2016-03-24,0.38,0.39,0.38,0.39,0.39,339400
2016-03-25,0.39,0.39,0.35,0.35,0.35,210200
2016-03-28,0.33,0.33,0.31,0.31,0.31,375200
2016-03-29,0.33,0.33,0.31,0.32,0.32,1229400
2016-03-30,0.32,0.32,0.3,0.3,0.3,259500
2016-03-31,0.31,0.32,0.31,0.31,0.31,728000
2016-04-01,0.3,0.31,0.3,0.3,0.3,638000
2016-04-04,0.3,0.3,0.29,0.3,0.3,411700
2016-04-05,0.3,0.3,0.25,0.26,0.26,825200
2016-04-07,0.27,0.27,0.25,0.25,0.25,124600
2016-04-08,0.24,0.25,0.22,0.24,0.24,366800
2016-04-11,0.22,0.26,0.22,0.24,0.24,281100
2016-04-12,0.24,0.25,0.24,0.24,0.24,232500
2016-04-18,0.25,0.27,0.25,0.27,0.27,2738300
2016-04-19,0.27,0.28,0.26,0.28,0.28,775000
2016-04-20,0.28,0.28,0.27,0.28,0.28,1087800
2016-04-21,0.28,0.28,0.27,0.27,0.27,812100
2016-04-22,0.26,0.27,0.25,0.25,0.25,400200
2016-04-25,0.26,0.26,0.24,0.25,0.25,1044400
2016-04-26,0.25,0.25,0.24,0.24,0.24,25000
2016-04-27,0.25,0.25,0.23,0.23,0.23,168400
2016-04-28,0.23,0.23,0.22,0.22,0.22,914300
2016-04-29,0.24,0.24,0.24,0.24,0.24,41000
2016-05-03,0.25,0.25,0.25,0.25,0.25,337400
2016-05-04,0.24,0.24,0.21,0.23,0.23,1065400
2016-05-09,0.2,0.21,0.2,0.2,0.2,344900
2016-05-10,0.2,0.2,0.2,0.2,0.2,39800
2016-05-11,0.19,0.19,0.17,0.17,0.17,128500
2016-05-12,0.17,0.18,0.17,0.18,0.18,333700
2016-05-13,0.18,0.18,0.15,0.17,0.17,806300
2016-05-16,0.18,0.18,0.18,0.18,0.18,297600
2016-05-17,0.18,0.18,0.15,0.15,0.15,233800
2016-05-18,0.16,0.16,0.16,0.16,0.16,136800
2016-05-19,0.17,0.23,0.17,0.23,0.23,2748300
2016-05-23,0.24,0.25,0.2,0.24,0.24,3706800
2016-05-24,0.24,0.31,0.23,0.31,0.31,5891500
2016-05-25,0.3,0.3,0.28,0.29,0.29,1629400
2016-05-26,0.29,0.32,0.29,0.31,0.31,1851000
2016-05-27,0.32,0.32,0.25,0.26,0.26,3113700
2016-05-30,0.28,0.29,0.26,0.28,0.28,2135600
2016-05-31,0.29,0.29,0.25,0.27,0.27,1973300
2016-06-01,0.27,0.34,0.27,0.34,0.34,4421500
2016-06-02,0.31,0.33,0.3,0.32,0.32,2774400
2016-06-03,0.31,0.32,0.3,0.31,0.31,2126200
2016-06-06,0.3,0.3,0.24,0.26,0.26,5680100
2016-06-07,0.28,0.29,0.25,0.26,0.26,1934800
2016-06-08,0.24,0.27,0.24,0.27,0.27,2346400
2016-06-09,0.28,0.28,0.26,0.26,0.26,910900
2016-06-10,0.26,0.27,0.25,0.25,0.25,365600
2016-06-13,0.26,0.26,0.23,0.25,0.25,1276800
2016-06-14,0.25,0.25,0.25,0.25,0.25,424400
2016-06-15,0.26,0.29,0.25,0.29,0.29,1024900
2016-06-16,0.29,0.29,0.23,0.24,0.24,1461800
2016-06-17,0.24,0.25,0.23,0.24,0.24,1763500
2016-06-20,0.23,0.24,0.22,0.23,0.23,1076700
2016-06-21,0.22,0.23,0.22,0.22,0.22,242700
2016-06-22,0.23,0.23,0.2,0.2,0.2,1332100
2016-06-23,0.2,0.21,0.19,0.21,0.21,871200
2016-06-24,0.19,0.19,0.15,0.16,0.16,3694200
2016-06-27,0.15,0.16,0.12,0.12,0.12,3456500
2016-06-28,0.11,0.14,0.11,0.13,0.13,3157900
2016-06-29,0.14,0.14,0.11,0.12,0.12,438400
2016-06-30,0.12,0.12,0.12,0.12,0.12,882700
2016-07-04,0.12,0.12,0.11,0.12,0.12,2051500
2016-07-05,0.12,0.14,0.12,0.13,0.13,3886300
2016-07-06,0.13,0.13,0.12,0.12,0.12,1061700
2016-07-07,0.11,0.12,0.11,0.11,0.11,1618400
2016-07-08,0.11,0.12,0.1,0.11,0.11,701600
2016-07-11,0.11,0.11,0.09,0.1,0.1,1531700
2016-07-12,0.11,0.11,0.1,0.1,0.1,128500
2016-07-13,0.11,0.11,0.1,0.1,0.1,347000
2016-07-14,0.11,0.12,0.11,0.12,0.12,1599300
2016-07-15,0.13,0.13,0.1,0.11,0.11,1097500
2016-07-20,0.1,0.12,0.1,0.12,0.12,765600
2016-07-21,0.13,0.15,0.13,0.14,0.14,5665200
2016-07-22,0.14,0.14,0.13,0.14,0.14,4424700
2016-07-25,0.15,0.19,0.15,0.17,0.17,9378000
2016-07-26,0.18,0.2,0.18,0.19,0.19,6178100
2016-07-27,0.19,0.2,0.19,0.19,0.19,2944200
2016-07-28,0.19,0.19,0.17,0.17,0.17,1315300
2016-07-29,0.17,0.18,0.17,0.17,0.17,1219000
2016-08-01,0.17,0.18,0.15,0.16,0.16,1801600
2016-08-02,0.16,0.2,0.14,0.19,0.19,3706000
2016-08-03,0.18,0.22,0.17,0.22,0.22,12128500
