Date,Open,High,Low,Close,Adj Close,Volume
2017-08-16,0.2,0.2,0.2,0.2,0.2,680000
2017-08-17,0.2,0.2,0.2,0.2,0.2,200000
2017-08-18,0.19,0.19,0.19,0.19,0.19,500000
2017-08-21,0.19,0.19,0.19,0.19,0.19,180000
2017-08-22,0.21,0.21,0.21,0.21,0.21,1000000
2017-08-23,0.21,0.21,0.2,0.2,0.2,430000
2017-08-24,0.21,0.21,0.21,0.21,0.21,150000
2017-08-28,0.21,0.21,0.21,0.21,0.21,1462400
2017-08-29,0.22,0.22,0.22,0.22,0.22,984000
2017-08-30,0.22,0.22,0.22,0.22,0.22,100000
2017-09-01,0.22,0.22,0.22,0.22,0.22,100000
2017-09-04,0.21,0.21,0.21,0.21,0.21,100000
2017-09-06,0.21,0.21,0.21,0.21,0.21,300000
2017-09-07,0.21,0.23,0.21,0.23,0.23,2286400
2017-09-08,0.23,0.23,0.23,0.23,0.23,107900
2017-09-11,0.21,0.21,0.21,0.21,0.21,7800
2017-09-12,0.21,0.21,0.21,0.21,0.21,1116500
2017-09-13,0.21,0.21,0.21,0.21,0.21,433500
2017-09-14,0.21,0.21,0.21,0.21,0.21,180000
2017-09-15,0.21,0.21,0.2,0.2,0.2,1810400
2017-09-19,0.2,0.22,0.2,0.22,0.22,1361300
2017-09-20,0.21,0.21,0.2,0.2,0.2,706300
2017-09-21,0.2,0.2,0.2,0.2,0.2,100100
2017-09-22,0.2,0.2,0.19,0.19,0.19,700000
2017-09-29,0.19,0.19,0.18,0.18,0.18,700000
2017-10-02,0.19,0.19,0.18,0.18,0.18,545000
2017-10-03,0.19,0.19,0.18,0.18,0.18,4629000
2017-10-04,0.2,0.2,0.19,0.19,0.19,2624300
2017-10-05,0.19,0.21,0.19,0.21,0.21,5141800
2017-10-06,0.23,0.24,0.23,0.24,0.24,10552600
2017-10-09,0.24,0.24,0.23,0.23,0.23,4963400
2017-10-10,0.23,0.24,0.23,0.24,0.24,1495000
2017-10-11,0.24,0.24,0.23,0.23,0.23,1045000
2017-10-12,0.23,0.25,0.23,0.25,0.25,1220000
2017-10-16,0.25,0.25,0.24,0.24,0.24,600000
2017-10-17,0.25,0.25,0.23,0.23,0.23,1830000
2017-10-18,0.23,0.23,0.23,0.23,0.23,598000
2017-10-19,0.22,0.22,0.19,0.19,0.19,1504500
2017-10-20,0.19,0.19,0.19,0.19,0.19,1185000
2017-10-24,0.18,0.19,0.18,0.19,0.19,490000
2017-10-25,0.2,0.2,0.2,0.2,0.2,400000
2017-10-27,0.2,0.2,0.2,0.2,0.2,50000
2017-10-30,0.18,0.19,0.18,0.19,0.19,400000
2017-10-31,0.19,0.2,0.19,0.19,0.19,200000
2017-11-01,0.2,0.21,0.2,0.2,0.2,960000
2017-11-02,0.2,0.21,0.2,0.21,0.21,534000
2017-11-06,0.19,0.19,0.19,0.19,0.19,3420000
2017-11-07,0.17,0.18,0.17,0.18,0.18,750000
2017-11-09,0.18,0.18,0.17,0.17,0.17,800000
2017-11-10,0.17,0.17,0.17,0.17,0.17,720000
2017-11-13,0.16,0.16,0.16,0.16,0.16,1414000
2017-11-14,0.16,0.17,0.16,0.17,0.17,850400
2017-11-16,0.15,0.15,0.15,0.15,0.15,929000
2017-11-17,0.15,0.15,0.15,0.15,0.15,180000
2017-11-20,0.16,0.16,0.15,0.15,0.15,1600000
2017-11-22,0.15,0.15,0.15,0.15,0.15,200000
2017-11-24,0.15,0.15,0.13,0.13,0.13,850000
2017-11-27,0.13,0.13,0.13,0.13,0.13,50000
