Date,Open,High,Low,Close,Adj Close,Volume
2014-07-14,0.68,0.68,0.66,0.66,0.66,22000
2014-07-16,0.65,0.65,0.65,0.65,0.65,22000
2014-07-17,0.73,0.73,0.73,0.73,0.73,1000000
2014-07-18,0.82,0.89,0.82,0.89,0.89,1021600
2014-09-01,0.88,0.9,0.88,0.9,0.9,1200000
2014-09-04,0.97,1.02,0.97,1.02,1.02,400000
2014-09-10,1.22,1.22,1.19,1.19,1.19,3309900
2014-09-11,1.29,1.29,1.29,1.29,1.29,100000
2014-09-12,1.21,1.21,1.19,1.19,1.19,200000
2014-09-18,1.18,1.18,1.18,1.18,1.18,9900
2014-09-19,1.17,1.18,1.17,1.18,1.18,5762100
2014-10-06,0.83,0.83,0.83,0.83,0.83,1426000
2014-10-29,1.06,1.06,1.04,1.04,1.04,44000
2014-10-31,1.05,1.05,1.05,1.05,1.05,16000
2014-11-03,1.07,1.07,1.03,1.03,1.03,57000
2014-12-09,0.89,0.89,0.89,0.89,0.89,300000
2014-12-22,1,1,1,1,1,129000
