Date,Open,High,Low,Close,Adj Close,Volume
2018-10-10,0.2,0.2,0.2,0.2,0.2,5000
2018-10-11,0.19,0.19,0.18,0.18,0.18,1070600
2018-10-12,0.19,0.19,0.19,0.19,0.19,404000
2018-10-17,0.19,0.19,0.17,0.17,0.17,555800
2018-10-18,0.17,0.17,0.17,0.17,0.17,132200
2018-10-19,0.13,0.15,0.13,0.14,0.14,1135400
2018-10-22,0.14,0.14,0.14,0.14,0.14,1013000
2018-10-25,0.13,0.13,0.13,0.13,0.13,785000
2018-10-26,0.13,0.13,0.13,0.13,0.13,1095400
2018-10-29,0.13,0.14,0.12,0.12,0.12,902400
2018-10-30,0.13,0.13,0.13,0.13,0.13,5000
2018-10-31,0.14,0.14,0.14,0.14,0.14,815700
2018-11-01,0.15,0.15,0.15,0.15,0.15,933300
2018-11-02,0.15,0.16,0.15,0.15,0.15,811200
2018-11-05,0.14,0.14,0.14,0.14,0.14,662200
2018-11-06,0.14,0.14,0.14,0.14,0.14,1520900
2018-11-07,0.15,0.15,0.15,0.15,0.15,588700
2018-11-08,0.16,0.16,0.16,0.16,0.16,200000
2018-11-09,0.15,0.15,0.15,0.15,0.15,400000
2018-11-12,0.14,0.14,0.13,0.13,0.13,421600
2018-11-13,0.12,0.13,0.12,0.12,0.12,997200
2018-11-14,0.12,0.12,0.12,0.12,0.12,100000
2018-11-15,0.12,0.13,0.12,0.13,0.13,499800
2018-11-16,0.12,0.12,0.12,0.12,0.12,150000
2018-11-21,0.11,0.11,0.11,0.11,0.11,400000
2018-11-23,0.12,0.12,0.12,0.12,0.12,214800
2018-11-27,0.12,0.12,0.12,0.12,0.12,2122000
2018-11-28,0.12,0.12,0.12,0.12,0.12,1595600
2018-11-30,0.11,0.12,0.11,0.11,0.11,2754300
2018-12-03,0.12,0.13,0.12,0.13,0.13,721500
2018-12-04,0.14,0.14,0.14,0.14,0.14,393000
2018-12-06,0.13,0.13,0.13,0.13,0.13,2232400
2018-12-07,0.12,0.12,0.12,0.12,0.12,100000
2018-12-12,0.11,0.11,0.11,0.11,0.11,600000
2018-12-13,0.11,0.11,0.11,0.11,0.11,1001800
2018-12-14,0.1,0.1,0.09,0.09,0.09,344800
2018-12-17,0.09,0.09,0.09,0.09,0.09,1168800
2018-12-18,0.09,0.09,0.09,0.09,0.09,300000
2018-12-20,0.09,0.09,0.09,0.09,0.09,320000
2018-12-21,0.1,0.1,0.1,0.1,0.1,892600
2018-12-24,0.09,0.09,0.08,0.08,0.08,942800
2018-12-25,0.07,0.07,0.07,0.07,0.07,320000
2018-12-26,0.07,0.07,0.07,0.07,0.07,160000
2018-12-27,0.06,0.06,0.05,0.05,0.05,320000
2018-12-28,0.05,0.06,0.05,0.06,0.06,640000
2019-01-02,0.06,0.06,0.06,0.06,0.06,320000
