Date,Open,High,Low,Close,Adj Close,Volume
2018-08-16,0.13,0.13,0.13,0.13,0.13,5000
2018-08-17,0.14,0.14,0.14,0.14,0.14,5000
2018-09-05,0.13,0.13,0.13,0.13,0.13,30000
2018-09-21,0.16,0.17,0.16,0.17,0.17,322500
2018-09-24,0.16,0.16,0.14,0.14,0.14,350000
2018-09-27,0.14,0.14,0.14,0.14,0.14,115000
2018-09-28,0.14,0.14,0.14,0.14,0.14,7500
2018-10-03,0.13,0.13,0.13,0.13,0.13,400000
2018-10-11,0.1,0.1,0.1,0.1,0.1,71000
2018-10-17,0.09,0.09,0.09,0.09,0.09,51000
2018-10-18,0.08,0.08,0.08,0.08,0.08,71000
2018-10-19,0.07,0.07,0.06,0.06,0.06,122000
2018-10-22,0.06,0.06,0.06,0.06,0.06,100000
2018-10-26,0.06,0.06,0.06,0.06,0.06,200000
2018-10-29,0.05,0.05,0.05,0.05,0.05,30000
2018-11-02,0.07,0.07,0.07,0.07,0.07,445000
2018-11-05,0.06,0.06,0.06,0.06,0.06,5100
2018-11-08,0.07,0.07,0.07,0.07,0.07,255100
2018-11-09,0.06,0.06,0.06,0.06,0.06,5100
2018-11-12,0.05,0.05,0.04,0.04,0.04,20100
2018-11-13,0.04,0.04,0.04,0.04,0.04,30000
2018-12-21,0.02,0.02,0.02,0.02,0.02,55200
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
