Date,Open,High,Low,Close,Adj Close,Volume
2012-03-02,3821,3821,3821,3821,3821,1
2012-03-05,3814,3814,3810,3810,3810,3
2012-03-09,3832,3869,3832,3869,3869,41
2012-03-12,3870,3870,3869,3869,3869,16
2012-03-13,3867,3867,3867,3867,3867,2
2012-03-15,3880,3880,3875,3875,3875,16
2012-03-16,3826,3835,3820,3835,3835,10
2012-03-19,3889,3894,3874,3886,3886,9
2012-03-21,3844,3844,3840,3840,3840,3
2012-03-22,3812,3812,3810,3810,3810,5
2012-03-23,3817,3877,3817,3877,3877,44
2012-03-26,3873,3883,3873,3877,3877,9
2012-03-27,3862,3867,3857,3857,3857,6
2012-03-28,3830,3838,3820,3820,3820,7
2012-03-29,3842,3842,3812,3812,3812,7
2012-03-30,3811,3811,3800,3807,3807,35
2012-04-02,3781,3835,3770,3835,3835,12
2012-04-03,3855,3871,3855,3866,3866,16
2012-04-04,3855,3871,3855,3859,3859,96
2012-04-05,3860,3862,3815,3816,3816,57
2012-04-10,3814,3825,3772,3772,3772,270
2012-04-11,3780,3782,3702,3720,3720,493
2012-04-12,3710,3734,3709,3727,3727,294
2012-04-17,3725,3745,3664,3692,3692,277
2012-04-18,3688,3699,3650,3655,3655,899
2012-04-19,3660,3695,3601,3686,3686,615
2012-04-20,3670,3687,3664,3685,3685,241
2012-04-23,3692,3698,3669,3669,3669,316
2012-04-24,3655,3691,3651,3680,3680,572
2012-04-25,3675,3740,3665,3680,3680,426
2012-04-26,3682,3697,3654,3690,3690,613
2012-04-27,3689,3717,3680,3691,3691,654
2012-04-30,3694,3695,3671,3671,3671,384
2012-05-02,3672,3699,3667,3687,3687,765
2012-05-03,3681,3686,3649,3653,3653,493
2012-05-04,3655,3657,3568,3571,3571,921
2012-05-08,3558,3558,3480,3486,3486,538
2012-05-09,3488,3500,3450,3483,3483,108
2012-05-10,3470,3521,3466,3521,3521,305
2012-05-11,3522,3540,3484,3492,3492,405
2012-05-14,3489,3518,3452,3452,3452,576
2012-05-15,3453,3505,3445,3500,3500,579
2012-05-16,3502,3515,3485,3492,3492,131
2012-05-17,3495,3502,3495,3502,3502,3
2012-05-18,3495,3502,3495,3502,3502,3
2012-05-21,3495,3502,3495,3502,3502,3
2012-05-22,3495,3502,3495,3502,3502,3
2012-05-23,3495,3502,3495,3502,3502,3
2012-05-24,3495,3502,3495,3502,3502,3
2012-05-25,3495,3502,3495,3502,3502,3
2012-05-28,3495,3502,3495,3502,3502,3
2012-05-29,3495,3502,3495,3502,3502,3
2012-05-30,3495,3502,3495,3502,3502,3
2012-05-31,3495,3502,3495,3502,3502,3
2012-06-01,3495,3502,3495,3502,3502,3
2012-06-05,3495,3502,3495,3502,3502,3
2012-06-06,3495,3502,3495,3502,3502,3
2012-06-07,3495,3502,3495,3502,3502,3
2012-06-08,3495,3502,3495,3502,3502,3
