Date,Open,High,Low,Close,Adj Close,Volume
2001-09-17,1,1.36,0.98,1.24,1.24,67911000
2001-09-18,1.42,1.46,1.28,1.32,1.32,49860000
2001-09-19,1.42,1.52,1.4,1.52,1.52,40117000
2001-09-20,1.48,1.56,1.46,1.48,1.48,58657000
2001-09-21,1.44,1.48,1.38,1.38,1.38,17052500
2001-09-24,1.4,1.46,1.38,1.44,1.44,29094500
2001-09-25,1.5,1.5,1.36,1.36,1.36,23735500
2001-09-26,1.38,1.4,1.32,1.32,1.32,6404000
2001-09-27,1.32,1.36,1.3,1.3,1.3,7305500
2001-09-28,1.32,1.34,1.26,1.26,1.26,11081000
2001-10-01,1.26,1.26,1.14,1.14,1.14,4091000
2001-10-02,1.12,1.2,1.12,1.18,1.18,7796500
2001-10-03,1.18,1.18,1.1,1.12,1.12,4566000
2001-10-04,1.14,1.22,1.14,1.18,1.18,13469500
2001-10-05,1.18,1.18,1.14,1.14,1.14,1815000
2001-10-08,1.1,1.12,1.08,1.08,1.08,2474000
2001-10-09,1.1,1.12,1.1,1.1,1.1,1763000
2001-10-10,1.12,1.14,1.1,1.12,1.12,4239000
2001-10-11,1.16,1.16,1.12,1.12,1.12,3140000
2001-10-12,1.14,1.16,1.1,1.1,1.1,1625000
2001-10-15,1.1,1.12,1.1,1.12,1.12,131000
2001-10-16,1.12,1.14,1.12,1.12,1.12,806000
2001-10-17,1.12,1.2,1.12,1.2,1.2,12347500
2001-10-18,1.18,1.22,1.16,1.16,1.16,11429000
2001-10-19,1.18,1.18,1.14,1.14,1.14,3842500
2001-10-22,1.14,1.18,1.14,1.18,1.18,30500
2001-10-24,1.16,1.18,1.14,1.14,1.14,511000
2001-10-25,1.16,1.16,1.12,1.14,1.14,528000
2001-10-26,1.12,1.12,1.12,1.12,1.12,800000
2001-10-29,1.14,1.18,1.12,1.12,1.12,3424500
2001-10-30,1.1,1.12,1.04,1.04,1.04,2193000
2001-10-31,1.04,1.06,1.04,1.04,1.04,684000
2001-11-01,1.06,1.08,1.02,1.02,1.02,1485000
2001-11-02,1.02,1.04,1,1,1,681500
2001-11-05,0.996,0.996,0.92,0.932,0.932,394000
2001-11-06,0.936,0.944,0.924,0.924,0.924,1161500
2001-11-07,0.912,0.912,0.856,0.856,0.856,604000
2001-11-08,0.86,0.872,0.86,0.872,0.872,484000
2001-11-09,0.86,0.868,0.844,0.848,0.848,165000
2001-11-12,0.896,0.9,0.892,0.892,0.892,188000
2001-11-13,0.904,0.912,0.856,0.896,0.896,1126500
2001-11-14,0.864,0.876,0.84,0.84,0.84,4105000
2001-11-15,0.84,0.84,0.82,0.84,0.84,165500
2001-11-16,0.856,0.86,0.852,0.86,0.86,1770500
2001-11-19,0.86,0.9,0.86,0.86,0.86,1950500
2001-11-20,0.88,0.88,0.86,0.864,0.864,765000
2001-11-21,0.864,0.884,0.864,0.876,0.876,1484500
2001-11-22,0.876,0.884,0.868,0.884,0.884,1115000
2001-11-23,0.888,0.912,0.88,0.892,0.892,1952500
2001-11-26,0.88,0.88,0.864,0.864,0.864,132500
2001-11-27,0.86,0.88,0.86,0.88,0.88,62500
2001-11-29,0.848,0.876,0.844,0.844,0.844,360000
2001-11-30,0.844,0.856,0.84,0.848,0.848,380500
2001-12-03,0.84,0.852,0.84,0.84,0.84,92500
2001-12-04,0.836,0.836,0.836,0.836,0.836,50000
2001-12-06,0.832,0.844,0.832,0.832,0.832,84500
2001-12-07,0.82,0.82,0.82,0.82,0.82,25000
2001-12-11,0.744,0.836,0.744,0.744,0.744,75000
2001-12-13,0.74,0.74,0.74,0.74,0.74,25000
2001-12-14,0.74,0.74,0.74,0.74,0.74,10000
2001-12-18,0.704,0.76,0.7,0.7,0.7,298000
2001-12-19,0.7,0.7,0.7,0.7,0.7,100000
2001-12-20,0.692,0.72,0.692,0.712,0.712,20000
2001-12-21,0.7,0.72,0.7,0.712,0.712,248500
2001-12-24,0.72,0.72,0.72,0.72,0.72,109500
2001-12-25,0.72,0.72,0.7,0.7,0.7,150000
2001-12-26,0.72,0.728,0.708,0.724,0.724,275000
2001-12-27,0.712,0.712,0.7,0.704,0.704,316500
2001-12-28,0.7,0.704,0.7,0.704,0.704,549500
2002-01-02,0.7,0.7,0.7,0.7,0.7,50000
2002-01-03,0.716,0.736,0.716,0.736,0.736,50500
2002-01-04,0.736,0.736,0.712,0.712,0.712,65000
2002-01-07,0.72,0.72,0.7,0.72,0.72,398000
2002-01-08,0.716,0.72,0.712,0.72,0.72,647500
2002-01-09,0.72,0.72,0.7,0.7,0.7,525500
2002-01-10,0.712,0.716,0.708,0.716,0.716,284500
2002-01-11,0.708,0.708,0.704,0.704,0.704,101000
2002-01-14,0.704,0.704,0.7,0.7,0.7,200000
2002-01-15,0.7,0.708,0.7,0.708,0.708,257000
2002-01-16,0.708,0.708,0.704,0.704,0.704,300000
2002-01-17,0.704,0.704,0.704,0.704,0.704,100000
2002-01-18,0.708,0.74,0.708,0.732,0.732,372000
2002-01-21,0.716,0.716,0.716,0.716,0.716,56000
2002-01-23,0.724,0.736,0.72,0.724,0.724,432500
2002-01-24,0.74,0.8,0.708,0.724,0.724,591000
2002-01-25,0.704,0.72,0.704,0.72,0.72,185000
2002-01-28,0.708,0.72,0.708,0.712,0.712,48500
2002-01-29,0.708,0.708,0.696,0.696,0.696,1832500
