Date,Open,High,Low,Close,Adj Close,Volume
2015-05-18,2253,2300,2253,2296,2296,4
2015-05-19,2278,2278,2232,2232,2232,5
2015-05-20,2234,2234,2234,2234,2234,1
2015-05-21,2226,2226,2226,2226,2226,1
2015-05-25,2230,2230,2230,2230,2230,1
2015-05-28,2170,2182,2151,2151,2151,8
2015-05-29,2140,2185,2135,2185,2185,9
2015-06-02,2190,2254,2190,2254,2254,6
2015-06-03,2218,2218,2212,2212,2212,2
2015-06-04,2220,2220,2190,2195,2195,4
2015-06-05,2195,2195,2137,2137,2137,26
2015-06-08,2145,2160,2145,2160,2160,21
2015-06-09,2180,2180,2180,2180,2180,2
2015-06-10,2190,2270,2190,2259,2259,17
2015-06-11,2239,2265,2239,2240,2240,4
2015-06-15,2202,2202,2202,2202,2202,1
2015-06-16,2185,2188,2175,2185,2185,5
2015-06-17,2199,2213,2183,2213,2213,5
2015-06-18,2215,2215,2206,2213,2213,7
2015-06-19,2200,2200,2165,2165,2165,3
2015-06-22,2147,2147,2147,2147,2147,1
2015-06-23,2155,2155,2145,2145,2145,25
2015-06-24,2145,2205,2145,2202,2202,40
2015-06-25,2198,2198,2180,2180,2180,4
2015-06-26,2170,2172,2155,2160,2160,16
2015-06-29,2156,2156,2125,2125,2125,78
2015-06-30,2140,2140,2122,2135,2135,26
2015-07-02,2147,2150,2147,2150,2150,2
2015-07-03,2139,2143,2115,2115,2115,8
2015-07-06,2110,2110,2024,2025,2025,72
2015-07-07,2025,2025,1960,1980,1980,31
2015-07-08,1972,1972,1910,1950,1950,50
2015-07-09,1960,1975,1958,1975,1975,26
2015-07-10,2000,2029,2000,2019,2019,30
2015-07-13,2030,2030,1963,1965,1965,24
2015-07-14,1980,1981,1950,1950,1950,14
2015-07-15,1970,2012,1945,1992,1992,52
2015-07-16,1984,1992,1962,1985,1985,12
2015-07-17,1968,1977,1955,1955,1955,20
2015-07-20,1954,1967,1941,1965,1965,33
2015-07-21,1954,1959,1943,1950,1950,128
2015-07-22,1950,1970,1941,1960,1960,15
2015-07-23,1960,1974,1950,1957,1957,13
2015-07-24,1960,1977,1925,1925,1925,46
2015-07-27,1930,1940,1895,1895,1895,38
2015-07-28,1889,1890,1840,1850,1850,34
2015-07-29,1847,1872,1836,1859,1859,25
2015-07-31,1870,1900,1860,1860,1860,27
2015-08-03,1855,1855,1795,1795,1795,27
2015-08-04,1790,1790,1745,1773,1773,57
2015-08-05,1779,1787,1765,1775,1775,19
2015-08-06,1778,1784,1746,1750,1750,14
2015-08-07,1758,1758,1725,1741,1741,20
2015-08-10,1738,1738,1703,1708,1708,49
2015-08-11,1720,1800,1720,1766,1766,68
2015-08-13,1760,1768,1718,1768,1768,47
2015-08-14,1740,1755,1721,1740,1740,19
2015-08-17,1730,1730,1720,1720,1720,2
