Date,Open,High,Low,Close,Adj Close,Volume
2017-08-25,0.48,0.48,0.48,0.48,0.48,300000
2017-08-28,0.48,0.48,0.47,0.47,0.47,1178600
2017-08-29,0.47,0.47,0.43,0.43,0.43,433900
2017-08-30,0.4,0.43,0.4,0.43,0.43,3046800
2017-08-31,0.43,0.45,0.43,0.44,0.44,1067100
2017-09-01,0.44,0.45,0.44,0.45,0.45,301100
2017-09-04,0.45,0.45,0.44,0.45,0.45,919500
2017-09-05,0.44,0.44,0.44,0.44,0.44,1722700
2017-09-06,0.44,0.44,0.43,0.44,0.44,358100
2017-09-07,0.43,0.43,0.42,0.43,0.43,1931100
2017-09-08,0.42,0.44,0.42,0.44,0.44,1094300
2017-09-11,0.44,0.44,0.44,0.44,0.44,175200
2017-09-12,0.45,0.45,0.45,0.45,0.45,1027600
2017-09-13,0.45,0.45,0.45,0.45,0.45,1053800
2017-09-14,0.45,0.45,0.45,0.45,0.45,601400
2017-09-18,0.44,0.44,0.44,0.44,0.44,384800
2017-09-19,0.41,0.42,0.41,0.42,0.42,1130000
2017-09-21,0.44,0.44,0.44,0.44,0.44,387800
2017-09-22,0.45,0.45,0.45,0.45,0.45,300000
2017-09-25,0.45,0.45,0.45,0.45,0.45,100
2017-09-26,0.43,0.44,0.43,0.44,0.44,831600
2017-09-27,0.44,0.44,0.44,0.44,0.44,125800
2017-09-28,0.44,0.44,0.44,0.44,0.44,744600
2017-09-29,0.43,0.44,0.43,0.44,0.44,604000
2017-10-02,0.43,0.43,0.43,0.43,0.43,192400
2017-10-03,0.43,0.43,0.43,0.43,0.43,333800
2017-10-05,0.44,0.44,0.44,0.44,0.44,153800
2017-10-06,0.43,0.43,0.43,0.43,0.43,933800
2017-10-09,0.42,0.42,0.42,0.42,0.42,397900
2017-10-10,0.43,0.43,0.43,0.43,0.43,412900
2017-10-12,0.45,0.45,0.45,0.45,0.45,299400
2017-10-17,0.44,0.44,0.44,0.44,0.44,2359200
2017-10-18,0.43,0.46,0.43,0.46,0.46,152600
2017-10-19,0.44,0.45,0.43,0.45,0.45,1574600
2017-10-20,0.44,0.44,0.44,0.44,0.44,300800
2017-10-24,0.43,0.43,0.43,0.43,0.43,170400
2017-10-30,0.44,0.44,0.44,0.44,0.44,554000
2017-10-31,0.42,0.43,0.42,0.43,0.43,399200
2017-11-08,0.44,0.44,0.41,0.42,0.42,9173800
2017-11-09,0.42,0.42,0.42,0.42,0.42,626500
2017-11-13,0.44,0.45,0.44,0.45,0.45,1959900
2017-11-14,0.44,0.44,0.44,0.44,0.44,357900
2017-11-15,0.44,0.44,0.44,0.44,0.44,1000
2017-11-16,0.45,0.45,0.45,0.45,0.45,393400
2017-11-17,0.45,0.45,0.45,0.45,0.45,511700
2017-11-20,0.45,0.45,0.44,0.44,0.44,1524700
2017-11-21,0.43,0.44,0.42,0.44,0.44,4667700
2017-11-23,0.43,0.43,0.43,0.43,0.43,600000
2017-11-24,0.44,0.44,0.44,0.44,0.44,620000
2017-11-27,0.45,0.45,0.45,0.45,0.45,300000
2017-11-28,0.44,0.44,0.44,0.44,0.44,300000
2017-11-29,0.44,0.45,0.44,0.45,0.45,1557800
2017-11-30,0.45,0.45,0.45,0.45,0.45,457300
2017-12-01,0.45,0.45,0.45,0.45,0.45,200
2017-12-04,0.45,0.45,0.45,0.45,0.45,101600
2017-12-06,0.45,0.45,0.44,0.44,0.44,155000
2017-12-07,0.44,0.44,0.43,0.43,0.43,338500
2017-12-08,0.43,0.43,0.42,0.42,0.42,330100
2017-12-12,0.41,0.43,0.41,0.43,0.43,912800
2017-12-13,0.43,0.43,0.4,0.42,0.42,526800
2017-12-14,0.4,0.4,0.4,0.4,0.4,296000
2017-12-15,0.4,0.4,0.39,0.4,0.4,965600
2017-12-18,0.38,0.41,0.38,0.41,0.41,292200
2017-12-20,0.43,0.43,0.43,0.43,0.43,112200
2017-12-22,0.42,0.42,0.39,0.4,0.4,1472200
2017-12-25,0.38,0.39,0.36,0.36,0.36,96400
2017-12-26,0.37,0.37,0.37,0.37,0.37,30000
2017-12-29,0.4,0.42,0.4,0.42,0.42,403200
2018-01-03,0.41,0.41,0.4,0.4,0.4,1877900
2018-01-04,0.4,0.4,0.4,0.4,0.4,413000
2018-01-05,0.38,0.4,0.37,0.4,0.4,2203700
2018-01-08,0.39,0.39,0.39,0.39,0.39,400000
2018-01-09,0.38,0.38,0.35,0.35,0.35,2385300
2018-01-10,0.37,0.38,0.37,0.38,0.38,1016700
2018-01-11,0.36,0.36,0.36,0.36,0.36,91600
2018-01-12,0.36,0.36,0.36,0.36,0.36,112000
2018-01-15,0.35,0.36,0.34,0.35,0.35,781400
2018-01-16,0.35,0.35,0.34,0.34,0.34,14000
2018-01-17,0.32,0.34,0.32,0.34,0.34,682100
2018-01-18,0.35,0.35,0.34,0.35,0.35,1986000
2018-01-19,0.35,0.35,0.35,0.35,0.35,223200
2018-01-23,0.34,0.39,0.34,0.38,0.38,6581400
2018-01-24,0.38,0.38,0.37,0.37,0.37,2129200
2018-01-25,0.37,0.42,0.37,0.4,0.4,7138800
2018-01-26,0.41,0.42,0.4,0.41,0.41,4029400
2018-01-29,0.41,0.42,0.4,0.42,0.42,1357000
2018-01-30,0.4,0.4,0.4,0.4,0.4,136200
