Date,Open,High,Low,Close,Adj Close,Volume
2018-06-07,0.11,0.11,0.11,0.11,0.11,200000
2018-06-08,0.11,0.11,0.11,0.11,0.11,1290000
2018-06-11,0.11,0.11,0.11,0.11,0.11,700000
2018-06-12,0.11,0.11,0.11,0.11,0.11,13000
2018-06-13,0.11,0.11,0.1,0.11,0.11,409600
2018-06-14,0.1,0.1,0.1,0.1,0.1,209600
2018-06-15,0.1,0.1,0.1,0.1,0.1,700000
2018-06-18,0.09,0.09,0.09,0.09,0.09,200000
2018-06-21,0.09,0.09,0.09,0.09,0.09,100000
2018-06-25,0.09,0.09,0.08,0.08,0.08,200000
2018-06-26,0.08,0.08,0.08,0.08,0.08,113000
2018-06-29,0.07,0.07,0.07,0.07,0.07,790000
2018-07-03,0.08,0.08,0.08,0.08,0.08,100
2018-07-19,0.08,0.08,0.08,0.08,0.08,8000
2018-07-24,0.09,0.09,0.08,0.08,0.08,13000
2018-07-25,0.08,0.08,0.08,0.08,0.08,100100
2018-08-01,0.08,0.08,0.08,0.08,0.08,10000
2018-08-03,0.08,0.08,0.08,0.08,0.08,10000
2018-08-06,0.08,0.08,0.08,0.08,0.08,20000
2018-08-09,0.08,0.08,0.08,0.08,0.08,13000
2018-08-21,0.08,0.08,0.08,0.08,0.08,100
2018-08-22,0.08,0.08,0.07,0.07,0.07,154000
2018-08-24,0.07,0.07,0.07,0.07,0.07,100000
2018-08-27,0.07,0.07,0.07,0.07,0.07,20000
2018-09-05,0.07,0.07,0.07,0.07,0.07,5000
2018-09-10,0.07,0.07,0.07,0.07,0.07,580000
2018-09-13,0.07,0.07,0.07,0.07,0.07,8700
2018-09-14,0.07,0.07,0.07,0.07,0.07,20300
2018-09-17,0.07,0.07,0.07,0.07,0.07,130000
2018-09-18,0.07,0.07,0.07,0.07,0.07,189600
2018-09-19,0.07,0.08,0.07,0.07,0.07,1625000
2018-09-20,0.07,0.07,0.07,0.07,0.07,500000
2018-09-21,0.07,0.07,0.07,0.07,0.07,5000
2018-09-25,0.06,0.06,0.06,0.06,0.06,550000
2018-09-27,0.08,0.08,0.08,0.08,0.08,100
2018-09-28,0.07,0.07,0.07,0.07,0.07,100
2018-10-01,0.07,0.07,0.06,0.06,0.06,501500
2018-10-03,0.05,0.05,0.05,0.05,0.05,590000
2018-10-05,0.05,0.05,0.05,0.05,0.05,1000000
2018-10-11,0.06,0.06,0.06,0.06,0.06,800000
2018-10-30,0.05,0.05,0.05,0.05,0.05,5000
2018-11-01,0.05,0.05,0.05,0.05,0.05,22000
2018-11-07,0.05,0.05,0.05,0.05,0.05,2900
2018-11-08,0.05,0.05,0.05,0.05,0.05,573000
2018-11-09,0.05,0.05,0.05,0.05,0.05,5100
2018-11-12,0.04,0.04,0.04,0.04,0.04,95000
2018-11-28,0.05,0.05,0.05,0.05,0.05,40000
2018-12-06,0.05,0.05,0.05,0.05,0.05,21000
2018-12-12,0.04,0.04,0.04,0.04,0.04,100
2018-12-17,0.03,0.03,0.03,0.03,0.03,104200
2018-12-19,0.03,0.03,0.03,0.03,0.03,21000
2018-12-21,0.05,0.05,0.05,0.05,0.05,9500
2018-12-24,0.05,0.05,0.05,0.05,0.05,100
2018-12-25,0.03,0.03,0.03,0.03,0.03,100
2018-12-27,0.04,0.04,0.04,0.04,0.04,1000
2019-01-03,0.03,0.03,0.03,0.03,0.03,39400
2019-01-10,0.03,0.03,0.03,0.03,0.03,0
