Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,0.46,0.46,0.46,0.46,0.46,200
2018-02-13,0.47,0.48,0.45,0.45,0.45,2776400
2018-02-14,0.43,0.43,0.42,0.43,0.43,1689800
2018-02-15,0.4,0.43,0.38,0.38,0.38,3346700
2018-02-19,0.46,0.46,0.42,0.42,0.42,808000
2018-02-20,0.41,0.42,0.39,0.39,0.39,1951400
2018-02-21,0.38,0.38,0.28,0.29,0.29,11908800
2018-02-22,0.18,0.21,0.1,0.11,0.11,20467300
2018-02-23,0.13,0.16,0.12,0.15,0.15,6893200
2018-02-26,0.15,0.15,0.12,0.13,0.13,8062000
2018-02-27,0.13,0.14,0.12,0.13,0.13,9569400
2018-02-28,0.13,0.2,0.13,0.18,0.18,12748800
2018-03-02,0.17,0.18,0.17,0.18,0.18,7208100
2018-03-05,0.16,0.17,0.13,0.15,0.15,7084100
2018-03-06,0.16,0.16,0.15,0.15,0.15,6216700
2018-03-07,0.13,0.13,0.12,0.12,0.12,2337400
2018-03-08,0.12,0.14,0.11,0.11,0.11,1868000
2018-03-09,0.12,0.12,0.11,0.11,0.11,5693400
2018-03-12,0.12,0.13,0.11,0.12,0.12,3134200
2018-03-13,0.12,0.14,0.12,0.14,0.14,7099000
2018-03-14,0.15,0.17,0.15,0.16,0.16,6669800
2018-03-15,0.16,0.16,0.13,0.13,0.13,4310200
2018-03-16,0.12,0.13,0.11,0.11,0.11,12947100
2018-03-19,0.13,0.13,0.11,0.11,0.11,1137200
2018-03-20,0.11,0.11,0.11,0.11,0.11,2532800
2018-03-21,0.12,0.13,0.12,0.12,0.12,1922400
2018-03-22,0.12,0.12,0.09,0.09,0.09,5996600
2018-03-23,0.09,0.1,0.09,0.1,0.1,3404800
2018-03-26,0.1,0.11,0.1,0.11,0.11,2460600
2018-03-27,0.12,0.15,0.12,0.14,0.14,12236400
2018-03-28,0.14,0.14,0.1,0.1,0.1,4108600
2018-03-29,0.11,0.12,0.09,0.09,0.09,2886600
2018-03-30,0.1,0.12,0.1,0.11,0.11,5147000
2018-04-02,0.12,0.12,0.12,0.12,0.12,3199600
2018-04-03,0.11,0.11,0.1,0.1,0.1,257000
2018-04-04,0.1,0.11,0.09,0.09,0.09,2717700
2018-04-05,0.08,0.09,0.08,0.09,0.09,1272200
2018-04-09,0.09,0.09,0.07,0.07,0.07,1486200
2018-04-10,0.08,0.08,0.08,0.08,0.08,569600
2018-04-11,0.09,0.09,0.08,0.08,0.08,52100
2018-04-12,0.08,0.08,0.08,0.08,0.08,107300
2018-04-17,0.08,0.08,0.08,0.08,0.08,16100
2018-04-18,0.08,0.08,0.08,0.08,0.08,300000
2018-04-19,0.08,0.08,0.08,0.08,0.08,235000
2018-04-20,0.07,0.08,0.07,0.07,0.07,1365600
2018-04-23,0.06,0.06,0.04,0.04,0.04,2592800
2018-04-24,0.03,0.04,0.03,0.03,0.03,3184000
2018-04-25,0.03,0.04,0.03,0.04,0.04,3999100
2018-04-26,0.03,0.03,0.02,0.03,0.03,834800
2018-04-27,0.02,0.02,0.02,0.02,0.02,757200
2018-04-30,0.02,0.02,0.02,0.02,0.02,185000
2018-05-02,0.02,0.03,0.02,0.03,0.03,242100
2018-05-03,0.03,0.04,0.03,0.04,0.04,1648100
2018-05-04,0.04,0.04,0.03,0.04,0.04,1588100
2018-05-07,0.04,0.04,0.03,0.03,0.03,1265100
2018-05-08,0.03,0.03,0.02,0.02,0.02,309100
2018-05-09,0.02,0.03,0.02,0.02,0.02,2237300
2018-05-10,0.02,0.02,0.02,0.02,0.02,3426200
2018-05-11,0.02,0.02,0.02,0.02,0.02,2059000
2018-05-14,0.02,0.03,0.02,0.03,0.03,89100
2018-05-15,0.02,0.02,0.02,0.02,0.02,440000
2018-05-16,0.01,0.02,0.01,0.02,0.02,108300
2018-05-17,0.02,0.02,0.02,0.02,0.02,5000
2018-05-18,0.01,0.01,0.01,0.01,0.01,678000
2018-05-21,0.01,0.02,0.01,0.02,0.02,483600
2018-05-22,0.01,0.01,0.01,0.01,0.01,928600
2018-05-23,0.01,0.02,0.01,0.02,0.02,306500
2018-05-24,0.01,0.02,0.01,0.01,0.01,1081500
2018-05-25,0.01,0.02,0.01,0.01,0.01,3354200
2018-05-28,0.01,0.01,0.01,0.01,0.01,3976100
2018-05-30,0.01,0.01,0.01,0.01,0.01,710000
2018-05-31,0.01,0.01,0.01,0.01,0.01,109000
2018-06-01,0.01,0.01,0.01,0.01,0.01,3826500
2018-06-05,0.01,0.01,0.01,0.01,0.01,30000
2018-06-06,0.01,0.01,0.01,0.01,0.01,110000
2018-06-07,0.01,0.02,0.01,0.01,0.01,617800
2018-06-08,0.01,0.01,0.01,0.01,0.01,617300
2018-06-11,0.01,0.01,0.01,0.01,0.01,50000
2018-06-12,0.01,0.01,0.01,0.01,0.01,50000
2018-06-13,0.02,0.02,0.02,0.02,0.02,5000
2018-06-15,0.01,0.01,0.01,0.01,0.01,600000
2018-06-18,0.01,0.01,0.01,0.01,0.01,820000
2018-06-19,0.01,0.01,0.01,0.01,0.01,75000
