Date,Open,High,Low,Close,Adj Close,Volume
2014-08-29,0.71,0.71,0.71,0.71,0.71,10000
2014-09-01,0.75,0.78,0.75,0.77,0.77,28400
2014-09-02,0.8,0.8,0.8,0.8,0.8,2000
2014-09-04,0.8,0.8,0.72,0.72,0.72,96000
2014-09-09,0.71,0.71,0.71,0.71,0.71,50000
2014-09-10,0.7,0.71,0.7,0.71,0.71,400000
2014-09-19,0.7,0.7,0.7,0.7,0.7,15600
2014-09-22,0.67,0.67,0.67,0.67,0.67,15600
2014-10-15,0.64,0.64,0.64,0.64,0.64,20000
2014-10-16,0.61,0.61,0.61,0.61,0.61,20000
2014-10-17,0.57,0.57,0.57,0.57,0.57,800000
2014-11-05,0.49,0.49,0.49,0.49,0.49,40000
2014-11-13,0.38,0.39,0.38,0.39,0.39,400000
2014-11-19,0.45,0.46,0.45,0.46,0.46,1400000
2014-11-20,0.44,0.44,0.44,0.44,0.44,1000000
2014-12-01,0.48,0.49,0.48,0.49,0.49,1000000
2014-12-11,0.36,0.37,0.36,0.37,0.37,1000000
2014-12-17,0.31,0.31,0.31,0.31,0.31,2200000
2014-12-22,0.32,0.33,0.32,0.33,0.33,303100
2014-12-23,0.31,0.31,0.31,0.31,0.31,300000
2015-01-09,0.27,0.28,0.27,0.28,0.28,82200
2015-01-15,0.25,0.26,0.25,0.26,0.26,350000
2015-01-16,0.24,0.24,0.24,0.24,0.24,337000
2015-01-19,0.25,0.25,0.25,0.25,0.25,337000
2015-01-23,0.3,0.3,0.29,0.3,0.3,600
2015-01-28,0.28,0.29,0.28,0.29,0.29,41000
2015-03-03,0.13,0.13,0.13,0.13,0.13,100
2015-03-10,0.1,0.1,0.1,0.1,0.1,10000
2015-03-11,0.1,0.1,0.1,0.1,0.1,10000
2015-03-13,0.13,0.13,0.13,0.13,0.13,12600
2015-03-16,0.1,0.1,0.1,0.1,0.1,6900
2015-04-01,0.13,0.13,0.13,0.13,0.13,100
2015-04-02,0.12,0.12,0.12,0.12,0.12,24800
