Date,Open,High,Low,Close,Adj Close,Volume
1993-08-02,4.5669,4.6336,3.7669,4.0002,4.0002,43320380
1993-08-04,4.0669,4.3003,4.0002,4.1336,4.1336,17626934
1993-08-05,4.1336,4.5336,4.1336,4.5336,4.5336,27649330
1993-08-06,4.5003,4.867,4.5003,4.7336,4.7336,27346348
1993-08-09,4.7336,4.9336,4.6336,4.767,4.767,18289894
1993-08-10,4.7336,4.8336,4.5336,4.6669,4.6669,11567301
1993-08-11,4.7336,4.767,4.5669,4.6003,4.6003,6491607
1993-08-13,4.6336,4.867,4.6336,4.8003,4.8003,17176962
1993-08-16,4.8003,4.8003,4.6336,4.7003,4.7003,4004757
1993-08-17,4.6336,4.7003,4.6336,4.6336,4.6336,3248803
1993-08-18,4.6336,4.867,4.6336,4.7336,4.7336,3836768
1993-08-19,4.767,5.1003,4.767,5.067,5.067,8480488
1993-08-20,5.1003,5.267,5.067,5.1336,5.1336,17419948
1993-08-23,5.067,5.067,4.9003,5.0003,5.0003,6224624
1993-08-24,4.967,4.967,4.8003,4.8003,4.8003,6017636
1993-08-25,4.8003,4.9336,4.767,4.9336,4.9336,2267862
1993-08-26,4.9003,5.1336,4.867,4.967,4.967,6377614
1993-08-27,5.0003,5.0336,4.8336,4.8336,4.8336,2450852
1993-08-30,4.8336,4.967,4.767,4.8003,4.8003,1457911
1993-08-31,4.867,4.9003,4.7003,4.8336,4.8336,1616902
1993-09-01,4.767,4.8336,4.7336,4.7336,4.7336,1685898
1993-09-02,4.8336,4.8336,4.767,4.8003,4.8003,752954
1993-09-03,4.8336,4.867,4.767,4.767,4.767,1292921
1993-09-06,4.767,4.767,4.6669,4.7003,4.7003,2495849
1993-09-07,4.7003,4.7336,4.6003,4.6003,4.6003,2912824
1993-09-08,4.6336,4.7003,4.5336,4.5669,4.5669,2153869
1993-09-09,4.5669,4.8003,4.5669,4.8003,4.8003,4982699
1993-09-10,4.8003,4.9003,4.8003,4.8003,4.8003,7706534
1993-09-13,4.6669,4.767,4.6336,4.7336,4.7336,992940
1993-09-14,4.7336,4.7336,4.6336,4.6669,4.6669,164990
1993-09-15,4.7003,4.7336,4.6003,4.7336,4.7336,578965
1993-09-16,4.6336,4.6669,4.6336,4.6336,4.6336,197988
1993-09-17,4.6669,4.6669,4.6003,4.6003,4.6003,110993
1993-09-20,4.6336,4.6669,4.5336,4.6669,4.6669,488970
1993-09-21,4.5669,4.6336,4.4336,4.6336,4.6336,518968
1993-09-22,4.5003,4.5003,4.4336,4.4336,4.4336,176989
1993-09-23,4.4669,4.5669,4.4669,4.5669,4.5669,224986
1993-09-24,4.5669,4.5669,4.4003,4.4336,4.4336,269983
1993-09-27,4.4336,4.4336,4.3003,4.3003,4.3003,299981
1993-09-28,4.3003,4.3336,4.2336,4.3336,4.3336,239985
1993-09-29,4.3003,4.3003,4.2336,4.3003,4.3003,152990
1993-09-30,4.3336,4.5336,4.3336,4.4669,4.4669,1433913
1993-10-01,4.4669,4.5669,4.4003,4.4669,4.4669,1004939
1993-10-04,4.3336,4.4669,4.3336,4.4669,4.4669,527968
1993-10-05,4.4336,4.8003,4.4336,4.7336,4.7336,11588299
1993-10-06,4.7336,4.867,4.6669,4.7003,4.7003,8759470
1993-10-07,4.767,4.8003,4.6336,4.6669,4.6669,1034937
1993-10-08,4.5669,4.6003,4.5003,4.6003,4.6003,233985
1993-10-11,4.5003,4.5336,4.4003,4.4336,4.4336,1400915
1993-10-12,4.4669,4.5336,4.4336,4.4336,4.4336,599963
1993-10-13,4.4669,4.5669,4.4669,4.5669,4.5669,704957
1993-10-14,4.6336,4.8003,4.5669,4.767,4.767,5969639
1993-10-15,4.767,4.767,4.6003,4.6336,4.6336,1220926
1993-10-18,4.6669,4.7003,4.6336,4.6669,4.6669,938943
1993-10-19,4.6669,4.7003,4.6336,4.6336,4.6336,812950
1993-10-20,4.6669,4.6669,4.6336,4.6669,4.6669,413974
1993-10-21,4.6669,4.8336,4.6669,4.8336,4.8336,2621841
1993-10-22,4.767,4.9336,4.767,4.9003,4.9003,3083813
1993-10-26,4.767,5.0336,4.767,4.9336,4.9336,4748713
1993-10-27,5.0003,5.0003,4.8336,4.967,4.967,2045876
1993-10-28,4.967,5.1336,4.9336,4.9336,4.9336,21886676
1993-10-29,5.1003,5.267,4.967,5.1003,5.1003,22777622
1993-11-01,5.2003,5.2336,4.967,4.967,4.967,5279681
1993-11-02,5.0336,5.0336,4.867,5.0003,5.0003,3836768
1993-11-03,5.0003,5.0003,4.6669,4.7336,4.7336,2207866
1993-11-04,4.7336,4.7336,4.5669,4.6669,4.6669,1136931
1993-11-05,4.6336,4.767,4.6336,4.6669,4.6669,401975
1993-11-08,4.7336,4.7336,4.6336,4.6669,4.6669,308981
1993-11-09,4.6669,4.7336,4.6336,4.6336,4.6336,707957
1993-11-10,4.6336,4.8336,4.6336,4.8336,4.8336,335979
1993-11-11,4.8003,4.9003,4.6669,4.9003,4.9003,956942
1993-11-12,4.7003,4.867,4.7003,4.8336,4.8336,692958
1993-11-15,4.8003,4.867,4.7336,4.7336,4.7336,818950
1993-11-16,4.6669,4.8336,4.6669,4.8336,4.8336,1724895
1993-11-17,4.7336,4.7336,4.6336,4.6669,4.6669,347978
1993-11-18,4.6669,4.6669,4.6003,4.6669,4.6669,290982
1993-11-19,4.6336,4.6336,4.3336,4.6336,4.6336,392976
1993-11-22,4.5669,4.6669,4.4669,4.6003,4.6003,650960
1993-11-23,4.5336,4.5336,4.4669,4.4669,4.4669,218986
1993-11-24,4.5003,4.8003,4.5003,4.8003,4.8003,428974
1993-11-25,4.6336,4.767,4.6003,4.767,4.767,143991
1993-11-26,4.6336,4.6669,4.6003,4.6669,4.6669,359978
1993-11-29,4.6003,4.6003,4.6003,4.6003,4.6003,11999
1993-11-30,4.6336,4.7003,4.6336,4.7003,4.7003,32998
1993-12-01,4.5336,4.6669,4.5336,4.6669,4.6669,107993
1993-12-02,4.6336,4.6669,4.6336,4.6336,4.6336,767953
1993-12-07,4.5669,4.5669,4.5003,4.5336,4.5336,146991
1993-12-08,4.5003,4.6003,4.4669,4.6003,4.6003,566965
1993-12-09,4.4669,4.6003,4.4669,4.6003,4.6003,146991
1993-12-13,4.6003,4.6003,4.5003,4.6003,4.6003,263984
1993-12-14,4.5336,4.5336,4.4336,4.4336,4.4336,923944
1993-12-15,4.4669,4.5003,4.3669,4.3669,4.3669,1202927
1993-12-16,4.4669,4.4669,4.3669,4.3669,4.3669,386976
1993-12-17,4.4669,4.4669,4.3669,4.4336,4.4336,287982
1993-12-20,4.4336,4.5336,4.4336,4.5336,4.5336,968941
1993-12-21,4.5003,4.6336,4.5003,4.6003,4.6003,647960
1993-12-22,4.6669,4.6669,4.4669,4.4669,4.4669,386976
1993-12-23,4.4336,4.4669,4.3669,4.3669,4.3669,1061935
1993-12-24,4.3669,4.3669,4.3669,4.3669,4.3669,92994
1993-12-27,4.4336,4.4336,4.4003,4.4336,4.4336,3935762
1993-12-28,4.5669,4.5669,4.5003,4.5336,4.5336,2891825
